,Občina,Basic or less,Upper secondary,Tertiary,Najvišja stopnja zaposlenosti
57,KANAL,0.8761467889908257,0.9472329472329473,0.9538461538461539,Tertiary
58,KIDRIČEVO,0.928,0.9661448853294503,0.9823113207547169,Tertiary
59,KOBARID,0.8551724137931035,0.949238578680203,0.96875,Tertiary
60,KOBILJE,0.5,0.8235294117647058,0.9166666666666666,Tertiary
61,KOMEN,0.8208955223880597,0.9290060851926978,0.9272727272727272,Upper secondary
62,KOMENDA,0.9363867684478372,0.9800717417297728,0.9889807162534435,Tertiary
63,KOPER,0.8399696624952597,0.9495296925452759,0.9725333907798362,Tertiary
64,KOSTANJEVICA NA KRKI,0.8666666666666667,0.9252173913043479,0.9485714285714286,Tertiary
65,KOZJE,0.7123287671232876,0.8211586901763224,0.946078431372549,Tertiary
66,KOČEVJE,0.5958815958815958,0.9111721611721612,0.9621689785624212,Tertiary
67,KRANJ,0.9013906447534766,0.9624060150375939,0.9778461538461538,Tertiary
68,KRANJSKA GORA,0.9518072289156626,0.9613034623217923,0.950561797752809,Upper secondary
69,KRIŽEVCI,0.8897058823529411,0.938255033557047,0.9618320610687023,Tertiary
70,KRŠKO,0.7255356108859293,0.9249321676213446,0.9716392512762337,Tertiary
71,KUNGOTA,0.7164179104477612,0.8951724137931034,0.9386281588447654,Tertiary
72,KUZMA,0.509090909090909,0.927536231884058,0.9506172839506173,Tertiary
73,LAŠKO,0.7875457875457875,0.9233937397034596,0.9463955637707948,Tertiary
74,LENART,0.9368635437881874,0.9742101869761445,0.9816810344827587,Tertiary
75,LENDAVA,0.632420091324201,0.8910441601320677,0.941541186891054,Tertiary
76,LITIJA,0.8153078202995009,0.9457511380880121,0.9657469077069457,Tertiary
77,LJUBLJANA,0.8695512477241084,0.9662220651885876,0.9851280751526845,Tertiary
78,LJUBNO,0.8944099378881988,0.955794504181601,0.9587301587301588,Tertiary
79,LJUTOMER,0.8710801393728222,0.943155831427638,0.9485861182519281,Tertiary
80,LOG - DRAGOMER,0.6911764705882353,0.8846153846153846,0.9142857142857143,Tertiary
81,LOGATEC,0.9067796610169492,0.9566294919454771,0.964095744680851,Tertiary
82,LOVRENC NA POHORJU,0.8271604938271605,0.9102564102564102,0.9349593495934959,Tertiary
83,LOŠKA DOLINA,0.9241071428571429,0.9715909090909091,0.9590643274853801,Upper secondary
84,LOŠKI POTOK,0.76,0.8985507246376812,0.9333333333333333,Tertiary
85,LUKOVICA,0.8755980861244019,0.9394495412844037,0.9751332149200711,Tertiary
86,LUČE,0.8383838383838383,0.9158576051779935,0.9339622641509434,Tertiary
87,MAJŠPERK,0.6836734693877551,0.8430851063829787,0.9177215189873418,Tertiary
88,MAKOLE,0.7894736842105263,0.8852459016393442,0.9259259259259259,Tertiary
89,MARIBOR,0.7564128458897192,0.9474892395982784,0.9699873023202124,Tertiary
90,MARKOVCI,0.7236842105263158,0.9233766233766234,0.9769230769230769,Tertiary
91,MEDVODE,0.8537037037037037,0.9465936323176994,0.9513353115727003,Tertiary
92,MENGEŠ,0.9008620689655172,0.9504849412965799,0.9671746776084408,Tertiary
93,METLIKA,0.5933014354066986,0.9385921118322517,0.9642857142857143,Tertiary
94,MEŽICA,0.926829268292683,0.9645390070921985,0.9806094182825484,Tertiary
95,MIKLAVŽ NA DRAVSKEM POLJU,0.7021276595744681,0.8965183752417795,0.9216216216216216,Tertiary
96,MIREN - KOSTANJEVICA,0.9077669902912622,0.9537166900420757,0.9201183431952663,Upper secondary
97,MIRNA,0.8803418803418803,0.9669117647058824,0.9692307692307692,Tertiary
98,MIRNA PEČ,0.7727272727272727,0.9289340101522843,0.9746835443037974,Tertiary
99,MISLINJA,0.8048780487804879,0.9072727272727272,0.9078947368421053,Tertiary
100,MOKRONOG - TREBELNO,0.875,0.9497991967871486,0.9470899470899471,Upper secondary
101,MORAVSKE TOPLICE,0.8122448979591836,0.9002293577981652,0.9029126213592233,Tertiary
102,MORAVČE,0.8849557522123894,0.9239766081871345,0.9554655870445344,Tertiary
103,MOZIRJE,0.7909604519774012,0.9347517730496454,0.9402985074626866,Tertiary
104,MURSKA SOBOTA,0.8215139442231075,0.9577724993401953,0.9766702014846236,Tertiary
105,MUTA,0.8082191780821918,0.9501590668080594,0.9779874213836478,Tertiary
106,NAKLO,0.9228395061728395,0.9702009702009702,0.9710312862108922,Tertiary
107,NAZARJE,0.9626373626373627,0.9772283669486012,0.9886934673366834,Tertiary
108,NOVA GORICA,0.8664259927797834,0.9690812720848057,0.9785365853658536,Tertiary
109,NOVO MESTO,0.7847073900042717,0.9765185185185186,0.9856248074751001,Tertiary
110,ODRANCI,0.8896551724137931,0.9740420271940667,0.9734513274336283,Upper secondary
111,OPLOTNICA,0.811965811965812,0.9230769230769231,0.9351351351351351,Tertiary
112,ORMOŽ,0.7771428571428571,0.8916001877053027,0.9687825182101977,Tertiary
113,PESNICA,0.7902621722846442,0.9210727969348659,0.9574036511156186,Tertiary
114,PIRAN,0.8031591737545565,0.9198709330465179,0.9549180327868853,Tertiary
115,PIVKA,0.8694267515923567,0.9543189368770764,0.952191235059761,Upper secondary
116,PODLEHNIK,0.6721311475409836,0.9274447949526814,0.9482758620689655,Tertiary
117,PODČETRTEK,0.806282722513089,0.9197604790419162,0.9679715302491103,Tertiary
118,POLJČANE,0.8992805755395683,0.9606801275239107,0.946875,Upper secondary
119,POLZELA,0.6907894736842105,0.8974358974358975,0.9280898876404494,Tertiary
120,POSTOJNA,0.8562945368171021,0.9508863702412089,0.9799643811219947,Tertiary
121,PREBOLD,0.9141630901287554,0.9636819035691923,0.9584,Upper secondary
122,PREDDVOR,0.8817204301075269,0.9242761692650334,0.9696969696969697,Tertiary
123,PREVALJE,0.7631578947368421,0.9396135265700483,0.9533333333333334,Tertiary
124,PTUJ,0.9092198581560283,0.962262221313152,0.9738122827346466,Tertiary
