Kohezijska / statistična regija,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Slovenija,4975.0,5549.0,12216.0,12241.0,5868.0,17232.0,58081.0,APR,2022
,,,,,,,,APR,2022
Vzhodna Slovenija,3348.0,3204.0,6734.0,6760.0,3502.0,10142.0,33690.0,APR,2022
Jugovzhodna Slovenija,557.0,431.0,971.0,837.0,366.0,1097.0,4259.0,APR,2022
Koroška,181.0,185.0,322.0,329.0,218.0,599.0,1834.0,APR,2022
Podravska,952.0,1046.0,2048.0,2059.0,1120.0,2951.0,10176.0,APR,2022
Pomurska,445.0,365.0,674.0,710.0,430.0,1106.0,3730.0,APR,2022
Posavska,292.0,224.0,496.0,555.0,288.0,842.0,2697.0,APR,2022
Primorsko-notranjska,90.0,101.0,201.0,213.0,97.0,341.0,1043.0,APR,2022
Savinjska,657.0,686.0,1597.0,1639.0,787.0,2702.0,8068.0,APR,2022
Zasavska,174.0,166.0,425.0,418.0,196.0,504.0,1883.0,APR,2022
,,,,,,,,APR,2022
Zahodna Slovenija,1576.0,2263.0,5349.0,5380.0,2337.0,7025.0,23930.0,APR,2022
Gorenjska,302.0,340.0,782.0,746.0,305.0,1105.0,3580.0,APR,2022
Goriška,126.0,214.0,417.0,485.0,198.0,750.0,2190.0,APR,2022
Obalno-kraška,216.0,258.0,719.0,733.0,336.0,910.0,3172.0,APR,2022
Osrednjeslovenska,932.0,1451.0,3431.0,3416.0,1498.0,4260.0,14988.0,APR,2022
,,,,,,,,APR,2022
Občina izven RS,51.0,82.0,133.0,101.0,29.0,65.0,461.0,APR,2022
Slovenija,4616.0,5306.0,11748.0,11776.0,5601.0,16807.0,55854.0,MAJ,2022
,,,,,,,,MAJ,2022
Vzhodna Slovenija,3114.0,3082.0,6525.0,6512.0,3350.0,9949.0,32532.0,MAJ,2022
Jugovzhodna Slovenija,532.0,425.0,948.0,816.0,347.0,1077.0,4145.0,MAJ,2022
Koroška,161.0,177.0,311.0,320.0,208.0,579.0,1756.0,MAJ,2022
Podravska,887.0,981.0,2016.0,1977.0,1058.0,2905.0,9824.0,MAJ,2022
Pomurska,417.0,343.0,649.0,666.0,414.0,1084.0,3573.0,MAJ,2022
Posavska,257.0,215.0,489.0,520.0,279.0,826.0,2586.0,MAJ,2022
Primorsko-notranjska,83.0,109.0,187.0,210.0,92.0,323.0,1004.0,MAJ,2022
Savinjska,613.0,671.0,1517.0,1599.0,764.0,2660.0,7824.0,MAJ,2022
Zasavska,164.0,161.0,408.0,404.0,188.0,495.0,1820.0,MAJ,2022
,,,,,,,,MAJ,2022
Zahodna Slovenija,1449.0,2141.0,5063.0,5149.0,2219.0,6798.0,22819.0,MAJ,2022
Gorenjska,270.0,326.0,719.0,699.0,283.0,1051.0,3348.0,MAJ,2022
Goriška,118.0,195.0,393.0,466.0,201.0,714.0,2087.0,MAJ,2022
Obalno-kraška,186.0,237.0,671.0,707.0,313.0,895.0,3009.0,MAJ,2022
Osrednjeslovenska,875.0,1383.0,3280.0,3277.0,1422.0,4138.0,14375.0,MAJ,2022
,,,,,,,,MAJ,2022
Občina izven RS,53.0,83.0,160.0,115.0,32.0,60.0,503.0,MAJ,2022
Slovenija,4337.0,5137.0,11314.0,11344.0,5345.0,16383.0,53860.0,JUN,2022
,,,,,,,,JUN,2022
Vzhodna Slovenija,2950.0,2992.0,6291.0,6249.0,3144.0,9666.0,31292.0,JUN,2022
Jugovzhodna Slovenija,509.0,431.0,919.0,792.0,339.0,1058.0,4048.0,JUN,2022
Koroška,156.0,173.0,296.0,289.0,184.0,589.0,1687.0,JUN,2022
Podravska,836.0,953.0,1952.0,1895.0,987.0,2820.0,9443.0,JUN,2022
Pomurska,392.0,323.0,615.0,634.0,374.0,1029.0,3367.0,JUN,2022
Posavska,251.0,209.0,458.0,484.0,259.0,793.0,2454.0,JUN,2022
Primorsko-notranjska,76.0,94.0,190.0,204.0,85.0,301.0,950.0,JUN,2022
Savinjska,573.0,654.0,1461.0,1558.0,743.0,2598.0,7587.0,JUN,2022
