Kohezijska / statistična regija,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Slovenija,7155.0,10017.0,19253.0,17040.0,11123.0,23331.0,87919.0,JAN,2018
,,,,,,,,JAN,2018
Vzhodna Slovenija,4895.0,6094.0,11008.0,10017.0,6851.0,13307.0,52172.0,JAN,2018
Jugovzhodna Slovenija,712.0,742.0,1331.0,1109.0,737.0,1568.0,6199.0,JAN,2018
Koroška,248.0,331.0,574.0,522.0,371.0,609.0,2655.0,JAN,2018
Podravska,1479.0,1881.0,3284.0,2983.0,1899.0,3664.0,15190.0,JAN,2018
Pomurska,757.0,743.0,1388.0,1478.0,1108.0,2087.0,7561.0,JAN,2018
Posavska,333.0,416.0,704.0,709.0,532.0,989.0,3683.0,JAN,2018
Primorsko-notranjska,134.0,218.0,423.0,385.0,272.0,626.0,2058.0,JAN,2018
Savinjska,995.0,1460.0,2692.0,2326.0,1566.0,3122.0,12161.0,JAN,2018
Zasavska,237.0,303.0,612.0,505.0,366.0,642.0,2665.0,JAN,2018
,,,,,,,,JAN,2018
Zahodna Slovenija,2216.0,3820.0,8062.0,6913.0,4226.0,9943.0,35180.0,JAN,2018
Gorenjska,435.0,627.0,1186.0,1040.0,667.0,1909.0,5864.0,JAN,2018
Goriška,239.0,418.0,800.0,639.0,424.0,1039.0,3559.0,JAN,2018
Obalno-kraška,251.0,429.0,1036.0,918.0,586.0,1332.0,4552.0,JAN,2018
Osrednjeslovenska,1291.0,2346.0,5040.0,4316.0,2549.0,5663.0,21205.0,JAN,2018
,,,,,,,,JAN,2018
Občina izven RS,44.0,103.0,183.0,110.0,46.0,81.0,567.0,JAN,2018
Slovenija,6801.0,9643.0,18728.0,16512.0,10860.0,23139.0,85683.0,FEB,2018
,,,,,,,,FEB,2018
Vzhodna Slovenija,4677.0,5876.0,10670.0,9677.0,6674.0,13213.0,50787.0,FEB,2018
Jugovzhodna Slovenija,703.0,722.0,1287.0,1060.0,714.0,1538.0,6024.0,FEB,2018
Koroška,229.0,313.0,547.0,504.0,356.0,607.0,2556.0,FEB,2018
Podravska,1393.0,1849.0,3193.0,2883.0,1856.0,3648.0,14822.0,FEB,2018
Pomurska,725.0,713.0,1342.0,1414.0,1079.0,2047.0,7320.0,FEB,2018
Posavska,324.0,395.0,708.0,677.0,519.0,995.0,3618.0,FEB,2018
Primorsko-notranjska,129.0,205.0,396.0,366.0,266.0,613.0,1975.0,FEB,2018
Savinjska,960.0,1383.0,2601.0,2293.0,1533.0,3123.0,11893.0,FEB,2018
Zasavska,214.0,296.0,596.0,480.0,351.0,642.0,2579.0,FEB,2018
,,,,,,,,FEB,2018
Zahodna Slovenija,2078.0,3672.0,7883.0,6723.0,4140.0,9849.0,34345.0,FEB,2018
Gorenjska,400.0,586.0,1166.0,1022.0,661.0,1886.0,5721.0,FEB,2018
Goriška,212.0,398.0,775.0,605.0,402.0,1019.0,3411.0,FEB,2018
Obalno-kraška,251.0,392.0,1005.0,889.0,559.0,1292.0,4388.0,FEB,2018
Osrednjeslovenska,1215.0,2296.0,4937.0,4207.0,2518.0,5652.0,20825.0,FEB,2018
,,,,,,,,FEB,2018
Občina izven RS,46.0,95.0,175.0,112.0,46.0,77.0,551.0,FEB,2018
Slovenija,6357.0,9132.0,17550.0,15378.0,10192.0,22611.0,81220.0,MAR,2018
,,,,,,,,MAR,2018
Vzhodna Slovenija,4384.0,5555.0,9953.0,8955.0,6234.0,12865.0,47946.0,MAR,2018
Jugovzhodna Slovenija,681.0,701.0,1214.0,1021.0,673.0,1524.0,5814.0,MAR,2018
Koroška,203.0,301.0,516.0,459.0,336.0,599.0,2414.0,MAR,2018
Podravska,1350.0,1754.0,3025.0,2673.0,1725.0,3520.0,14047.0,MAR,2018
Pomurska,654.0,667.0,1215.0,1237.0,986.0,1936.0,6695.0,MAR,2018
Posavska,295.0,348.0,629.0,620.0,480.0,964.0,3336.0,MAR,2018
Primorsko-notranjska,126.0,192.0,366.0,331.0,253.0,594.0,1862.0,MAR,2018
Savinjska,869.0,1315.0,2420.0,2157.0,1450.0,3094.0,11305.0,MAR,2018
Zasavska,206.0,277.0,568.0,457.0,331.0,634.0,2473.0,MAR,2018
,,,,,,,,MAR,2018
Zahodna Slovenija,1934.0,3490.0,7456.0,6345.0,3921.0,9669.0,32815.0,MAR,2018
Gorenjska,355.0,554.0,1059.0,920.0,599.0,1812.0,5299.0,MAR,2018
Goriška,205.0,359.0,738.0,592.0,381.0,1011.0,3286.0,MAR,2018
Obalno-kraška,232.0,371.0,960.0,832.0,513.0,1277.0,4185.0,MAR,2018
Osrednjeslovenska,1142.0,2206.0,4699.0,4001.0,2428.0,5569.0,20045.0,MAR,2018
,,,,,,,,MAR,2018
Občina izven RS,39.0,87.0,141.0,78.0,37.0,77.0,459.0,MAR,2018
Slovenija,6028.0,8690.0,16921.0,14738.0,9787.0,22391.0,78555.0,APR,2018
,,,,,,,,APR,2018
Vzhodna Slovenija,4142.0,5285.0,9569.0,8533.0,5973.0,12691.0,46193.0,APR,2018
Jugovzhodna Slovenija,665.0,660.0,1187.0,976.0,647.0,1504.0,5639.0,APR,2018
Koroška,206.0,294.0,509.0,437.0,322.0,599.0,2367.0,APR,2018
Podravska,1266.0,1654.0,2875.0,2573.0,1646.0,3468.0,13482.0,APR,2018
Pomurska,607.0,637.0,1114.0,1120.0,941.0,1903.0,6322.0,APR,2018
Posavska,281.0,346.0,621.0,601.0,468.0,952.0,3269.0,APR,2018
Primorsko-notranjska,112.0,187.0,350.0,310.0,254.0,591.0,1804.0,APR,2018
Savinjska,815.0,1256.0,2367.0,2079.0,1379.0,3053.0,10949.0,APR,2018
Zasavska,190.0,251.0,546.0,437.0,316.0,621.0,2361.0,APR,2018
,,,,,,,,APR,2018
Zahodna Slovenija,1852.0,3334.0,7226.0,6142.0,3785.0,9627.0,31966.0,APR,2018
Gorenjska,343.0,535.0,1037.0,881.0,556.0,1800.0,5152.0,APR,2018
Goriška,199.0,335.0,690.0,556.0,372.0,1007.0,3159.0,APR,2018
Obalno-kraška,214.0,348.0,914.0,786.0,477.0,1277.0,4016.0,APR,2018
Osrednjeslovenska,1096.0,2116.0,4585.0,3919.0,2380.0,5543.0,19639.0,APR,2018
,,,,,,,,APR,2018
Občina izven RS,34.0,71.0,126.0,63.0,29.0,73.0,396.0,APR,2018
Slovenija,5740.0,8302.0,16601.0,14362.0,9523.0,22177.0,76705.0,MAJ,2018
,,,,,,,,MAJ,2018
Vzhodna Slovenija,3951.0,5022.0,9431.0,8284.0,5803.0,12564.0,45055.0,MAJ,2018
Jugovzhodna Slovenija,647.0,630.0,1176.0,974.0,626.0,1477.0,5530.0,MAJ,2018
Koroška,198.0,269.0,496.0,426.0,306.0,600.0,2295.0,MAJ,2018
Podravska,1200.0,1604.0,2843.0,2524.0,1579.0,3426.0,13176.0,MAJ,2018
Pomurska,573.0,590.0,1075.0,1077.0,899.0,1861.0,6075.0,MAJ,2018
Posavska,261.0,330.0,627.0,574.0,458.0,953.0,3203.0,MAJ,2018
Primorsko-notranjska,104.0,162.0,340.0,283.0,239.0,584.0,1712.0,MAJ,2018
Savinjska,780.0,1182.0,2335.0,1996.0,1380.0,3037.0,10710.0,MAJ,2018
Zasavska,188.0,255.0,539.0,430.0,316.0,626.0,2354.0,MAJ,2018
,,,,,,,,MAJ,2018
Zahodna Slovenija,1755.0,3209.0,7047.0,6019.0,3691.0,9537.0,31258.0,MAJ,2018
Gorenjska,324.0,518.0,1006.0,843.0,549.0,1780.0,5020.0,MAJ,2018
Goriška,177.0,331.0,663.0,534.0,353.0,993.0,3051.0,MAJ,2018
Obalno-kraška,204.0,329.0,859.0,779.0,448.0,1272.0,3891.0,MAJ,2018
Osrednjeslovenska,1050.0,2031.0,4519.0,3863.0,2341.0,5492.0,19296.0,MAJ,2018
,,,,,,,,MAJ,2018
Občina izven RS,34.0,71.0,123.0,59.0,29.0,76.0,392.0,MAJ,2018
Slovenija,5431.0,8010.0,16289.0,14152.0,9251.0,21855.0,74988.0,JUN,2018
,,,,,,,,JUN,2018
Vzhodna Slovenija,3733.0,4807.0,9260.0,8181.0,5671.0,12360.0,44012.0,JUN,2018
Jugovzhodna Slovenija,628.0,631.0,1152.0,944.0,619.0,1443.0,5417.0,JUN,2018
Koroška,181.0,244.0,477.0,425.0,297.0,584.0,2208.0,JUN,2018
Podravska,1125.0,1552.0,2790.0,2487.0,1536.0,3332.0,12822.0,JUN,2018
Pomurska,550.0,547.0,1030.0,1054.0,873.0,1832.0,5886.0,JUN,2018
Posavska,247.0,307.0,607.0,575.0,448.0,955.0,3139.0,JUN,2018
Primorsko-notranjska,98.0,147.0,333.0,266.0,229.0,578.0,1651.0,JUN,2018
Savinjska,724.0,1125.0,2340.0,2004.0,1357.0,3019.0,10569.0,JUN,2018
