Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year
UD Kočevje,355.0,201.0,122.0,55.0,733.0,MAJ,2022
UD Ljubljana,3328.0,2221.0,3289.0,2586.0,11424.0,MAJ,2022
UD Logatec,85.0,69.0,75.0,53.0,282.0,MAJ,2022
UD Ribnica,98.0,61.0,45.0,31.0,235.0,MAJ,2022
UD Vrhnika,165.0,151.0,159.0,106.0,581.0,MAJ,2022
OS Maribor,2209.0,1998.0,2089.0,1445.0,7741.0,MAJ,2022
UD Lenart,76.0,84.0,70.0,37.0,267.0,MAJ,2022
UD Maribor,1684.0,1451.0,1567.0,1118.0,5820.0,MAJ,2022
UD Pesnica,149.0,158.0,133.0,70.0,510.0,MAJ,2022
UD Ruše,76.0,106.0,97.0,62.0,341.0,MAJ,2022
UD Slovenska Bistrica,224.0,199.0,222.0,158.0,803.0,MAJ,2022
OS Murska Sobota,1315.0,963.0,771.0,454.0,3503.0,MAJ,2022
UD Gornja Radgona,150.0,165.0,112.0,69.0,496.0,MAJ,2022
UD Lendava,351.0,252.0,170.0,79.0,852.0,MAJ,2022
UD Ljutomer,100.0,114.0,100.0,76.0,390.0,MAJ,2022
UD Murska Sobota,714.0,432.0,389.0,230.0,1765.0,MAJ,2022
OS Nova Gorica,658.0,477.0,479.0,439.0,2053.0,MAJ,2022
UD Ajdovščina,154.0,135.0,121.0,87.0,497.0,MAJ,2022
UD Idrija,59.0,41.0,42.0,39.0,181.0,MAJ,2022
UD Nova Gorica,376.0,241.0,253.0,268.0,1138.0,MAJ,2022
UD Tolmin,69.0,60.0,63.0,45.0,237.0,MAJ,2022
OS Novo mesto,1494.0,638.0,546.0,323.0,3001.0,MAJ,2022
