Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
VELIKA POLANA,17.0,26.0,21.0,8.0,72.0,MAJ,2020,,,,
VELIKE LAŠČE,29.0,38.0,42.0,18.0,127.0,MAJ,2020,,,,
VERŽEJ,13.0,7.0,11.0,9.0,40.0,MAJ,2020,,,,
VIDEM,64.0,71.0,65.0,25.0,225.0,MAJ,2020,,,,
VIPAVA,36.0,40.0,40.0,37.0,153.0,MAJ,2020,,,,
VITANJE,24.0,22.0,20.0,13.0,79.0,MAJ,2020,,,,
VODICE,28.0,42.0,49.0,36.0,155.0,MAJ,2020,,,,
VOJNIK,72.0,101.0,103.0,70.0,346.0,MAJ,2020,,,,
VRANSKO,26.0,34.0,28.0,18.0,106.0,MAJ,2020,,,,
VRHNIKA,181.0,154.0,184.0,106.0,625.0,MAJ,2020,,,,
VUZENICA,25.0,43.0,31.0,23.0,122.0,MAJ,2020,,,,
ZAGORJE OB SAVI,201.0,165.0,168.0,77.0,611.0,MAJ,2020,,,,
ZAVRČ,21.0,25.0,15.0,4.0,65.0,MAJ,2020,,,,
ZREČE,102.0,98.0,86.0,41.0,327.0,MAJ,2020,,,,
ŽALEC,325.0,333.0,298.0,167.0,1123.0,MAJ,2020,,,,
ŽELEZNIKI,40.0,34.0,24.0,23.0,121.0,MAJ,2020,,,,
ŽETALE,11.0,8.0,11.0,7.0,37.0,MAJ,2020,,,,
ŽIRI,12.0,24.0,31.0,25.0,92.0,MAJ,2020,,,,
ŽIROVNICA,22.0,33.0,36.0,30.0,121.0,MAJ,2020,,,,
ŽUŽEMBERK,34.0,47.0,27.0,22.0,130.0,MAJ,2020,,,,
Občina izven RS,802.0,159.0,79.0,91.0,1131.0,MAJ,2020,,,,
,,,,,,MAJ,2020,,,,
,,,,,90415.0,MAJ,2020,,,,
AJDOVŠČINA,205.0,174.0,143.0,107.0,629.0,JUN,2020,,,,
ANKARAN,29.0,32.0,35.0,25.0,121.0,JUN,2020,,,,
APAČE,75.0,57.0,30.0,16.0,178.0,JUN,2020,,,,
BELTINCI,144.0,116.0,95.0,52.0,407.0,JUN,2020,,,,
BENEDIKT,25.0,23.0,24.0,11.0,83.0,JUN,2020,,,,
BISTRICA OB SOTLI,18.0,14.0,14.0,11.0,57.0,JUN,2020,,,,
BLED,43.0,57.0,108.0,72.0,280.0,JUN,2020,,,,
BLOKE,7.0,20.0,20.0,9.0,56.0,JUN,2020,,,,
BOHINJ,36.0,25.0,33.0,25.0,119.0,JUN,2020,,,,
BOROVNICA,56.0,56.0,41.0,35.0,188.0,JUN,2020,,,,
BOVEC,27.0,24.0,29.0,17.0,97.0,JUN,2020,,,,
BRASLOVČE,57.0,50.0,60.0,32.0,199.0,JUN,2020,,,,
BRDA,40.0,24.0,42.0,35.0,141.0,JUN,2020,,,,
BREZOVICA,72.0,113.0,142.0,92.0,419.0,JUN,2020,,,,
BREŽICE,340.0,388.0,314.0,149.0,1191.0,JUN,2020,,,,
CANKOVA,49.0,28.0,23.0,7.0,107.0,JUN,2020,,,,
CELJE,750.0,671.0,711.0,501.0,2633.0,JUN,2020,,,,
CERKLJE NA GORENJSKEM,49.0,43.0,71.0,44.0,207.0,JUN,2020,,,,
CERKNICA,86.0,100.0,103.0,72.0,361.0,JUN,2020,,,,
CERKNO,17.0,18.0,32.0,22.0,89.0,JUN,2020,,,,
CERKVENJAK,21.0,23.0,12.0,9.0,65.0,JUN,2020,,,,
CIRKULANE,30.0,31.0,14.0,9.0,84.0,JUN,2020,,,,
ČRENŠOVCI,123.0,64.0,39.0,18.0,244.0,JUN,2020,,,,
ČRNA NA KOROŠKEM,33.0,47.0,32.0,18.0,130.0,JUN,2020,,,,
ČRNOMELJ,418.0,244.0,150.0,68.0,880.0,JUN,2020,,,,
DESTRNIK,25.0,33.0,34.0,9.0,101.0,JUN,2020,,,,
DIVAČA,38.0,46.0,61.0,23.0,168.0,JUN,2020,,,,
DOBJE,7.0,12.0,7.0,3.0,29.0,JUN,2020,,,,
DOBREPOLJE,33.0,49.0,30.0,13.0,125.0,JUN,2020,,,,
DOBRNA,21.0,31.0,21.0,17.0,90.0,JUN,2020,,,,
DOBROVA-POLHOV GRADEC,34.0,51.0,53.0,38.0,176.0,JUN,2020,,,,
DOBROVNIK,42.0,22.0,16.0,4.0,84.0,JUN,2020,,,,
DOL PRI LJUBLJANI,44.0,59.0,46.0,48.0,197.0,JUN,2020,,,,
DOLENJSKE TOPLICE,35.0,24.0,22.0,23.0,104.0,JUN,2020,,,,
DOMŽALE,345.0,306.0,341.0,254.0,1246.0,JUN,2020,,,,
DORNAVA,22.0,29.0,21.0,17.0,89.0,JUN,2020,,,,
DRAVOGRAD,109.0,122.0,99.0,49.0,379.0,JUN,2020,,,,
DUPLEK,83.0,110.0,91.0,53.0,337.0,JUN,2020,,,,
GORENJA VAS-POLJANE,37.0,51.0,54.0,19.0,161.0,JUN,2020,,,,
GORIŠNICA,26.0,47.0,47.0,14.0,134.0,JUN,2020,,,,
GORJE,20.0,20.0,29.0,23.0,92.0,JUN,2020,,,,
GORNJA RADGONA,117.0,146.0,96.0,46.0,405.0,JUN,2020,,,,
GORNJI GRAD,15.0,21.0,21.0,7.0,64.0,JUN,2020,,,,
GORNJI PETROVCI,30.0,32.0,17.0,12.0,91.0,JUN,2020,,,,
GRAD,39.0,22.0,15.0,12.0,88.0,JUN,2020,,,,
GROSUPLJE,301.0,186.0,178.0,104.0,769.0,JUN,2020,,,,
HAJDINA,20.0,38.0,39.0,26.0,123.0,JUN,2020,,,,
HOČE-SLIVNICA,119.0,161.0,164.0,109.0,553.0,JUN,2020,,,,
HODOŠ,11.0,4.0,1.0,2.0,18.0,JUN,2020,,,,
HORJUL,12.0,13.0,25.0,12.0,62.0,JUN,2020,,,,
HRASTNIK,182.0,140.0,106.0,46.0,474.0,JUN,2020,,,,
HRPELJE-KOZINA,50.0,51.0,40.0,31.0,172.0,JUN,2020,,,,
IDRIJA,109.0,86.0,89.0,57.0,341.0,JUN,2020,,,,
IG,70.0,60.0,62.0,47.0,239.0,JUN,2020,,,,
ILIRSKA BISTRICA,135.0,136.0,128.0,74.0,473.0,JUN,2020,,,,
IVANČNA GORICA,133.0,157.0,146.0,80.0,516.0,JUN,2020,,,,
IZOLA,274.0,170.0,193.0,108.0,745.0,JUN,2020,,,,
JESENICE,292.0,249.0,192.0,89.0,822.0,JUN,2020,,,,
JEZERSKO,6.0,1.0,4.0,2.0,13.0,JUN,2020,,,,
JURŠINCI,19.0,28.0,21.0,9.0,77.0,JUN,2020,,,,
KAMNIK,300.0,259.0,337.0,160.0,1056.0,JUN,2020,,,,
KANAL,70.0,57.0,53.0,43.0,223.0,JUN,2020,,,,
KIDRIČEVO,36.0,86.0,83.0,35.0,240.0,JUN,2020,,,,
KOBARID,21.0,27.0,22.0,18.0,88.0,JUN,2020,,,,
KOBILJE,8.0,9.0,4.0,3.0,24.0,JUN,2020,,,,
KOČEVJE,490.0,353.0,186.0,83.0,1112.0,JUN,2020,,,,
KOMEN,28.0,23.0,51.0,27.0,129.0,JUN,2020,,,,
KOMENDA,37.0,50.0,50.0,30.0,167.0,JUN,2020,,,,
KOPER,762.0,560.0,634.0,376.0,2332.0,JUN,2020,,,,
KOSTANJEVICA NA KRKI,31.0,32.0,32.0,23.0,118.0,JUN,2020,,,,
KOSTEL,7.0,14.0,11.0,4.0,36.0,JUN,2020,,,,
KOZJE,57.0,51.0,34.0,18.0,160.0,JUN,2020,,,,
KRANJ,781.0,460.0,607.0,368.0,2216.0,JUN,2020,,,,
KRANJSKA GORA,30.0,39.0,65.0,37.0,171.0,JUN,2020,,,,
KRIŽEVCI,33.0,40.0,29.0,31.0,133.0,JUN,2020,,,,
KRŠKO,615.0,410.0,267.0,165.0,1457.0,JUN,2020,,,,
KUNGOTA,75.0,61.0,64.0,33.0,233.0,JUN,2020,,,,
KUZMA,38.0,15.0,8.0,13.0,74.0,JUN,2020,,,,
LAŠKO,178.0,183.0,151.0,88.0,600.0,JUN,2020,,,,
LENART,70.0,89.0,74.0,43.0,276.0,JUN,2020,,,,
LENDAVA,259.0,241.0,166.0,86.0,752.0,JUN,2020,,,,
LITIJA,208.0,148.0,103.0,70.0,529.0,JUN,2020,,,,
LJUBLJANA,3860.0,2716.0,3717.0,2800.0,13093.0,JUN,2020,,,,
LJUBNO,24.0,31.0,36.0,25.0,116.0,JUN,2020,,,,
LJUTOMER,140.0,164.0,119.0,63.0,486.0,JUN,2020,,,,
LOG - DRAGOMER,25.0,34.0,35.0,33.0,127.0,JUN,2020,,,,
LOGATEC,105.0,108.0,121.0,75.0,409.0,JUN,2020,,,,
LOŠKA DOLINA,31.0,24.0,34.0,22.0,111.0,JUN,2020,,,,
LOŠKI POTOK,10.0,16.0,20.0,6.0,52.0,JUN,2020,,,,
LOVRENC NA POHORJU,29.0,53.0,34.0,14.0,130.0,JUN,2020,,,,
LUČE,19.0,19.0,10.0,4.0,52.0,JUN,2020,,,,
LUKOVICA,52.0,59.0,44.0,23.0,178.0,JUN,2020,,,,
MAJŠPERK,36.0,35.0,54.0,23.0,148.0,JUN,2020,,,,
MAKOLE,18.0,24.0,18.0,17.0,77.0,JUN,2020,,,,
MARIBOR,1897.0,1601.0,1777.0,1220.0,6495.0,JUN,2020,,,,
MARKOVCI,26.0,56.0,45.0,17.0,144.0,JUN,2020,,,,
MEDVODE,124.0,133.0,194.0,129.0,580.0,JUN,2020,,,,
MENGEŠ,94.0,62.0,86.0,51.0,293.0,JUN,2020,,,,
METLIKA,222.0,110.0,95.0,49.0,476.0,JUN,2020,,,,
MEŽICA,41.0,54.0,39.0,18.0,152.0,JUN,2020,,,,
MIKLAVŽ NA DRAVSKEM POLJU,74.0,93.0,97.0,44.0,308.0,JUN,2020,,,,
MIREN-KOSTANJEVICA,35.0,24.0,31.0,28.0,118.0,JUN,2020,,,,
MIRNA,28.0,19.0,14.0,7.0,68.0,JUN,2020,,,,
MIRNA PEČ,22.0,22.0,15.0,12.0,71.0,JUN,2020,,,,
MISLINJA,35.0,55.0,51.0,28.0,169.0,JUN,2020,,,,
MOKRONOG-TREBELNO,28.0,24.0,19.0,16.0,87.0,JUN,2020,,,,
MORAVČE,35.0,45.0,40.0,21.0,141.0,JUN,2020,,,,
MORAVSKE TOPLICE,95.0,77.0,81.0,49.0,302.0,JUN,2020,,,,
MOZIRJE,40.0,48.0,55.0,32.0,175.0,JUN,2020,,,,
MURSKA SOBOTA,415.0,328.0,277.0,188.0,1208.0,JUN,2020,,,,
MUTA,42.0,43.0,31.0,29.0,145.0,JUN,2020,,,,
NAKLO,35.0,33.0,46.0,30.0,144.0,JUN,2020,,,,
NAZARJE,28.0,25.0,22.0,22.0,97.0,JUN,2020,,,,
NOVA GORICA,360.0,226.0,248.0,222.0,1056.0,JUN,2020,,,,
NOVO MESTO,610.0,244.0,287.0,208.0,1349.0,JUN,2020,,,,
ODRANCI,25.0,18.0,17.0,7.0,67.0,JUN,2020,,,,
OPLOTNICA,32.0,39.0,39.0,17.0,127.0,JUN,2020,,,,
ORMOŽ,137.0,197.0,147.0,69.0,550.0,JUN,2020,,,,
OSILNICA,7.0,10.0,3.0,2.0,22.0,JUN,2020,,,,
PESNICA,77.0,96.0,87.0,33.0,293.0,JUN,2020,,,,
PIRAN,260.0,229.0,285.0,145.0,919.0,JUN,2020,,,,
PIVKA,74.0,52.0,62.0,32.0,220.0,JUN,2020,,,,
PODČETRTEK,48.0,44.0,41.0,21.0,154.0,JUN,2020,,,,
PODLEHNIK,28.0,25.0,19.0,8.0,80.0,JUN,2020,,,,
PODVELKA,32.0,34.0,35.0,13.0,114.0,JUN,2020,,,,
POLJČANE,45.0,55.0,67.0,26.0,193.0,JUN,2020,,,,
POLZELA,75.0,57.0,83.0,44.0,259.0,JUN,2020,,,,
POSTOJNA,259.0,163.0,173.0,84.0,679.0,JUN,2020,,,,
PREBOLD,61.0,54.0,58.0,36.0,209.0,JUN,2020,,,,
PREDDVOR,24.0,32.0,35.0,27.0,118.0,JUN,2020,,,,
PREVALJE,74.0,84.0,74.0,35.0,267.0,JUN,2020,,,,
PTUJ,217.0,258.0,375.0,213.0,1063.0,JUN,2020,,,,
PUCONCI,161.0,85.0,60.0,33.0,339.0,JUN,2020,,,,
RAČE-FRAM,77.0,87.0,90.0,54.0,308.0,JUN,2020,,,,
RADEČE,53.0,41.0,61.0,26.0,181.0,JUN,2020,,,,
RADENCI,64.0,81.0,68.0,28.0,241.0,JUN,2020,,,,
RADLJE OB DRAVI,52.0,116.0,69.0,43.0,280.0,JUN,2020,,,,
RADOVLJICA,166.0,162.0,216.0,115.0,659.0,JUN,2020,,,,
RAVNE NA KOROŠKEM,101.0,159.0,156.0,62.0,478.0,JUN,2020,,,,
RAZKRIŽJE,20.0,18.0,13.0,6.0,57.0,JUN,2020,,,,
REČICA OB SAVINJI,27.0,25.0,35.0,8.0,95.0,JUN,2020,,,,
RENČE-VOGRSKO,52.0,24.0,28.0,18.0,122.0,JUN,2020,,,,
RIBNICA,97.0,78.0,85.0,51.0,311.0,JUN,2020,,,,
RIBNICA NA POHORJU,17.0,31.0,18.0,6.0,72.0,JUN,2020,,,,
ROGAŠKA SLATINA,169.0,207.0,147.0,88.0,611.0,JUN,2020,,,,
ROGAŠOVCI,114.0,57.0,21.0,13.0,205.0,JUN,2020,,,,
ROGATEC,75.0,73.0,53.0,25.0,226.0,JUN,2020,,,,
RUŠE,113.0,121.0,116.0,58.0,408.0,JUN,2020,,,,
SELNICA OB DRAVI,50.0,54.0,61.0,31.0,196.0,JUN,2020,,,,
SEMIČ,87.0,63.0,46.0,13.0,209.0,JUN,2020,,,,
SEVNICA,190.0,251.0,171.0,108.0,720.0,JUN,2020,,,,
SEŽANA,178.0,126.0,156.0,97.0,557.0,JUN,2020,,,,
SLOVENJ GRADEC,185.0,198.0,188.0,149.0,720.0,JUN,2020,,,,
SLOVENSKA BISTRICA,275.0,246.0,283.0,184.0,988.0,JUN,2020,,,,
SLOVENSKE KONJICE,268.0,279.0,218.0,136.0,901.0,JUN,2020,,,,
SODRAŽICA,14.0,19.0,17.0,13.0,63.0,JUN,2020,,,,
SOLČAVA,0.0,5.0,5.0,1.0,11.0,JUN,2020,,,,
SREDIŠČE OB DRAVI,31.0,22.0,25.0,13.0,91.0,JUN,2020,,,,
STARŠE,38.0,65.0,53.0,26.0,182.0,JUN,2020,,,,
STRAŽA,35.0,27.0,23.0,13.0,98.0,JUN,2020,,,,
SVETA ANA,17.0,24.0,11.0,7.0,59.0,JUN,2020,,,,
SVETA TROJICA V SLOVENSKIH GORICAH,12.0,25.0,22.0,9.0,68.0,JUN,2020,,,,
SVETI ANDRAŽ V SLOV. GORICAH,6.0,10.0,12.0,4.0,32.0,JUN,2020,,,,
SVETI JURIJ OB ŠČAVNICI,34.0,43.0,34.0,19.0,130.0,JUN,2020,,,,
SVETI JURIJ V SLOVENSKIH GORICAH,9.0,18.0,16.0,15.0,58.0,JUN,2020,,,,
SVETI TOMAŽ,23.0,43.0,28.0,11.0,105.0,JUN,2020,,,,
ŠALOVCI,30.0,17.0,11.0,7.0,65.0,JUN,2020,,,,
ŠEMPETER-VRTOJBA,63.0,34.0,57.0,42.0,196.0,JUN,2020,,,,
ŠENČUR,70.0,71.0,83.0,50.0,274.0,JUN,2020,,,,
ŠENTILJ,115.0,111.0,79.0,51.0,356.0,JUN,2020,,,,
ŠENTJERNEJ,133.0,56.0,37.0,26.0,252.0,JUN,2020,,,,
ŠENTJUR,221.0,269.0,242.0,163.0,895.0,JUN,2020,,,,
ŠENTRUPERT,13.0,17.0,17.0,7.0,54.0,JUN,2020,,,,
ŠKOCJAN,100.0,29.0,22.0,10.0,161.0,JUN,2020,,,,
ŠKOFJA LOKA,172.0,151.0,186.0,155.0,664.0,JUN,2020,,,,
ŠKOFLJICA,90.0,90.0,99.0,87.0,366.0,JUN,2020,,,,
ŠMARJE PRI JELŠAH,163.0,151.0,130.0,73.0,517.0,JUN,2020,,,,
ŠMARJEŠKE TOPLICE,28.0,23.0,25.0,17.0,93.0,JUN,2020,,,,
ŠMARTNO OB PAKI,42.0,37.0,51.0,19.0,149.0,JUN,2020,,,,
ŠMARTNO PRI LITIJI,36.0,51.0,42.0,23.0,152.0,JUN,2020,,,,
ŠOŠTANJ,131.0,107.0,97.0,65.0,400.0,JUN,2020,,,,
ŠTORE,56.0,70.0,53.0,29.0,208.0,JUN,2020,,,,
TABOR,16.0,20.0,14.0,11.0,61.0,JUN,2020,,,,
TIŠINA,104.0,74.0,40.0,22.0,240.0,JUN,2020,,,,
TOLMIN,112.0,98.0,96.0,57.0,363.0,JUN,2020,,,,
TRBOVLJE,350.0,268.0,244.0,137.0,999.0,JUN,2020,,,,
TREBNJE,175.0,84.0,81.0,42.0,382.0,JUN,2020,,,,
TRNOVSKA VAS,10.0,17.0,9.0,6.0,42.0,JUN,2020,,,,
TRZIN,30.0,24.0,33.0,36.0,123.0,JUN,2020,,,,
TRŽIČ,174.0,151.0,160.0,68.0,553.0,JUN,2020,,,,
TURNIŠČE,57.0,53.0,32.0,19.0,161.0,JUN,2020,,,,
VELENJE,502.0,452.0,430.0,264.0,1648.0,JUN,2020,,,,
VELIKA POLANA,17.0,29.0,12.0,7.0,65.0,JUN,2020,,,,
VELIKE LAŠČE,31.0,36.0,41.0,22.0,130.0,JUN,2020,,,,
VERŽEJ,10.0,6.0,13.0,11.0,40.0,JUN,2020,,,,
VIDEM,66.0,72.0,63.0,27.0,228.0,JUN,2020,,,,
VIPAVA,37.0,39.0,36.0,39.0,151.0,JUN,2020,,,,
VITANJE,23.0,23.0,21.0,10.0,77.0,JUN,2020,,,,
VODICE,25.0,42.0,48.0,41.0,156.0,JUN,2020,,,,
VOJNIK,67.0,98.0,103.0,77.0,345.0,JUN,2020,,,,
VRANSKO,27.0,35.0,25.0,17.0,104.0,JUN,2020,,,,
VRHNIKA,181.0,151.0,190.0,116.0,638.0,JUN,2020,,,,
VUZENICA,25.0,40.0,26.0,21.0,112.0,JUN,2020,,,,
ZAGORJE OB SAVI,202.0,165.0,170.0,86.0,623.0,JUN,2020,,,,
ZAVRČ,22.0,28.0,15.0,4.0,69.0,JUN,2020,,,,
ZREČE,103.0,91.0,84.0,40.0,318.0,JUN,2020,,,,
ŽALEC,311.0,331.0,302.0,172.0,1116.0,JUN,2020,,,,
ŽELEZNIKI,43.0,37.0,25.0,22.0,127.0,JUN,2020,,,,
ŽETALE,11.0,8.0,12.0,6.0,37.0,JUN,2020,,,,
ŽIRI,12.0,29.0,29.0,27.0,97.0,JUN,2020,,,,
ŽIROVNICA,21.0,32.0,37.0,34.0,124.0,JUN,2020,,,,
ŽUŽEMBERK,33.0,48.0,28.0,26.0,135.0,JUN,2020,,,,
Občina izven RS,716.0,115.0,72.0,88.0,991.0,JUN,2020,,,,
,,,,,,JUN,2020,,,,
,,,,,89377.0,JUN,2020,,,,
AJDOVŠČINA,201.0,177.0,154.0,118.0,650.0,JUL,2020,,,,
ANKARAN,29.0,31.0,30.0,26.0,116.0,JUL,2020,,,,
APAČE,70.0,55.0,29.0,14.0,168.0,JUL,2020,,,,
BELTINCI,148.0,111.0,97.0,61.0,417.0,JUL,2020,,,,
BENEDIKT,21.0,22.0,22.0,12.0,77.0,JUL,2020,,,,
BISTRICA OB SOTLI,18.0,15.0,14.0,13.0,60.0,JUL,2020,,,,
BLED,41.0,54.0,100.0,73.0,268.0,JUL,2020,,,,
BLOKE,7.0,21.0,20.0,10.0,58.0,JUL,2020,,,,
BOHINJ,34.0,27.0,27.0,26.0,114.0,JUL,2020,,,,
BOROVNICA,58.0,59.0,42.0,34.0,193.0,JUL,2020,,,,
BOVEC,24.0,24.0,19.0,14.0,81.0,JUL,2020,,,,
BRASLOVČE,56.0,54.0,57.0,33.0,200.0,JUL,2020,,,,
BRDA,42.0,19.0,41.0,36.0,138.0,JUL,2020,,,,
BREZOVICA,82.0,115.0,140.0,94.0,431.0,JUL,2020,,,,
BREŽICE,331.0,383.0,313.0,163.0,1190.0,JUL,2020,,,,
CANKOVA,48.0,26.0,25.0,6.0,105.0,JUL,2020,,,,
CELJE,729.0,672.0,711.0,506.0,2618.0,JUL,2020,,,,
CERKLJE NA GORENJSKEM,53.0,44.0,78.0,52.0,227.0,JUL,2020,,,,
CERKNICA,85.0,90.0,110.0,73.0,358.0,JUL,2020,,,,
CERKNO,15.0,21.0,33.0,23.0,92.0,JUL,2020,,,,
CERKVENJAK,20.0,22.0,11.0,8.0,61.0,JUL,2020,,,,
CIRKULANE,31.0,31.0,13.0,8.0,83.0,JUL,2020,,,,
ČRENŠOVCI,120.0,69.0,48.0,23.0,260.0,JUL,2020,,,,
ČRNA NA KOROŠKEM,31.0,45.0,33.0,17.0,126.0,JUL,2020,,,,
ČRNOMELJ,427.0,252.0,154.0,75.0,908.0,JUL,2020,,,,
DESTRNIK,23.0,32.0,31.0,8.0,94.0,JUL,2020,,,,
DIVAČA,38.0,46.0,62.0,27.0,173.0,JUL,2020,,,,
DOBJE,7.0,11.0,9.0,3.0,30.0,JUL,2020,,,,
DOBREPOLJE,35.0,53.0,33.0,14.0,135.0,JUL,2020,,,,
DOBRNA,20.0,27.0,23.0,18.0,88.0,JUL,2020,,,,
DOBROVA-POLHOV GRADEC,32.0,51.0,61.0,35.0,179.0,JUL,2020,,,,
DOBROVNIK,43.0,24.0,16.0,4.0,87.0,JUL,2020,,,,
DOL PRI LJUBLJANI,48.0,63.0,45.0,51.0,207.0,JUL,2020,,,,
DOLENJSKE TOPLICE,37.0,27.0,24.0,26.0,114.0,JUL,2020,,,,
DOMŽALE,344.0,294.0,350.0,261.0,1249.0,JUL,2020,,,,
DORNAVA,20.0,29.0,21.0,18.0,88.0,JUL,2020,,,,
DRAVOGRAD,104.0,122.0,102.0,50.0,378.0,JUL,2020,,,,
DUPLEK,80.0,111.0,83.0,55.0,329.0,JUL,2020,,,,
GORENJA VAS-POLJANE,38.0,50.0,56.0,21.0,165.0,JUL,2020,,,,
GORIŠNICA,25.0,45.0,46.0,15.0,131.0,JUL,2020,,,,
GORJE,13.0,22.0,28.0,26.0,89.0,JUL,2020,,,,
GORNJA RADGONA,109.0,142.0,95.0,53.0,399.0,JUL,2020,,,,
GORNJI GRAD,18.0,25.0,20.0,11.0,74.0,JUL,2020,,,,
GORNJI PETROVCI,31.0,33.0,18.0,10.0,92.0,JUL,2020,,,,
GRAD,36.0,26.0,11.0,13.0,86.0,JUL,2020,,,,
GROSUPLJE,312.0,183.0,179.0,96.0,770.0,JUL,2020,,,,
HAJDINA,19.0,41.0,41.0,29.0,130.0,JUL,2020,,,,
HOČE-SLIVNICA,118.0,162.0,168.0,110.0,558.0,JUL,2020,,,,
HODOŠ,10.0,4.0,3.0,2.0,19.0,JUL,2020,,,,
HORJUL,12.0,15.0,26.0,13.0,66.0,JUL,2020,,,,
HRASTNIK,184.0,141.0,107.0,53.0,485.0,JUL,2020,,,,
HRPELJE-KOZINA,50.0,53.0,43.0,34.0,180.0,JUL,2020,,,,
IDRIJA,100.0,85.0,89.0,61.0,335.0,JUL,2020,,,,
IG,71.0,56.0,59.0,50.0,236.0,JUL,2020,,,,
ILIRSKA BISTRICA,131.0,132.0,127.0,80.0,470.0,JUL,2020,,,,
IVANČNA GORICA,132.0,161.0,145.0,94.0,532.0,JUL,2020,,,,
IZOLA,257.0,159.0,187.0,113.0,716.0,JUL,2020,,,,
JESENICE,286.0,246.0,192.0,85.0,809.0,JUL,2020,,,,
JEZERSKO,4.0,1.0,3.0,2.0,10.0,JUL,2020,,,,
JURŠINCI,21.0,30.0,20.0,8.0,79.0,JUL,2020,,,,
KAMNIK,302.0,264.0,337.0,164.0,1067.0,JUL,2020,,,,
KANAL,68.0,54.0,56.0,45.0,223.0,JUL,2020,,,,
KIDRIČEVO,36.0,77.0,81.0,33.0,227.0,JUL,2020,,,,
KOBARID,20.0,29.0,21.0,18.0,88.0,JUL,2020,,,,
KOBILJE,8.0,9.0,6.0,3.0,26.0,JUL,2020,,,,
KOČEVJE,484.0,360.0,195.0,93.0,1132.0,JUL,2020,,,,
KOMEN,30.0,23.0,46.0,31.0,130.0,JUL,2020,,,,
KOMENDA,37.0,47.0,47.0,32.0,163.0,JUL,2020,,,,
KOPER,716.0,542.0,618.0,383.0,2259.0,JUL,2020,,,,
KOSTANJEVICA NA KRKI,31.0,31.0,29.0,21.0,112.0,JUL,2020,,,,
KOSTEL,7.0,15.0,13.0,1.0,36.0,JUL,2020,,,,
KOZJE,58.0,54.0,34.0,19.0,165.0,JUL,2020,,,,
KRANJ,763.0,464.0,599.0,406.0,2232.0,JUL,2020,,,,
KRANJSKA GORA,25.0,37.0,56.0,34.0,152.0,JUL,2020,,,,
KRIŽEVCI,27.0,37.0,32.0,32.0,128.0,JUL,2020,,,,
KRŠKO,620.0,416.0,279.0,171.0,1486.0,JUL,2020,,,,
KUNGOTA,71.0,61.0,72.0,30.0,234.0,JUL,2020,,,,
KUZMA,38.0,12.0,8.0,11.0,69.0,JUL,2020,,,,
LAŠKO,180.0,190.0,142.0,91.0,603.0,JUL,2020,,,,
LENART,69.0,90.0,67.0,48.0,274.0,JUL,2020,,,,
LENDAVA,263.0,221.0,163.0,90.0,737.0,JUL,2020,,,,
LITIJA,217.0,149.0,106.0,79.0,551.0,JUL,2020,,,,
LJUBLJANA,3871.0,2717.0,3771.0,2934.0,13293.0,JUL,2020,,,,
LJUBNO,22.0,32.0,34.0,23.0,111.0,JUL,2020,,,,
LJUTOMER,139.0,152.0,113.0,66.0,470.0,JUL,2020,,,,
LOG - DRAGOMER,26.0,32.0,36.0,32.0,126.0,JUL,2020,,,,
LOGATEC,103.0,113.0,123.0,79.0,418.0,JUL,2020,,,,
LOŠKA DOLINA,33.0,27.0,38.0,24.0,122.0,JUL,2020,,,,
LOŠKI POTOK,9.0,17.0,21.0,6.0,53.0,JUL,2020,,,,
LOVRENC NA POHORJU,31.0,51.0,29.0,15.0,126.0,JUL,2020,,,,
LUČE,22.0,16.0,11.0,4.0,53.0,JUL,2020,,,,
LUKOVICA,49.0,60.0,43.0,23.0,175.0,JUL,2020,,,,
MAJŠPERK,36.0,34.0,52.0,22.0,144.0,JUL,2020,,,,
MAKOLE,18.0,27.0,18.0,18.0,81.0,JUL,2020,,,,
MARIBOR,1854.0,1572.0,1755.0,1260.0,6441.0,JUL,2020,,,,
MARKOVCI,24.0,53.0,49.0,18.0,144.0,JUL,2020,,,,
MEDVODE,123.0,130.0,198.0,134.0,585.0,JUL,2020,,,,
MENGEŠ,87.0,63.0,88.0,53.0,291.0,JUL,2020,,,,
METLIKA,226.0,123.0,101.0,54.0,504.0,JUL,2020,,,,
MEŽICA,38.0,48.0,42.0,21.0,149.0,JUL,2020,,,,
MIKLAVŽ NA DRAVSKEM POLJU,73.0,94.0,89.0,48.0,304.0,JUL,2020,,,,
MIREN-KOSTANJEVICA,33.0,26.0,31.0,29.0,119.0,JUL,2020,,,,
MIRNA,27.0,20.0,12.0,11.0,70.0,JUL,2020,,,,
MIRNA PEČ,21.0,23.0,16.0,13.0,73.0,JUL,2020,,,,
MISLINJA,33.0,56.0,52.0,28.0,169.0,JUL,2020,,,,
MOKRONOG-TREBELNO,28.0,23.0,18.0,14.0,83.0,JUL,2020,,,,
MORAVČE,34.0,43.0,38.0,21.0,136.0,JUL,2020,,,,
MORAVSKE TOPLICE,91.0,69.0,85.0,57.0,302.0,JUL,2020,,,,
