Kohezijska / Statistična regija,1+2              OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"Kohezijska / 
statistična regija","OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
,,,,,4523.0,FEB,2022,Jugovzhodna Slovenija,2169.0,1044.0,839.0,471.0
,,,,,2059.0,FEB,2022,Koroška,509.0,696.0,555.0,299.0
,,,,,11385.0,FEB,2022,Podravska,3234.0,3156.0,3101.0,1894.0
,,,,,4400.0,FEB,2022,Pomurska,1607.0,1243.0,973.0,577.0
,,,,,2917.0,FEB,2022,Posavska,1054.0,881.0,650.0,332.0
,,,,,1193.0,FEB,2022,Primorsko-notranjska,393.0,322.0,296.0,182.0
,,,,,8906.0,FEB,2022,Savinjska,2661.0,2452.0,2359.0,1434.0
,,,,,2037.0,FEB,2022,Zasavska,715.0,560.0,495.0,267.0
,,,,,,FEB,2022,,,,,
,,,,,26710.0,FEB,2022,Zahodna Slovenija,8224.0,6003.0,7345.0,5138.0
,,,,,4189.0,FEB,2022,Gorenjska,1286.0,983.0,1154.0,766.0
,,,,,2403.0,FEB,2022,Goriška,758.0,545.0,600.0,500.0
,,,,,3658.0,FEB,2022,Obalno-kraška,1137.0,887.0,1024.0,610.0
,,,,,16460.0,FEB,2022,Osrednjeslovenska,5043.0,3588.0,4567.0,3262.0
,,,,,,FEB,2022,,,,,
,,,,,653.0,FEB,2022,Občina izven RS,544.0,40.0,24.0,45.0
,,,,,60534.0,MAR,2022,Slovenija,19280.0,15315.0,15800.0,10139.0
,,,,,,MAR,2022,,,,,
,,,,,34893.0,MAR,2022,Vzhodna Slovenija,11314.0,9607.0,8787.0,5185.0
,,,,,4251.0,MAR,2022,Jugovzhodna Slovenija,2050.0,960.0,790.0,451.0
,,,,,1893.0,MAR,2022,Koroška,450.0,633.0,514.0,296.0
,,,,,10564.0,MAR,2022,Podravska,2922.0,2915.0,2944.0,1783.0
,,,,,3978.0,MAR,2022,Pomurska,1452.0,1097.0,897.0,532.0
,,,,,2802.0,MAR,2022,Posavska,997.0,837.0,647.0,321.0
,,,,,1114.0,MAR,2022,Primorsko-notranjska,367.0,298.0,281.0,168.0
,,,,,8340.0,MAR,2022,Savinjska,2394.0,2336.0,2231.0,1379.0
,,,,,1951.0,MAR,2022,Zasavska,682.0,531.0,483.0,255.0
,,,,,,MAR,2022,,,,,
,,,,,25163.0,MAR,2022,Zahodna Slovenija,7587.0,5680.0,6990.0,4906.0
,,,,,3843.0,MAR,2022,Gorenjska,1124.0,873.0,1107.0,739.0
,,,,,2290.0,MAR,2022,Goriška,720.0,525.0,562.0,483.0
,,,,,3464.0,MAR,2022,Obalno-kraška,1061.0,838.0,983.0,582.0
,,,,,15566.0,MAR,2022,Osrednjeslovenska,4682.0,3444.0,4338.0,3102.0
,,,,,,MAR,2022,,,,,
,,,,,478.0,MAR,2022,Občina izven RS,379.0,28.0,23.0,48.0
,,,,,58081.0,APR,2022,Slovenija,18363.0,14625.0,15194.0,9899.0
,,,,,,APR,2022,,,,,
,,,,,33690.0,APR,2022,Vzhodna Slovenija,10891.0,9192.0,8516.0,5091.0
,,,,,4259.0,APR,2022,Jugovzhodna Slovenija,2046.0,957.0,794.0,462.0
,,,,,1834.0,APR,2022,Koroška,437.0,614.0,495.0,288.0
,,,,,10176.0,APR,2022,Podravska,2766.0,2807.0,2839.0,1764.0
,,,,,3730.0,APR,2022,Pomurska,1365.0,998.0,851.0,516.0
,,,,,2697.0,APR,2022,Posavska,965.0,796.0,620.0,316.0
,,,,,1043.0,APR,2022,Primorsko-notranjska,349.0,277.0,257.0,160.0
,,,,,8068.0,APR,2022,Savinjska,2306.0,2228.0,2187.0,1347.0
,,,,,1883.0,APR,2022,Zasavska,657.0,515.0,473.0,238.0
,,,,,,APR,2022,,,,,
,,,,,23930.0,APR,2022,Zahodna Slovenija,7109.0,5411.0,6649.0,4761.0
,,,,,3580.0,APR,2022,Gorenjska,1019.0,820.0,1036.0,705.0
,,,,,2190.0,APR,2022,Goriška,703.0,486.0,524.0,477.0
,,,,,3172.0,APR,2022,Obalno-kraška,947.0,789.0,890.0,546.0
,,,,,14988.0,APR,2022,Osrednjeslovenska,4440.0,3316.0,4199.0,3033.0
,,,,,,APR,2022,,,,,
,,,,,461.0,APR,2022,Občina izven RS,363.0,22.0,29.0,47.0
,,,,,55854.0,MAJ,2022,Slovenija,17649.0,14101.0,14557.0,9547.0
,,,,,,MAJ,2022,,,,,
,,,,,32532.0,MAJ,2022,Vzhodna Slovenija,10532.0,8879.0,8167.0,4954.0
