Kohezijska / statistična regija,Do 2 meseca,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,"12 do 23
 mesecev","24 do 35
 mesecev",36 mesecev ali več,Skupaj,month,year,"Kohezijska /
statistična regija","do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.","12-23
mes.","24-35
mes.","36 mes.
ali več"
Slovenija,13228.0,8895.0,7554.0,6622.0,13249.0,5855.0,20517.0,75920.0,AVG,2018,,,,,,,,
,,,,,,,,,AVG,2018,,,,,,,,
Vzhodna Slovenija,7698.0,5019.0,4413.0,3882.0,7690.0,3521.0,12380.0,44603.0,AVG,2018,,,,,,,,
Jugovzhodna Slovenija,855.0,534.0,512.0,420.0,865.0,384.0,1966.0,5536.0,AVG,2018,,,,,,,,
Koroška,455.0,302.0,201.0,192.0,323.0,187.0,591.0,2251.0,AVG,2018,,,,,,,,
Podravska,2388.0,1589.0,1389.0,1269.0,2510.0,1101.0,2706.0,12952.0,AVG,2018,,,,,,,,
Pomurska,839.0,507.0,556.0,485.0,921.0,469.0,2131.0,5908.0,AVG,2018,,,,,,,,
Posavska,519.0,323.0,256.0,229.0,489.0,259.0,1135.0,3210.0,AVG,2018,,,,,,,,
Primorsko-notranjska,328.0,211.0,186.0,129.0,304.0,111.0,430.0,1699.0,AVG,2018,,,,,,,,
Savinjska,1835.0,1265.0,1073.0,952.0,1877.0,813.0,2829.0,10644.0,AVG,2018,,,,,,,,
Zasavska,479.0,288.0,240.0,206.0,401.0,197.0,592.0,2403.0,AVG,2018,,,,,,,,
,,,,,,,,,AVG,2018,,,,,,,,
Zahodna Slovenija,5397.0,3801.0,3092.0,2705.0,5501.0,2318.0,8116.0,30930.0,AVG,2018,,,,,,,,
Gorenjska,1072.0,738.0,577.0,452.0,871.0,307.0,865.0,4882.0,AVG,2018,,,,,,,,
Goriška,613.0,387.0,307.0,266.0,599.0,212.0,688.0,3072.0,AVG,2018,,,,,,,,
Obalno-kraška,724.0,523.0,390.0,323.0,680.0,250.0,922.0,3812.0,AVG,2018,,,,,,,,
Osrednjeslovenska,2988.0,2153.0,1818.0,1664.0,3351.0,1549.0,5641.0,19164.0,AVG,2018,,,,,,,,
,,,,,,,,,AVG,2018,,,,,,,,
Občina izven RS,133.0,75.0,49.0,35.0,58.0,16.0,21.0,387.0,AVG,2018,,,,,,,,
Slovenija,12994.0,8190.0,7445.0,6081.0,13023.0,5716.0,20332.0,73781.0,SEP,2018,,,,,,,,
,,,,,,,,,SEP,2018,,,,,,,,
Vzhodna Slovenija,7439.0,4617.0,4332.0,3517.0,7555.0,3435.0,12276.0,43171.0,SEP,2018,,,,,,,,
Jugovzhodna Slovenija,814.0,491.0,507.0,392.0,834.0,345.0,1954.0,5337.0,SEP,2018,,,,,,,,
Koroška,386.0,278.0,212.0,174.0,311.0,179.0,595.0,2135.0,SEP,2018,,,,,,,,
Podravska,2340.0,1469.0,1372.0,1115.0,2504.0,1082.0,2692.0,12574.0,SEP,2018,,,,,,,,
Pomurska,809.0,468.0,513.0,451.0,902.0,470.0,2106.0,5719.0,SEP,2018,,,,,,,,
Posavska,529.0,317.0,263.0,199.0,475.0,258.0,1130.0,3171.0,SEP,2018,,,,,,,,
Primorsko-notranjska,330.0,181.0,160.0,149.0,280.0,108.0,425.0,1633.0,SEP,2018,,,,,,,,
Savinjska,1789.0,1154.0,1087.0,826.0,1866.0,794.0,2795.0,10311.0,SEP,2018,,,,,,,,
Zasavska,442.0,259.0,218.0,211.0,383.0,199.0,579.0,2291.0,SEP,2018,,,,,,,,
,,,,,,,,,SEP,2018,,,,,,,,
Zahodna Slovenija,5422.0,3507.0,3064.0,2538.0,5400.0,2267.0,8034.0,30232.0,SEP,2018,,,,,,,,
Gorenjska,1041.0,653.0,571.0,420.0,842.0,286.0,856.0,4669.0,SEP,2018,,,,,,,,
Goriška,624.0,355.0,316.0,233.0,579.0,208.0,676.0,2991.0,SEP,2018,,,,,,,,
Obalno-kraška,758.0,461.0,382.0,318.0,654.0,246.0,915.0,3734.0,SEP,2018,,,,,,,,
Osrednjeslovenska,2999.0,2038.0,1795.0,1567.0,3325.0,1527.0,5587.0,18838.0,SEP,2018,,,,,,,,
,,,,,,,,,SEP,2018,,,,,,,,
Občina izven RS,133.0,66.0,49.0,26.0,68.0,14.0,22.0,378.0,SEP,2018,,,,,,,,
Slovenija,16106.0,8669.0,5785.0,6407.0,13268.0,5799.0,20198.0,76232.0,OKT,2018,,,,,,,,
,,,,,,,,,OKT,2018,,,,,,,,
Vzhodna Slovenija,9304.0,4946.0,3198.0,3746.0,7762.0,3459.0,12187.0,44602.0,OKT,2018,,,,,,,,
Jugovzhodna Slovenija,953.0,537.0,341.0,462.0,850.0,346.0,1900.0,5389.0,OKT,2018,,,,,,,,
Koroška,553.0,261.0,176.0,173.0,336.0,174.0,597.0,2270.0,OKT,2018,,,,,,,,
Podravska,2894.0,1561.0,1005.0,1184.0,2574.0,1102.0,2694.0,13014.0,OKT,2018,,,,,,,,
Pomurska,1114.0,499.0,348.0,498.0,936.0,477.0,2082.0,5954.0,OKT,2018,,,,,,,,
Posavska,655.0,357.0,215.0,197.0,485.0,265.0,1133.0,3307.0,OKT,2018,,,,,,,,
Primorsko-notranjska,408.0,180.0,133.0,142.0,281.0,105.0,421.0,1670.0,OKT,2018,,,,,,,,
Savinjska,2237.0,1252.0,817.0,881.0,1907.0,786.0,2776.0,10656.0,OKT,2018,,,,,,,,
Zasavska,490.0,299.0,163.0,209.0,393.0,204.0,584.0,2342.0,OKT,2018,,,,,,,,
,,,,,,,,,OKT,2018,,,,,,,,
Zahodna Slovenija,6655.0,3653.0,2539.0,2635.0,5436.0,2327.0,7991.0,31236.0,OKT,2018,,,,,,,,
Gorenjska,1324.0,672.0,476.0,457.0,859.0,286.0,857.0,4931.0,OKT,2018,,,,,,,,
Goriška,827.0,368.0,240.0,271.0,542.0,225.0,675.0,3148.0,OKT,2018,,,,,,,,
Obalno-kraška,982.0,494.0,320.0,325.0,655.0,265.0,908.0,3949.0,OKT,2018,,,,,,,,
Osrednjeslovenska,3522.0,2119.0,1503.0,1582.0,3380.0,1551.0,5551.0,19208.0,OKT,2018,,,,,,,,
,,,,,,,,,OKT,2018,,,,,,,,
Občina izven RS,147.0,70.0,48.0,26.0,70.0,13.0,20.0,394.0,OKT,2018,,,,,,,,
Slovenija,17199.0,7728.0,6286.0,5722.0,13358.0,5781.0,20025.0,76099.0,NOV,2018,,,,,,,,
,,,,,,,,,NOV,2018,,,,,,,,
Vzhodna Slovenija,9839.0,4354.0,3520.0,3347.0,7803.0,3450.0,12106.0,44419.0,NOV,2018,,,,,,,,
Jugovzhodna Slovenija,991.0,483.0,394.0,408.0,851.0,338.0,1888.0,5353.0,NOV,2018,,,,,,,,
Koroška,563.0,223.0,199.0,142.0,350.0,170.0,596.0,2243.0,NOV,2018,,,,,,,,
Podravska,3124.0,1376.0,1127.0,1038.0,2562.0,1128.0,2668.0,13023.0,NOV,2018,,,,,,,,
Pomurska,1228.0,464.0,349.0,435.0,957.0,479.0,2081.0,5993.0,NOV,2018,,,,,,,,
Posavska,685.0,298.0,246.0,197.0,487.0,253.0,1132.0,3298.0,NOV,2018,,,,,,,,
Primorsko-notranjska,410.0,188.0,141.0,128.0,279.0,111.0,416.0,1673.0,NOV,2018,,,,,,,,
Savinjska,2322.0,1056.0,871.0,812.0,1918.0,776.0,2747.0,10502.0,NOV,2018,,,,,,,,
Zasavska,516.0,266.0,193.0,187.0,399.0,195.0,578.0,2334.0,NOV,2018,,,,,,,,
,,,,,,,,,NOV,2018,,,,,,,,
Zahodna Slovenija,7183.0,3310.0,2722.0,2344.0,5489.0,2320.0,7899.0,31267.0,NOV,2018,,,,,,,,
Gorenjska,1477.0,597.0,480.0,433.0,850.0,279.0,839.0,4955.0,NOV,2018,,,,,,,,
Goriška,838.0,357.0,269.0,222.0,553.0,231.0,666.0,3136.0,NOV,2018,,,,,,,,
Obalno-kraška,1150.0,461.0,367.0,280.0,667.0,267.0,908.0,4100.0,NOV,2018,,,,,,,,
Osrednjeslovenska,3718.0,1895.0,1606.0,1409.0,3419.0,1543.0,5486.0,19076.0,NOV,2018,,,,,,,,
,,,,,,,,,NOV,2018,,,,,,,,
Občina izven RS,177.0,64.0,44.0,31.0,66.0,11.0,20.0,413.0,NOV,2018,,,,,,,,
Slovenija,17602.0,10031.0,6070.0,5840.0,13258.0,5761.0,19972.0,78534.0,DEC,2018,,,,,,,,
,,,,,,,,,DEC,2018,,,,,,,,
Vzhodna Slovenija,10189.0,5726.0,3420.0,3438.0,7712.0,3433.0,12098.0,46016.0,DEC,2018,,,,,,,,
Jugovzhodna Slovenija,922.0,615.0,381.0,420.0,840.0,323.0,1885.0,5386.0,DEC,2018,,,,,,,,
Koroška,549.0,289.0,186.0,168.0,341.0,168.0,594.0,2295.0,DEC,2018,,,,,,,,
Podravska,3243.0,1835.0,1100.0,1061.0,2515.0,1115.0,2688.0,13557.0,DEC,2018,,,,,,,,
Pomurska,1503.0,614.0,352.0,423.0,955.0,487.0,2072.0,6406.0,DEC,2018,,,,,,,,
Posavska,767.0,396.0,234.0,216.0,477.0,252.0,1140.0,3482.0,DEC,2018,,,,,,,,
Primorsko-notranjska,410.0,250.0,132.0,106.0,303.0,107.0,415.0,1723.0,DEC,2018,,,,,,,,
Savinjska,2335.0,1374.0,839.0,871.0,1875.0,789.0,2740.0,10823.0,DEC,2018,,,,,,,,
Zasavska,460.0,353.0,196.0,173.0,406.0,192.0,564.0,2344.0,DEC,2018,,,,,,,,
,,,,,,,,,DEC,2018,,,,,,,,
Zahodna Slovenija,7120.0,4229.0,2608.0,2367.0,5484.0,2317.0,7853.0,31978.0,DEC,2018,,,,,,,,
Gorenjska,1672.0,771.0,452.0,431.0,831.0,287.0,823.0,5267.0,DEC,2018,,,,,,,,
Goriška,741.0,474.0,247.0,239.0,552.0,229.0,663.0,3145.0,DEC,2018,,,,,,,,
Obalno-kraška,1044.0,631.0,350.0,285.0,677.0,267.0,906.0,4160.0,DEC,2018,,,,,,,,
Osrednjeslovenska,3663.0,2353.0,1559.0,1412.0,3424.0,1534.0,5461.0,19406.0,DEC,2018,,,,,,,,
,,,,,,,,,DEC,2018,,,,,,,,
Občina izven RS,293.0,76.0,42.0,35.0,62.0,11.0,21.0,540.0,DEC,2018,,,,,,,,
Slovenija,21201.0,10850.0,6461.0,4544.0,13585.0,6036.0,20114.0,82791.0,JAN,2019,,,,,,,,
,,,,,,,,,JAN,2019,,,,,,,,
Vzhodna Slovenija,12597.0,6215.0,3659.0,2550.0,7944.0,3633.0,12195.0,48793.0,JAN,2019,,,,,,,,
Jugovzhodna Slovenija,1162.0,618.0,424.0,284.0,921.0,335.0,1883.0,5627.0,JAN,2019,,,,,,,,
Koroška,670.0,334.0,189.0,143.0,332.0,176.0,607.0,2451.0,JAN,2019,,,,,,,,
Podravska,4029.0,2007.0,1149.0,805.0,2575.0,1194.0,2743.0,14502.0,JAN,2019,,,,,,,,
Pomurska,1996.0,743.0,376.0,277.0,990.0,494.0,2072.0,6948.0,JAN,2019,,,,,,,,
Posavska,837.0,429.0,255.0,175.0,473.0,251.0,1146.0,3566.0,JAN,2019,,,,,,,,
Primorsko-notranjska,457.0,262.0,136.0,103.0,280.0,124.0,417.0,1779.0,JAN,2019,,,,,,,,
Savinjska,2866.0,1495.0,910.0,632.0,1951.0,867.0,2759.0,11480.0,JAN,2019,,,,,,,,
Zasavska,580.0,327.0,220.0,131.0,422.0,192.0,568.0,2440.0,JAN,2019,,,,,,,,
,,,,,,,,,JAN,2019,,,,,,,,
Zahodna Slovenija,8180.0,4543.0,2760.0,1961.0,5578.0,2390.0,7897.0,33309.0,JAN,2019,,,,,,,,
Gorenjska,1876.0,809.0,490.0,348.0,864.0,297.0,821.0,5505.0,JAN,2019,,,,,,,,
Goriška,821.0,542.0,258.0,177.0,566.0,231.0,665.0,3260.0,JAN,2019,,,,,,,,
Obalno-kraška,1290.0,708.0,381.0,245.0,682.0,277.0,916.0,4499.0,JAN,2019,,,,,,,,
Osrednjeslovenska,4193.0,2484.0,1631.0,1191.0,3466.0,1585.0,5495.0,20045.0,JAN,2019,,,,,,,,
,,,,,,,,,JAN,2019,,,,,,,,
Občina izven RS,424.0,92.0,42.0,33.0,63.0,13.0,22.0,689.0,JAN,2019,,,,,,,,
Slovenija,19001.0,11789.0,5838.0,5010.0,13317.0,5943.0,19857.0,80755.0,FEB,2019,,,,,,,,
,,,,,,,,,FEB,2019,,,,,,,,
Vzhodna Slovenija,11358.0,6770.0,3293.0,2865.0,7749.0,3584.0,12001.0,47620.0,FEB,2019,,,,,,,,
Jugovzhodna Slovenija,994.0,660.0,368.0,342.0,910.0,335.0,1853.0,5462.0,FEB,2019,,,,,,,,
Koroška,633.0,366.0,160.0,152.0,333.0,163.0,599.0,2406.0,FEB,2019,,,,,,,,
Podravska,3573.0,2196.0,1050.0,912.0,2495.0,1213.0,2680.0,14119.0,FEB,2019,,,,,,,,
Pomurska,1687.0,855.0,358.0,292.0,943.0,484.0,2057.0,6676.0,FEB,2019,,,,,,,,
Posavska,675.0,461.0,228.0,194.0,481.0,242.0,1135.0,3416.0,FEB,2019,,,,,,,,
Primorsko-notranjska,408.0,271.0,137.0,112.0,270.0,112.0,415.0,1725.0,FEB,2019,,,,,,,,
Savinjska,2842.0,1618.0,779.0,702.0,1910.0,837.0,2718.0,11406.0,FEB,2019,,,,,,,,
Zasavska,546.0,343.0,213.0,159.0,407.0,198.0,544.0,2410.0,FEB,2019,,,,,,,,
,,,,,,,,,FEB,2019,,,,,,,,
Zahodna Slovenija,7263.0,4907.0,2503.0,2117.0,5505.0,2347.0,7834.0,32476.0,FEB,2019,,,,,,,,
Gorenjska,1670.0,934.0,444.0,355.0,880.0,283.0,811.0,5377.0,FEB,2019,,,,,,,,
Goriška,712.0,549.0,248.0,202.0,544.0,228.0,656.0,3139.0,FEB,2019,,,,,,,,
Obalno-kraška,1101.0,811.0,355.0,279.0,662.0,279.0,914.0,4401.0,FEB,2019,,,,,,,,
Osrednjeslovenska,3780.0,2613.0,1456.0,1281.0,3419.0,1557.0,5453.0,19559.0,FEB,2019,,,,,,,,
,,,,,,,,,FEB,2019,,,,,,,,
Občina izven RS,380.0,112.0,42.0,28.0,63.0,12.0,22.0,659.0,FEB,2019,,,,,,,,
Slovenija,15622.0,10224.0,7188.0,4762.0,13277.0,5819.0,19641.0,76533.0,MAR,2019,,,,,,,,
,,,,,,,,,MAR,2019,,,,,,,,
Vzhodna Slovenija,9101.0,5827.0,4127.0,2701.0,7690.0,3516.0,11877.0,44839.0,MAR,2019,,,,,,,,
Jugovzhodna Slovenija,893.0,539.0,416.0,327.0,906.0,324.0,1824.0,5229.0,MAR,2019,,,,,,,,
Koroška,565.0,324.0,205.0,132.0,345.0,163.0,593.0,2327.0,MAR,2019,,,,,,,,
