Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
OS Koper,1861.0,1497.0,1607.0,952.0,5917.0,OKT,2020,,,,
UD Ilirska Bistrica,126.0,119.0,116.0,70.0,431.0,OKT,2020,,,,
UD Izola,230.0,165.0,170.0,82.0,647.0,OKT,2020,,,,
UD Koper,721.0,588.0,649.0,410.0,2368.0,OKT,2020,,,,
UD Piran,221.0,208.0,227.0,145.0,801.0,OKT,2020,,,,
UD Postojna,322.0,206.0,206.0,111.0,845.0,OKT,2020,,,,
UD Sežana,241.0,211.0,239.0,134.0,825.0,OKT,2020,,,,
OS Kranj,1751.0,1479.0,1843.0,1058.0,6131.0,OKT,2020,,,,
UD Jesenice,277.0,267.0,233.0,116.0,893.0,OKT,2020,,,,
UD Kranj,857.0,604.0,844.0,517.0,2822.0,OKT,2020,,,,
UD Radovljica,254.0,249.0,356.0,192.0,1051.0,OKT,2020,,,,
UD Škofja Loka,226.0,245.0,269.0,180.0,920.0,OKT,2020,,,,
UD Tržič,137.0,114.0,141.0,53.0,445.0,OKT,2020,,,,
OS Ljubljana,7009.0,5307.0,6827.0,5186.0,24329.0,OKT,2020,,,,
UD Cerknica,108.0,131.0,147.0,75.0,461.0,OKT,2020,,,,
UD Domžale,540.0,470.0,536.0,390.0,1936.0,OKT,2020,,,,
UD Grosuplje,471.0,353.0,336.0,218.0,1378.0,OKT,2020,,,,
UD Kamnik,304.0,287.0,340.0,179.0,1110.0,OKT,2020,,,,
UD Kočevje,502.0,337.0,211.0,76.0,1126.0,OKT,2020,,,,
UD Ljubljana,4649.0,3274.0,4828.0,3933.0,16684.0,OKT,2020,,,,
UD Logatec,90.0,114.0,109.0,79.0,392.0,OKT,2020,,,,
UD Ribnica,118.0,102.0,78.0,55.0,353.0,OKT,2020,,,,
UD Vrhnika,227.0,239.0,242.0,181.0,889.0,OKT,2020,,,,
OS Maribor,3163.0,2946.0,3142.0,2038.0,11289.0,OKT,2020,,,,
UD Lenart,123.0,131.0,115.0,72.0,441.0,OKT,2020,,,,
UD Maribor,2334.0,2041.0,2299.0,1558.0,8232.0,OKT,2020,,,,
UD Pesnica,209.0,237.0,188.0,92.0,726.0,OKT,2020,,,,
UD Ruše,148.0,210.0,174.0,91.0,623.0,OKT,2020,,,,
UD Slovenska Bistrica,349.0,327.0,366.0,225.0,1267.0,OKT,2020,,,,
OS Murska Sobota,2074.0,1575.0,1199.0,695.0,5543.0,OKT,2020,,,,
UD Gornja Radgona,242.0,264.0,193.0,116.0,815.0,OKT,2020,,,,
UD Lendava,506.0,374.0,253.0,112.0,1245.0,OKT,2020,,,,
UD Ljutomer,182.0,194.0,160.0,101.0,637.0,OKT,2020,,,,
UD Murska Sobota,1144.0,743.0,593.0,366.0,2846.0,OKT,2020,,,,
OS Nova Gorica,1083.0,783.0,878.0,649.0,3393.0,OKT,2020,,,,
UD Ajdovščina,224.0,208.0,194.0,136.0,762.0,OKT,2020,,,,
UD Idrija,102.0,92.0,110.0,66.0,370.0,OKT,2020,,,,
UD Nova Gorica,632.0,361.0,477.0,376.0,1846.0,OKT,2020,,,,
UD Tolmin,125.0,122.0,97.0,71.0,415.0,OKT,2020,,,,
OS Novo mesto,1764.0,933.0,820.0,488.0,4005.0,OKT,2020,,,,
UD Črnomelj,454.0,262.0,167.0,73.0,956.0,OKT,2020,,,,
UD Metlika,220.0,122.0,84.0,36.0,462.0,OKT,2020,,,,
UD Novo mesto,862.0,424.0,448.0,312.0,2046.0,OKT,2020,,,,
UD Trebnje,228.0,125.0,121.0,67.0,541.0,OKT,2020,,,,
OS Ptuj,813.0,1037.0,1004.0,430.0,3284.0,OKT,2020,,,,
UD Ormož,166.0,215.0,167.0,73.0,621.0,OKT,2020,,,,
UD Ptuj,647.0,822.0,837.0,357.0,2663.0,OKT,2020,,,,
OS Sevnica,1189.0,1029.0,723.0,453.0,3394.0,OKT,2020,,,,
UD Brežice,323.0,351.0,296.0,160.0,1130.0,OKT,2020,,,,
UD Krško,669.0,419.0,283.0,174.0,1545.0,OKT,2020,,,,
UD Sevnica,197.0,259.0,144.0,119.0,719.0,OKT,2020,,,,
OS Trbovlje,938.0,713.0,618.0,329.0,2598.0,OKT,2020,,,,
UD Hrastnik,178.0,140.0,114.0,58.0,490.0,OKT,2020,,,,
UD Litija,229.0,171.0,125.0,83.0,608.0,OKT,2020,,,,
UD Trbovlje,335.0,258.0,227.0,129.0,949.0,OKT,2020,,,,
UD Zagorje,196.0,144.0,152.0,59.0,551.0,OKT,2020,,,,
OS Velenje,1328.0,1468.0,1368.0,807.0,4971.0,OKT,2020,,,,
UD Dravograd,78.0,95.0,80.0,39.0,292.0,OKT,2020,,,,
UD Mozirje,138.0,154.0,166.0,94.0,552.0,OKT,2020,,,,
UD Radlje ob Dravi,146.0,229.0,150.0,85.0,610.0,OKT,2020,,,,
UD Ravne na Koroškem,182.0,274.0,250.0,110.0,816.0,OKT,2020,,,,
UD Slovenj Gradec,188.0,204.0,183.0,140.0,715.0,OKT,2020,,,,
UD Velenje,596.0,512.0,539.0,339.0,1986.0,OKT,2020,,,,
,,,,,,OKT,2020,,,,
,,,,,83654.0,OKT,2020,,,,
OS Celje,2430.0,2540.0,2410.0,1386.0,8766.0,NOV,2020,,,,
UD Celje,732.0,777.0,824.0,563.0,2896.0,NOV,2020,,,,
UD Laško,181.0,193.0,156.0,73.0,603.0,NOV,2020,,,,
UD Slovenske Konjice,364.0,377.0,340.0,170.0,1251.0,NOV,2020,,,,
UD Šentjur,194.0,262.0,231.0,132.0,819.0,NOV,2020,,,,
UD Šmarje pri Jelšah,514.0,507.0,413.0,191.0,1625.0,NOV,2020,,,,
UD Žalec,445.0,424.0,446.0,257.0,1572.0,NOV,2020,,,,
OS Koper,1993.0,1585.0,1708.0,987.0,6273.0,NOV,2020,,,,
UD Ilirska Bistrica,125.0,123.0,117.0,69.0,434.0,NOV,2020,,,,
UD Izola,275.0,180.0,182.0,88.0,725.0,NOV,2020,,,,
UD Koper,764.0,622.0,702.0,418.0,2506.0,NOV,2020,,,,
UD Piran,256.0,250.0,267.0,160.0,933.0,NOV,2020,,,,
UD Postojna,323.0,201.0,201.0,117.0,842.0,NOV,2020,,,,
UD Sežana,250.0,209.0,239.0,135.0,833.0,NOV,2020,,,,
OS Kranj,1747.0,1504.0,1809.0,1054.0,6114.0,NOV,2020,,,,
UD Jesenice,280.0,291.0,240.0,120.0,931.0,NOV,2020,,,,
UD Kranj,842.0,599.0,811.0,503.0,2755.0,NOV,2020,,,,
UD Radovljica,260.0,262.0,365.0,201.0,1088.0,NOV,2020,,,,
UD Škofja Loka,231.0,242.0,251.0,178.0,902.0,NOV,2020,,,,
UD Tržič,134.0,110.0,142.0,52.0,438.0,NOV,2020,,,,
OS Ljubljana,7047.0,5356.0,6840.0,5065.0,24308.0,NOV,2020,,,,
UD Cerknica,104.0,126.0,130.0,73.0,433.0,NOV,2020,,,,
UD Domžale,525.0,460.0,520.0,368.0,1873.0,NOV,2020,,,,
UD Grosuplje,476.0,348.0,330.0,223.0,1377.0,NOV,2020,,,,
UD Kamnik,318.0,278.0,332.0,170.0,1098.0,NOV,2020,,,,
UD Kočevje,502.0,333.0,209.0,84.0,1128.0,NOV,2020,,,,
UD Ljubljana,4686.0,3354.0,4886.0,3844.0,16770.0,NOV,2020,,,,
UD Logatec,86.0,116.0,113.0,71.0,386.0,NOV,2020,,,,
UD Ribnica,121.0,100.0,71.0,52.0,344.0,NOV,2020,,,,
UD Vrhnika,229.0,241.0,249.0,180.0,899.0,NOV,2020,,,,
OS Maribor,3204.0,3007.0,3200.0,2052.0,11463.0,NOV,2020,,,,
UD Lenart,118.0,130.0,123.0,76.0,447.0,NOV,2020,,,,
UD Maribor,2373.0,2110.0,2331.0,1571.0,8385.0,NOV,2020,,,,
UD Pesnica,220.0,239.0,197.0,97.0,753.0,NOV,2020,,,,
UD Ruše,146.0,203.0,177.0,87.0,613.0,NOV,2020,,,,
UD Slovenska Bistrica,347.0,325.0,372.0,221.0,1265.0,NOV,2020,,,,
OS Murska Sobota,2112.0,1597.0,1250.0,695.0,5654.0,NOV,2020,,,,
UD Gornja Radgona,250.0,273.0,202.0,116.0,841.0,NOV,2020,,,,
UD Lendava,501.0,375.0,250.0,109.0,1235.0,NOV,2020,,,,
UD Ljutomer,195.0,206.0,168.0,96.0,665.0,NOV,2020,,,,
UD Murska Sobota,1166.0,743.0,630.0,374.0,2913.0,NOV,2020,,,,
OS Nova Gorica,1086.0,780.0,880.0,639.0,3385.0,NOV,2020,,,,
UD Ajdovščina,229.0,201.0,186.0,133.0,749.0,NOV,2020,,,,
UD Idrija,98.0,86.0,101.0,61.0,346.0,NOV,2020,,,,
UD Nova Gorica,639.0,369.0,488.0,370.0,1866.0,NOV,2020,,,,
UD Tolmin,120.0,124.0,105.0,75.0,424.0,NOV,2020,,,,
OS Novo mesto,1744.0,909.0,802.0,467.0,3922.0,NOV,2020,,,,
UD Črnomelj,459.0,254.0,161.0,66.0,940.0,NOV,2020,,,,
UD Metlika,221.0,120.0,82.0,37.0,460.0,NOV,2020,,,,
UD Novo mesto,834.0,412.0,442.0,298.0,1986.0,NOV,2020,,,,
UD Trebnje,230.0,123.0,117.0,66.0,536.0,NOV,2020,,,,
OS Ptuj,838.0,1066.0,1021.0,448.0,3373.0,NOV,2020,,,,
UD Ormož,171.0,231.0,174.0,80.0,656.0,NOV,2020,,,,
UD Ptuj,667.0,835.0,847.0,368.0,2717.0,NOV,2020,,,,
OS Sevnica,1182.0,1027.0,737.0,461.0,3407.0,NOV,2020,,,,
UD Brežice,320.0,358.0,297.0,166.0,1141.0,NOV,2020,,,,
UD Krško,670.0,418.0,296.0,174.0,1558.0,NOV,2020,,,,
UD Sevnica,192.0,251.0,144.0,121.0,708.0,NOV,2020,,,,
OS Trbovlje,946.0,707.0,615.0,329.0,2597.0,NOV,2020,,,,
UD Hrastnik,174.0,136.0,107.0,57.0,474.0,NOV,2020,,,,
UD Litija,227.0,179.0,120.0,80.0,606.0,NOV,2020,,,,
UD Trbovlje,340.0,252.0,237.0,127.0,956.0,NOV,2020,,,,
UD Zagorje,205.0,140.0,151.0,65.0,561.0,NOV,2020,,,,
OS Velenje,1293.0,1441.0,1346.0,797.0,4877.0,NOV,2020,,,,
UD Dravograd,69.0,101.0,71.0,40.0,281.0,NOV,2020,,,,
UD Mozirje,128.0,156.0,160.0,87.0,531.0,NOV,2020,,,,
UD Radlje ob Dravi,143.0,222.0,157.0,85.0,607.0,NOV,2020,,,,
UD Ravne na Koroškem,169.0,254.0,243.0,114.0,780.0,NOV,2020,,,,
UD Slovenj Gradec,180.0,204.0,180.0,138.0,702.0,NOV,2020,,,,
UD Velenje,604.0,504.0,535.0,333.0,1976.0,NOV,2020,,,,
,,,,,,NOV,2020,,,,
,,,,,84139.0,NOV,2020,,,,
OS Celje,2668.0,2659.0,2485.0,1433.0,9245.0,DEC,2020,,,,
UD Celje,843.0,832.0,830.0,575.0,3080.0,DEC,2020,,,,
UD Laško,189.0,191.0,161.0,79.0,620.0,DEC,2020,,,,
UD Slovenske Konjice,417.0,390.0,359.0,174.0,1340.0,DEC,2020,,,,
UD Šentjur,207.0,281.0,242.0,137.0,867.0,DEC,2020,,,,
UD Šmarje pri Jelšah,537.0,531.0,422.0,200.0,1690.0,DEC,2020,,,,
UD Žalec,475.0,434.0,471.0,268.0,1648.0,DEC,2020,,,,
OS Koper,2087.0,1629.0,1762.0,997.0,6475.0,DEC,2020,,,,
UD Ilirska Bistrica,128.0,125.0,116.0,71.0,440.0,DEC,2020,,,,
UD Izola,286.0,176.0,183.0,94.0,739.0,DEC,2020,,,,
UD Koper,789.0,640.0,720.0,417.0,2566.0,DEC,2020,,,,
UD Piran,289.0,260.0,288.0,165.0,1002.0,DEC,2020,,,,
UD Postojna,327.0,210.0,216.0,119.0,872.0,DEC,2020,,,,
UD Sežana,268.0,218.0,239.0,131.0,856.0,DEC,2020,,,,
OS Kranj,1978.0,1533.0,1824.0,1060.0,6395.0,DEC,2020,,,,
UD Jesenice,315.0,293.0,252.0,117.0,977.0,DEC,2020,,,,
UD Kranj,1013.0,601.0,810.0,502.0,2926.0,DEC,2020,,,,
UD Radovljica,272.0,269.0,370.0,207.0,1118.0,DEC,2020,,,,
UD Škofja Loka,238.0,251.0,256.0,182.0,927.0,DEC,2020,,,,
UD Tržič,140.0,119.0,136.0,52.0,447.0,DEC,2020,,,,
OS Ljubljana,7291.0,5540.0,6935.0,5054.0,24820.0,DEC,2020,,,,
UD Cerknica,106.0,137.0,135.0,72.0,450.0,DEC,2020,,,,
UD Domžale,537.0,478.0,533.0,365.0,1913.0,DEC,2020,,,,
UD Grosuplje,497.0,337.0,334.0,214.0,1382.0,DEC,2020,,,,
UD Kamnik,349.0,290.0,340.0,163.0,1142.0,DEC,2020,,,,
UD Kočevje,501.0,340.0,201.0,88.0,1130.0,DEC,2020,,,,
UD Ljubljana,4851.0,3489.0,4944.0,3835.0,17119.0,DEC,2020,,,,
UD Logatec,82.0,117.0,116.0,73.0,388.0,DEC,2020,,,,
UD Ribnica,131.0,104.0,77.0,61.0,373.0,DEC,2020,,,,
UD Vrhnika,237.0,248.0,255.0,183.0,923.0,DEC,2020,,,,
OS Maribor,3519.0,3179.0,3317.0,2061.0,12076.0,DEC,2020,,,,
UD Lenart,143.0,157.0,136.0,75.0,511.0,DEC,2020,,,,
UD Maribor,2595.0,2188.0,2409.0,1570.0,8762.0,DEC,2020,,,,
UD Pesnica,253.0,271.0,204.0,104.0,832.0,DEC,2020,,,,
UD Ruše,154.0,220.0,186.0,89.0,649.0,DEC,2020,,,,
UD Slovenska Bistrica,374.0,343.0,382.0,223.0,1322.0,DEC,2020,,,,
OS Murska Sobota,2237.0,1750.0,1300.0,724.0,6011.0,DEC,2020,,,,
UD Gornja Radgona,270.0,301.0,201.0,126.0,898.0,DEC,2020,,,,
UD Lendava,530.0,396.0,259.0,117.0,1302.0,DEC,2020,,,,
UD Ljutomer,217.0,229.0,176.0,102.0,724.0,DEC,2020,,,,
UD Murska Sobota,1220.0,824.0,664.0,379.0,3087.0,DEC,2020,,,,
OS Nova Gorica,1126.0,803.0,881.0,659.0,3469.0,DEC,2020,,,,
UD Ajdovščina,249.0,202.0,178.0,140.0,769.0,DEC,2020,,,,
UD Idrija,98.0,90.0,101.0,65.0,354.0,DEC,2020,,,,
UD Nova Gorica,658.0,385.0,500.0,376.0,1919.0,DEC,2020,,,,
UD Tolmin,121.0,126.0,102.0,78.0,427.0,DEC,2020,,,,
OS Novo mesto,1803.0,945.0,796.0,468.0,4012.0,DEC,2020,,,,
UD Črnomelj,460.0,253.0,161.0,64.0,938.0,DEC,2020,,,,
UD Metlika,228.0,127.0,76.0,39.0,470.0,DEC,2020,,,,
UD Novo mesto,878.0,432.0,448.0,292.0,2050.0,DEC,2020,,,,
UD Trebnje,237.0,133.0,111.0,73.0,554.0,DEC,2020,,,,
OS Ptuj,873.0,1113.0,1051.0,476.0,3513.0,DEC,2020,,,,
UD Ormož,179.0,242.0,181.0,81.0,683.0,DEC,2020,,,,
UD Ptuj,694.0,871.0,870.0,395.0,2830.0,DEC,2020,,,,
OS Sevnica,1304.0,1076.0,748.0,460.0,3588.0,DEC,2020,,,,
UD Brežice,346.0,385.0,298.0,172.0,1201.0,DEC,2020,,,,
UD Krško,749.0,436.0,305.0,170.0,1660.0,DEC,2020,,,,
UD Sevnica,209.0,255.0,145.0,118.0,727.0,DEC,2020,,,,
OS Trbovlje,970.0,721.0,634.0,329.0,2654.0,DEC,2020,,,,
UD Hrastnik,184.0,136.0,108.0,62.0,490.0,DEC,2020,,,,
UD Litija,230.0,176.0,123.0,79.0,608.0,DEC,2020,,,,
UD Trbovlje,354.0,266.0,243.0,127.0,990.0,DEC,2020,,,,
UD Zagorje,202.0,143.0,160.0,61.0,566.0,DEC,2020,,,,
OS Velenje,1397.0,1479.0,1353.0,796.0,5025.0,DEC,2020,,,,
UD Dravograd,75.0,97.0,70.0,41.0,283.0,DEC,2020,,,,
UD Mozirje,140.0,153.0,150.0,84.0,527.0,DEC,2020,,,,
UD Radlje ob Dravi,164.0,223.0,167.0,84.0,638.0,DEC,2020,,,,
UD Ravne na Koroškem,183.0,267.0,246.0,112.0,808.0,DEC,2020,,,,
UD Slovenj Gradec,177.0,214.0,188.0,144.0,723.0,DEC,2020,,,,
UD Velenje,658.0,525.0,532.0,331.0,2046.0,DEC,2020,,,,
,,,,,,DEC,2020,,,,
,,,,,87283.0,DEC,2020,,,,
OS Celje,,,,,7350.0,JAN,2022,2206.0,2067.0,1952.0,1125.0
UD Celje,,,,,2334.0,JAN,2022,658.0,582.0,646.0,448.0
UD Laško,,,,,495.0,JAN,2022,162.0,152.0,131.0,50.0
UD Slovenske Konjice,,,,,1044.0,JAN,2022,328.0,323.0,267.0,126.0
UD Šentjur,,,,,728.0,JAN,2022,195.0,229.0,181.0,123.0
UD Šmarje pri Jelšah,,,,,1367.0,JAN,2022,459.0,416.0,330.0,162.0
UD Žalec,,,,,1382.0,JAN,2022,404.0,365.0,397.0,216.0
OS Koper,,,,,4735.0,JAN,2022,1542.0,1173.0,1282.0,738.0
UD Ilirska Bistrica,,,,,286.0,JAN,2022,81.0,94.0,72.0,39.0
UD Izola,,,,,507.0,JAN,2022,171.0,131.0,142.0,63.0
UD Koper,,,,,1994.0,JAN,2022,661.0,464.0,541.0,328.0
UD Piran,,,,,754.0,JAN,2022,207.0,188.0,228.0,131.0
UD Postojna,,,,,575.0,JAN,2022,234.0,137.0,126.0,78.0
UD Sežana,,,,,619.0,JAN,2022,188.0,159.0,173.0,99.0
OS Kranj,,,,,4372.0,JAN,2022,1429.0,1006.0,1182.0,755.0
UD Jesenice,,,,,659.0,JAN,2022,239.0,201.0,144.0,75.0
UD Kranj,,,,,2075.0,JAN,2022,753.0,393.0,555.0,374.0
UD Radovljica,,,,,745.0,JAN,2022,192.0,176.0,232.0,145.0
UD Škofja Loka,,,,,626.0,JAN,2022,156.0,171.0,177.0,122.0
UD Tržič,,,,,267.0,JAN,2022,89.0,65.0,74.0,39.0
OS Ljubljana,,,,,19590.0,JAN,2022,6162.0,4219.0,5300.0,3909.0
UD Cerknica,,,,,318.0,JAN,2022,87.0,90.0,91.0,50.0
UD Domžale,,,,,1601.0,JAN,2022,469.0,383.0,448.0,301.0
UD Grosuplje,,,,,999.0,JAN,2022,367.0,238.0,251.0,143.0
UD Kamnik,,,,,859.0,JAN,2022,270.0,231.0,225.0,133.0
UD Kočevje,,,,,900.0,JAN,2022,403.0,255.0,173.0,69.0
UD Ljubljana,,,,,13631.0,JAN,2022,4186.0,2678.0,3777.0,2990.0
UD Logatec,,,,,280.0,JAN,2022,64.0,76.0,74.0,66.0
UD Ribnica,,,,,274.0,JAN,2022,104.0,81.0,60.0,29.0
UD Vrhnika,,,,,728.0,JAN,2022,212.0,187.0,201.0,128.0
OS Maribor,,,,,9494.0,JAN,2022,2957.0,2473.0,2452.0,1612.0
UD Lenart,,,,,384.0,JAN,2022,112.0,132.0,93.0,47.0
UD Maribor,,,,,6932.0,JAN,2022,2183.0,1732.0,1796.0,1221.0
UD Pesnica,,,,,643.0,JAN,2022,203.0,189.0,165.0,86.0
UD Ruše,,,,,471.0,JAN,2022,109.0,168.0,115.0,79.0
UD Slovenska Bistrica,,,,,1064.0,JAN,2022,350.0,252.0,283.0,179.0
OS Murska Sobota,,,,,4615.0,JAN,2022,1733.0,1346.0,979.0,557.0
UD Gornja Radgona,,,,,637.0,JAN,2022,180.0,223.0,147.0,87.0
UD Lendava,,,,,1066.0,JAN,2022,430.0,314.0,210.0,112.0
UD Ljutomer,,,,,536.0,JAN,2022,157.0,169.0,126.0,84.0
UD Murska Sobota,,,,,2376.0,JAN,2022,966.0,640.0,496.0,274.0
OS Nova Gorica,,,,,2437.0,JAN,2022,807.0,550.0,609.0,471.0
UD Ajdovščina,,,,,550.0,JAN,2022,170.0,136.0,147.0,97.0
UD Idrija,,,,,211.0,JAN,2022,79.0,46.0,49.0,37.0
UD Nova Gorica,,,,,1372.0,JAN,2022,468.0,276.0,340.0,288.0
UD Tolmin,,,,,304.0,JAN,2022,90.0,92.0,73.0,49.0
OS Novo mesto,,,,,3311.0,JAN,2022,1622.0,724.0,603.0,362.0
UD Črnomelj,,,,,766.0,JAN,2022,401.0,191.0,116.0,58.0
UD Metlika,,,,,367.0,JAN,2022,189.0,95.0,59.0,24.0
UD Novo mesto,,,,,1745.0,JAN,2022,826.0,349.0,345.0,225.0
UD Trebnje,,,,,433.0,JAN,2022,206.0,89.0,83.0,55.0
OS Ptuj,,,,,2706.0,JAN,2022,672.0,895.0,789.0,350.0
UD Ormož,,,,,640.0,JAN,2022,148.0,247.0,190.0,55.0
UD Ptuj,,,,,2066.0,JAN,2022,524.0,648.0,599.0,295.0
OS Sevnica,,,,,2914.0,JAN,2022,1120.0,899.0,593.0,302.0
UD Brežice,,,,,961.0,JAN,2022,283.0,336.0,225.0,117.0
UD Krško,,,,,1336.0,JAN,2022,649.0,348.0,236.0,103.0
UD Sevnica,,,,,617.0,JAN,2022,188.0,215.0,132.0,82.0
OS Trbovlje,,,,,2146.0,JAN,2022,761.0,604.0,521.0,260.0
UD Hrastnik,,,,,400.0,JAN,2022,150.0,117.0,90.0,43.0
UD Litija,,,,,486.0,JAN,2022,178.0,145.0,109.0,54.0
UD Trbovlje,,,,,789.0,JAN,2022,292.0,217.0,184.0,96.0
UD Zagorje,,,,,471.0,JAN,2022,141.0,125.0,138.0,67.0
OS Velenje,,,,,4164.0,JAN,2022,1245.0,1274.0,1084.0,561.0
UD Dravograd,,,,,249.0,JAN,2022,61.0,87.0,74.0,27.0
UD Mozirje,,,,,407.0,JAN,2022,116.0,112.0,119.0,60.0
UD Radlje ob Dravi,,,,,539.0,JAN,2022,136.0,198.0,149.0,56.0
UD Ravne na Koroškem,,,,,682.0,JAN,2022,171.0,228.0,193.0,90.0
UD Slovenj Gradec,,,,,686.0,JAN,2022,195.0,244.0,150.0,97.0
UD Velenje,,,,,1601.0,JAN,2022,566.0,405.0,399.0,231.0
OS Celje,,,,,7043.0,FEB,2022,2099.0,1985.0,1872.0,1087.0
UD Celje,,,,,2209.0,FEB,2022,623.0,548.0,608.0,430.0
UD Laško,,,,,488.0,FEB,2022,165.0,147.0,126.0,50.0
UD Slovenske Konjice,,,,,995.0,FEB,2022,308.0,312.0,255.0,120.0
UD Šentjur,,,,,709.0,FEB,2022,190.0,225.0,177.0,117.0
UD Šmarje pri Jelšah,,,,,1332.0,FEB,2022,444.0,408.0,328.0,152.0
UD Žalec,,,,,1310.0,FEB,2022,369.0,345.0,378.0,218.0
OS Koper,,,,,4556.0,FEB,2022,1465.0,1140.0,1225.0,726.0
UD Ilirska Bistrica,,,,,268.0,FEB,2022,76.0,89.0,65.0,38.0
UD Izola,,,,,473.0,FEB,2022,160.0,122.0,132.0,59.0
UD Koper,,,,,1938.0,FEB,2022,643.0,458.0,514.0,323.0
UD Piran,,,,,723.0,FEB,2022,187.0,185.0,224.0,127.0
UD Postojna,,,,,566.0,FEB,2022,228.0,136.0,123.0,79.0
UD Sežana,,,,,588.0,FEB,2022,171.0,150.0,167.0,100.0
OS Kranj,,,,,4128.0,FEB,2022,1295.0,977.0,1130.0,726.0
UD Jesenice,,,,,611.0,FEB,2022,214.0,186.0,144.0,67.0
UD Kranj,,,,,1975.0,FEB,2022,691.0,394.0,527.0,363.0
UD Radovljica,,,,,694.0,FEB,2022,168.0,163.0,225.0,138.0
UD Škofja Loka,,,,,583.0,FEB,2022,140.0,166.0,159.0,118.0
UD Tržič,,,,,265.0,FEB,2022,82.0,68.0,75.0,40.0
OS Ljubljana,,,,,18806.0,FEB,2022,5908.0,4024.0,5111.0,3763.0
UD Cerknica,,,,,301.0,FEB,2022,84.0,82.0,90.0,45.0
UD Domžale,,,,,1572.0,FEB,2022,458.0,373.0,441.0,300.0
UD Grosuplje,,,,,955.0,FEB,2022,354.0,229.0,233.0,139.0
UD Kamnik,,,,,820.0,FEB,2022,257.0,225.0,211.0,127.0
UD Kočevje,,,,,843.0,FEB,2022,397.0,239.0,148.0,59.0
UD Ljubljana,,,,,13080.0,FEB,2022,3983.0,2548.0,3667.0,2882.0
UD Logatec,,,,,271.0,FEB,2022,62.0,73.0,76.0,60.0
UD Ribnica,,,,,259.0,FEB,2022,105.0,73.0,52.0,29.0
UD Vrhnika,,,,,705.0,FEB,2022,208.0,182.0,193.0,122.0
OS Maribor,,,,,8994.0,FEB,2022,2748.0,2325.0,2350.0,1571.0
UD Lenart,,,,,327.0,FEB,2022,96.0,111.0,79.0,41.0
UD Maribor,,,,,6614.0,FEB,2022,2042.0,1645.0,1726.0,1201.0
UD Pesnica,,,,,595.0,FEB,2022,178.0,172.0,162.0,83.0
UD Ruše,,,,,426.0,FEB,2022,99.0,145.0,109.0,73.0
UD Slovenska Bistrica,,,,,1032.0,FEB,2022,333.0,252.0,274.0,173.0
OS Murska Sobota,,,,,4341.0,FEB,2022,1628.0,1245.0,931.0,537.0
UD Gornja Radgona,,,,,601.0,FEB,2022,167.0,207.0,142.0,85.0
UD Lendava,,,,,1023.0,FEB,2022,420.0,299.0,197.0,107.0
UD Ljutomer,,,,,495.0,FEB,2022,143.0,152.0,118.0,82.0
UD Murska Sobota,,,,,2222.0,FEB,2022,898.0,587.0,474.0,263.0
OS Nova Gorica,,,,,2367.0,FEB,2022,774.0,536.0,589.0,468.0
UD Ajdovščina,,,,,537.0,FEB,2022,161.0,135.0,143.0,98.0
UD Idrija,,,,,207.0,FEB,2022,76.0,49.0,50.0,32.0
UD Nova Gorica,,,,,1327.0,FEB,2022,450.0,270.0,324.0,283.0
UD Tolmin,,,,,296.0,FEB,2022,87.0,82.0,72.0,55.0
OS Novo mesto,,,,,3197.0,FEB,2022,1585.0,697.0,575.0,340.0
UD Črnomelj,,,,,751.0,FEB,2022,398.0,189.0,113.0,51.0
UD Metlika,,,,,352.0,FEB,2022,182.0,88.0,58.0,24.0
UD Novo mesto,,,,,1683.0,FEB,2022,805.0,337.0,324.0,217.0
UD Trebnje,,,,,411.0,FEB,2022,200.0,83.0,80.0,48.0
OS Ptuj,,,,,2552.0,FEB,2022,634.0,833.0,751.0,334.0
UD Ormož,,,,,587.0,FEB,2022,140.0,228.0,171.0,48.0
UD Ptuj,,,,,1965.0,FEB,2022,494.0,605.0,580.0,286.0
OS Sevnica,,,,,2811.0,FEB,2022,1084.0,864.0,576.0,287.0
UD Brežice,,,,,921.0,FEB,2022,274.0,320.0,216.0,111.0
UD Krško,,,,,1302.0,FEB,2022,631.0,340.0,233.0,98.0
UD Sevnica,,,,,588.0,FEB,2022,179.0,204.0,127.0,78.0
OS Trbovlje,,,,,2083.0,FEB,2022,743.0,585.0,503.0,252.0
UD Hrastnik,,,,,389.0,FEB,2022,142.0,119.0,87.0,41.0
UD Litija,,,,,478.0,FEB,2022,175.0,138.0,108.0,57.0
UD Trbovlje,,,,,773.0,FEB,2022,290.0,212.0,174.0,97.0
UD Zagorje,,,,,443.0,FEB,2022,136.0,116.0,134.0,57.0
OS Velenje,,,,,3905.0,FEB,2022,1147.0,1186.0,1024.0,548.0
UD Dravograd,,,,,224.0,FEB,2022,56.0,73.0,70.0,25.0
UD Mozirje,,,,,387.0,FEB,2022,108.0,105.0,115.0,59.0
UD Radlje ob Dravi,,,,,494.0,FEB,2022,130.0,176.0,136.0,52.0
