Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
UD Postojna,269.0,174.0,168.0,88.0,699.0,OKT,2019,,,,
UD Sežana,176.0,159.0,162.0,109.0,606.0,OKT,2019,,,,
OS Kranj,1356.0,1100.0,1366.0,941.0,4763.0,OKT,2019,,,,
UD Jesenice,203.0,173.0,163.0,96.0,635.0,OKT,2019,,,,
UD Kranj,682.0,484.0,651.0,487.0,2304.0,OKT,2019,,,,
UD Radovljica,173.0,160.0,231.0,155.0,719.0,OKT,2019,,,,
UD Škofja Loka,178.0,186.0,218.0,151.0,733.0,OKT,2019,,,,
UD Tržič,120.0,97.0,103.0,52.0,372.0,OKT,2019,,,,
OS Ljubljana,6119.0,4726.0,5829.0,4419.0,21093.0,OKT,2019,,,,
UD Cerknica,77.0,115.0,129.0,65.0,386.0,OKT,2019,,,,
UD Domžale,438.0,362.0,438.0,322.0,1560.0,OKT,2019,,,,
UD Grosuplje,398.0,342.0,296.0,173.0,1209.0,OKT,2019,,,,
UD Kamnik,270.0,254.0,245.0,169.0,938.0,OKT,2019,,,,
UD Kočevje,501.0,325.0,193.0,73.0,1092.0,OKT,2019,,,,
UD Ljubljana,4054.0,2946.0,4159.0,3390.0,14549.0,OKT,2019,,,,
UD Logatec,97.0,90.0,98.0,59.0,344.0,OKT,2019,,,,
UD Ribnica,108.0,105.0,81.0,43.0,337.0,OKT,2019,,,,
UD Vrhnika,176.0,187.0,190.0,125.0,678.0,OKT,2019,,,,
OS Maribor,2714.0,2563.0,2680.0,1871.0,9828.0,OKT,2019,,,,
UD Lenart,92.0,108.0,100.0,56.0,356.0,OKT,2019,,,,
UD Maribor,2000.0,1780.0,1964.0,1441.0,7185.0,OKT,2019,,,,
UD Pesnica,178.0,199.0,133.0,92.0,602.0,OKT,2019,,,,
UD Ruše,128.0,172.0,163.0,89.0,552.0,OKT,2019,,,,
UD Slovenska Bistrica,316.0,304.0,320.0,193.0,1133.0,OKT,2019,,,,
OS Murska Sobota,2210.0,1589.0,1202.0,688.0,5689.0,OKT,2019,,,,
UD Gornja Radgona,254.0,269.0,192.0,102.0,817.0,OKT,2019,,,,
UD Lendava,536.0,378.0,250.0,117.0,1281.0,OKT,2019,,,,
UD Ljutomer,213.0,213.0,165.0,105.0,696.0,OKT,2019,,,,
UD Murska Sobota,1207.0,729.0,595.0,364.0,2895.0,OKT,2019,,,,
OS Nova Gorica,879.0,651.0,665.0,542.0,2737.0,OKT,2019,,,,
UD Ajdovščina,177.0,174.0,150.0,131.0,632.0,OKT,2019,,,,
UD Idrija,87.0,67.0,67.0,45.0,266.0,OKT,2019,,,,
UD Nova Gorica,533.0,324.0,364.0,312.0,1533.0,OKT,2019,,,,
UD Tolmin,82.0,86.0,84.0,54.0,306.0,OKT,2019,,,,
OS Novo mesto,1634.0,782.0,626.0,408.0,3450.0,OKT,2019,,,,
UD Črnomelj,403.0,224.0,145.0,72.0,844.0,OKT,2019,,,,
UD Metlika,215.0,92.0,57.0,35.0,399.0,OKT,2019,,,,
UD Novo mesto,794.0,356.0,334.0,255.0,1739.0,OKT,2019,,,,
UD Trebnje,222.0,110.0,90.0,46.0,468.0,OKT,2019,,,,
OS Ptuj,648.0,752.0,822.0,400.0,2622.0,OKT,2019,,,,
UD Ormož,155.0,202.0,165.0,62.0,584.0,OKT,2019,,,,
UD Ptuj,493.0,550.0,657.0,338.0,2038.0,OKT,2019,,,,
OS Sevnica,1072.0,866.0,631.0,335.0,2904.0,OKT,2019,,,,
UD Brežice,290.0,315.0,250.0,118.0,973.0,OKT,2019,,,,
UD Krško,633.0,339.0,248.0,128.0,1348.0,OKT,2019,,,,
UD Sevnica,149.0,212.0,133.0,89.0,583.0,OKT,2019,,,,
OS Trbovlje,765.0,620.0,527.0,301.0,2213.0,OKT,2019,,,,
UD Hrastnik,158.0,119.0,98.0,46.0,421.0,OKT,2019,,,,
UD Litija,184.0,140.0,96.0,71.0,491.0,OKT,2019,,,,
UD Trbovlje,266.0,235.0,196.0,115.0,812.0,OKT,2019,,,,
UD Zagorje,157.0,126.0,137.0,69.0,489.0,OKT,2019,,,,
OS Velenje,1132.0,1330.0,1215.0,746.0,4423.0,OKT,2019,,,,
UD Dravograd,72.0,92.0,73.0,39.0,276.0,OKT,2019,,,,
UD Mozirje,120.0,154.0,153.0,105.0,532.0,OKT,2019,,,,
UD Radlje ob Dravi,132.0,185.0,152.0,85.0,554.0,OKT,2019,,,,
UD Ravne na Koroškem,167.0,270.0,214.0,120.0,771.0,OKT,2019,,,,
UD Slovenj Gradec,173.0,204.0,157.0,106.0,640.0,OKT,2019,,,,
UD Velenje,468.0,425.0,466.0,291.0,1650.0,OKT,2019,,,,
,,,,,,OKT,2019,,,,
,,,,,72416.0,OKT,2019,,,,
