Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
MEŽICA,9.0,6.0,19.0,16.0,16.0,28.0,94.0,JAN,2019
MIKLAVŽ NA DRAVSKEM POLJU,29.0,39.0,65.0,58.0,29.0,74.0,294.0,JAN,2019
MIREN-KOSTANJEVICA,6.0,17.0,25.0,20.0,12.0,27.0,107.0,JAN,2019
MIRNA,4.0,6.0,9.0,9.0,13.0,19.0,60.0,JAN,2019
MIRNA PEČ,3.0,6.0,12.0,11.0,7.0,18.0,57.0,JAN,2019
MISLINJA,13.0,11.0,24.0,16.0,7.0,26.0,97.0,JAN,2019
MOKRONOG-TREBELNO,3.0,9.0,10.0,13.0,8.0,29.0,72.0,JAN,2019
MORAVČE,17.0,6.0,19.0,29.0,16.0,26.0,113.0,JAN,2019
MORAVSKE TOPLICE,22.0,31.0,68.0,61.0,44.0,105.0,331.0,JAN,2019
MOZIRJE,15.0,19.0,38.0,19.0,14.0,32.0,137.0,JAN,2019
MURSKA SOBOTA,114.0,130.0,253.0,236.0,144.0,322.0,1199.0,JAN,2019
MUTA,7.0,13.0,26.0,30.0,24.0,30.0,130.0,JAN,2019
NAKLO,13.0,18.0,27.0,27.0,14.0,31.0,130.0,JAN,2019
NAZARJE,18.0,20.0,18.0,17.0,14.0,20.0,107.0,JAN,2019
NOVA GORICA,74.0,105.0,224.0,201.0,102.0,287.0,993.0,JAN,2019
NOVO MESTO,104.0,136.0,328.0,254.0,110.0,269.0,1201.0,JAN,2019
ODRANCI,8.0,10.0,17.0,27.0,16.0,26.0,104.0,JAN,2019
OPLOTNICA,17.0,20.0,24.0,15.0,10.0,39.0,125.0,JAN,2019
ORMOŽ,58.0,81.0,97.0,109.0,71.0,145.0,561.0,JAN,2019
OSILNICA,1.0,0.0,6.0,1.0,3.0,9.0,20.0,JAN,2019
PESNICA,41.0,29.0,79.0,65.0,36.0,61.0,311.0,JAN,2019
PIRAN,54.0,78.0,212.0,204.0,99.0,235.0,882.0,JAN,2019
PIVKA,22.0,15.0,36.0,29.0,23.0,89.0,214.0,JAN,2019
PODČETRTEK,13.0,23.0,27.0,29.0,12.0,42.0,146.0,JAN,2019
PODLEHNIK,7.0,10.0,9.0,16.0,14.0,17.0,73.0,JAN,2019
PODVELKA,10.0,9.0,18.0,22.0,17.0,27.0,103.0,JAN,2019
POLJČANE,22.0,17.0,38.0,24.0,24.0,40.0,165.0,JAN,2019
POLZELA,27.0,22.0,42.0,50.0,43.0,59.0,243.0,JAN,2019
POSTOJNA,60.0,65.0,133.0,106.0,81.0,172.0,617.0,JAN,2019
PREBOLD,14.0,20.0,38.0,22.0,31.0,57.0,182.0,JAN,2019
PREDDVOR,6.0,14.0,17.0,14.0,9.0,28.0,88.0,JAN,2019
PREVALJE,22.0,25.0,41.0,33.0,34.0,66.0,221.0,JAN,2019
PTUJ,97.0,124.0,241.0,163.0,112.0,198.0,935.0,JAN,2019
PUCONCI,38.0,40.0,63.0,76.0,45.0,94.0,356.0,JAN,2019
RAČE-FRAM,23.0,25.0,52.0,65.0,38.0,84.0,287.0,JAN,2019
RADEČE,17.0,21.0,41.0,34.0,17.0,52.0,182.0,JAN,2019
RADENCI,15.0,21.0,39.0,48.0,31.0,69.0,223.0,JAN,2019
RADLJE OB DRAVI,20.0,20.0,60.0,55.0,44.0,58.0,257.0,JAN,2019
RADOVLJICA,38.0,51.0,98.0,78.0,48.0,151.0,464.0,JAN,2019
RAVNE NA KOROŠKEM,43.0,55.0,91.0,65.0,46.0,82.0,382.0,JAN,2019
RAZKRIŽJE,5.0,7.0,5.0,13.0,9.0,22.0,61.0,JAN,2019
REČICA OB SAVINJI,13.0,10.0,18.0,8.0,11.0,25.0,85.0,JAN,2019
RENČE-VOGRSKO,7.0,11.0,21.0,18.0,10.0,40.0,107.0,JAN,2019
RIBNICA,50.0,50.0,57.0,47.0,27.0,52.0,283.0,JAN,2019
RIBNICA NA POHORJU,5.0,9.0,10.0,13.0,12.0,18.0,67.0,JAN,2019
ROGAŠKA SLATINA,47.0,58.0,97.0,120.0,90.0,146.0,558.0,JAN,2019
ROGAŠOVCI,36.0,26.0,49.0,36.0,38.0,54.0,239.0,JAN,2019
ROGATEC,18.0,22.0,35.0,22.0,26.0,53.0,176.0,JAN,2019
RUŠE,38.0,36.0,65.0,93.0,39.0,78.0,349.0,JAN,2019
SELNICA OB DRAVI,26.0,32.0,44.0,32.0,18.0,42.0,194.0,JAN,2019
SEMIČ,23.0,25.0,37.0,30.0,25.0,62.0,202.0,JAN,2019
SEVNICA,76.0,71.0,138.0,104.0,88.0,158.0,635.0,JAN,2019
SEŽANA,27.0,42.0,81.0,91.0,46.0,145.0,432.0,JAN,2019
SLOVENJ GRADEC,46.0,61.0,115.0,123.0,77.0,157.0,579.0,JAN,2019
SLOVENSKA BISTRICA,83.0,139.0,243.0,208.0,91.0,198.0,962.0,JAN,2019
SLOVENSKE KONJICE,81.0,93.0,156.0,163.0,110.0,229.0,832.0,JAN,2019
SODRAŽICA,8.0,5.0,9.0,9.0,12.0,16.0,59.0,JAN,2019
SOLČAVA,3.0,4.0,3.0,1.0,1.0,3.0,15.0,JAN,2019
SREDIŠČE OB DRAVI,12.0,8.0,14.0,15.0,10.0,31.0,90.0,JAN,2019
STARŠE,11.0,22.0,30.0,24.0,17.0,52.0,156.0,JAN,2019
STRAŽA,6.0,14.0,17.0,11.0,17.0,30.0,95.0,JAN,2019
SVETA ANA,15.0,14.0,14.0,14.0,7.0,20.0,84.0,JAN,2019
SVETA TROJICA V SLOVENSKIH GORICAH,3.0,6.0,12.0,20.0,11.0,15.0,67.0,JAN,2019
SVETI ANDRAŽ V SLOV. GORICAH,4.0,3.0,6.0,8.0,5.0,12.0,38.0,JAN,2019
SVETI JURIJ OB ŠČAVNICI,11.0,13.0,24.0,26.0,22.0,49.0,145.0,JAN,2019
SVETI JURIJ V SLOVENSKIH GORICAH,7.0,8.0,6.0,8.0,11.0,8.0,48.0,JAN,2019
SVETI TOMAŽ,14.0,6.0,15.0,21.0,12.0,22.0,90.0,JAN,2019
ŠALOVCI,14.0,6.0,13.0,15.0,11.0,23.0,82.0,JAN,2019
ŠEMPETER-VRTOJBA,11.0,17.0,40.0,47.0,16.0,56.0,187.0,JAN,2019
ŠENČUR,11.0,18.0,50.0,40.0,28.0,63.0,210.0,JAN,2019
ŠENTILJ,34.0,57.0,67.0,67.0,43.0,74.0,342.0,JAN,2019
ŠENTJERNEJ,28.0,31.0,44.0,41.0,16.0,65.0,225.0,JAN,2019
ŠENTJUR,75.0,79.0,180.0,145.0,101.0,200.0,780.0,JAN,2019
ŠENTRUPERT,5.0,6.0,11.0,10.0,12.0,20.0,64.0,JAN,2019
ŠKOCJAN,23.0,23.0,30.0,22.0,9.0,26.0,133.0,JAN,2019
ŠKOFJA LOKA,43.0,63.0,107.0,91.0,62.0,189.0,555.0,JAN,2019
ŠKOFLJICA,24.0,49.0,72.0,60.0,34.0,99.0,338.0,JAN,2019
ŠMARJE PRI JELŠAH,41.0,45.0,92.0,94.0,72.0,118.0,462.0,JAN,2019
ŠMARJEŠKE TOPLICE,1.0,7.0,13.0,8.0,9.0,35.0,73.0,JAN,2019
ŠMARTNO OB PAKI,10.0,16.0,23.0,18.0,7.0,25.0,99.0,JAN,2019
ŠMARTNO PRI LITIJI,11.0,19.0,29.0,24.0,18.0,37.0,138.0,JAN,2019
ŠOŠTANJ,37.0,35.0,84.0,51.0,31.0,78.0,316.0,JAN,2019
ŠTORE,11.0,22.0,32.0,50.0,26.0,50.0,191.0,JAN,2019
TABOR,3.0,8.0,5.0,11.0,8.0,25.0,60.0,JAN,2019
TIŠINA,38.0,24.0,35.0,53.0,43.0,72.0,265.0,JAN,2019
TOLMIN,15.0,35.0,47.0,40.0,27.0,98.0,262.0,JAN,2019
TRBOVLJE,77.0,96.0,250.0,163.0,111.0,245.0,942.0,JAN,2019
TREBNJE,35.0,61.0,86.0,91.0,33.0,94.0,400.0,JAN,2019
TRNOVSKA VAS,2.0,6.0,5.0,7.0,5.0,9.0,34.0,JAN,2019
TRZIN,5.0,12.0,27.0,19.0,13.0,30.0,106.0,JAN,2019
TRŽIČ,39.0,47.0,74.0,86.0,53.0,165.0,464.0,JAN,2019
TURNIŠČE,22.0,17.0,27.0,30.0,37.0,59.0,192.0,JAN,2019
VELENJE,140.0,168.0,417.0,267.0,138.0,405.0,1535.0,JAN,2019
VELIKA POLANA,6.0,4.0,5.0,25.0,8.0,25.0,73.0,JAN,2019
VELIKE LAŠČE,5.0,22.0,25.0,17.0,18.0,37.0,124.0,JAN,2019
VERŽEJ,5.0,7.0,3.0,7.0,7.0,16.0,45.0,JAN,2019
VIDEM,25.0,30.0,25.0,33.0,29.0,51.0,193.0,JAN,2019
VIPAVA,9.0,11.0,42.0,28.0,13.0,46.0,149.0,JAN,2019
VITANJE,11.0,11.0,12.0,11.0,10.0,25.0,80.0,JAN,2019
VODICE,9.0,18.0,27.0,15.0,11.0,37.0,117.0,JAN,2019
VOJNIK,32.0,43.0,65.0,59.0,42.0,72.0,313.0,JAN,2019
VRANSKO,9.0,5.0,15.0,18.0,15.0,24.0,86.0,JAN,2019
VRHNIKA,45.0,61.0,131.0,111.0,73.0,167.0,588.0,JAN,2019
VUZENICA,7.0,11.0,24.0,18.0,7.0,27.0,94.0,JAN,2019
ZAGORJE OB SAVI,49.0,76.0,139.0,97.0,70.0,141.0,572.0,JAN,2019
ZAVRČ,7.0,3.0,6.0,16.0,8.0,12.0,52.0,JAN,2019
ZREČE,31.0,39.0,37.0,52.0,41.0,97.0,297.0,JAN,2019
ŽALEC,94.0,113.0,207.0,214.0,142.0,291.0,1061.0,JAN,2019
ŽELEZNIKI,13.0,17.0,18.0,16.0,12.0,39.0,115.0,JAN,2019
ŽETALE,4.0,9.0,9.0,10.0,3.0,12.0,47.0,JAN,2019
ŽIRI,6.0,8.0,19.0,11.0,6.0,24.0,74.0,JAN,2019
ŽIROVNICA,8.0,14.0,17.0,10.0,8.0,26.0,83.0,JAN,2019
ŽUŽEMBERK,9.0,11.0,13.0,20.0,24.0,29.0,106.0,JAN,2019
Občina izven RS,66.0,123.0,207.0,136.0,68.0,89.0,689.0,JAN,2019
,,,,,,,,JAN,2019
,,,,,,,82791.0,JAN,2019
AJDOVŠČINA,38.0,68.0,132.0,102.0,92.0,164.0,596.0,FEB,2019
ANKARAN,1.0,15.0,24.0,21.0,10.0,33.0,104.0,FEB,2019
APAČE,16.0,13.0,43.0,39.0,35.0,50.0,196.0,FEB,2019
BELTINCI,52.0,57.0,80.0,78.0,82.0,135.0,484.0,FEB,2019
BENEDIKT,9.0,13.0,10.0,12.0,6.0,17.0,67.0,FEB,2019
BISTRICA OB SOTLI,6.0,9.0,17.0,11.0,5.0,8.0,56.0,FEB,2019
BLED,13.0,30.0,40.0,34.0,26.0,61.0,204.0,FEB,2019
BLOKE,2.0,10.0,5.0,4.0,4.0,12.0,37.0,FEB,2019
BOHINJ,6.0,14.0,29.0,19.0,20.0,33.0,121.0,FEB,2019
BOROVNICA,9.0,16.0,37.0,32.0,16.0,53.0,163.0,FEB,2019
BOVEC,7.0,8.0,33.0,12.0,10.0,28.0,98.0,FEB,2019
BRASLOVČE,13.0,16.0,30.0,24.0,22.0,54.0,159.0,FEB,2019
BRDA,3.0,19.0,33.0,21.0,8.0,31.0,115.0,FEB,2019
BREZOVICA,26.0,50.0,79.0,79.0,59.0,94.0,387.0,FEB,2019
BREŽICE,87.0,111.0,190.0,234.0,157.0,326.0,1105.0,FEB,2019
CANKOVA,15.0,7.0,15.0,25.0,24.0,33.0,119.0,FEB,2019
CELJE,173.0,255.0,613.0,540.0,305.0,643.0,2529.0,FEB,2019
CERKLJE NA GORENJSKEM,14.0,18.0,46.0,23.0,16.0,42.0,159.0,FEB,2019
CERKNICA,26.0,41.0,61.0,54.0,33.0,123.0,338.0,FEB,2019
CERKNO,11.0,6.0,14.0,15.0,4.0,16.0,66.0,FEB,2019
CERKVENJAK,13.0,5.0,9.0,11.0,7.0,14.0,59.0,FEB,2019
CIRKULANE,8.0,6.0,12.0,18.0,13.0,32.0,89.0,FEB,2019
ČRENŠOVCI,43.0,40.0,54.0,38.0,38.0,78.0,291.0,FEB,2019
ČRNA NA KOROŠKEM,13.0,9.0,25.0,16.0,14.0,18.0,95.0,FEB,2019
ČRNOMELJ,85.0,57.0,159.0,135.0,89.0,248.0,773.0,FEB,2019
DESTRNIK,8.0,17.0,10.0,14.0,8.0,15.0,72.0,FEB,2019
DIVAČA,8.0,14.0,34.0,27.0,20.0,43.0,146.0,FEB,2019
DOBJE,2.0,5.0,12.0,4.0,3.0,9.0,35.0,FEB,2019
DOBREPOLJE,9.0,12.0,30.0,24.0,18.0,38.0,131.0,FEB,2019
DOBRNA,5.0,8.0,6.0,13.0,12.0,17.0,61.0,FEB,2019
DOBROVA-POLHOV GRADEC,19.0,25.0,48.0,36.0,8.0,48.0,184.0,FEB,2019
DOBROVNIK,6.0,12.0,14.0,22.0,17.0,26.0,97.0,FEB,2019
DOL PRI LJUBLJANI,14.0,19.0,37.0,19.0,24.0,59.0,172.0,FEB,2019
DOLENJSKE TOPLICE,0.0,13.0,8.0,13.0,13.0,34.0,81.0,FEB,2019
DOMŽALE,68.0,107.0,246.0,220.0,146.0,283.0,1070.0,FEB,2019
DORNAVA,12.0,14.0,17.0,18.0,8.0,13.0,82.0,FEB,2019
DRAVOGRAD,32.0,34.0,62.0,66.0,42.0,82.0,318.0,FEB,2019
DUPLEK,33.0,33.0,59.0,57.0,31.0,82.0,295.0,FEB,2019
GORENJA VAS-POLJANE,14.0,15.0,17.0,15.0,15.0,38.0,114.0,FEB,2019
GORIŠNICA,17.0,20.0,40.0,17.0,13.0,34.0,141.0,FEB,2019
GORJE,6.0,6.0,19.0,13.0,6.0,18.0,68.0,FEB,2019
GORNJA RADGONA,46.0,42.0,83.0,87.0,67.0,142.0,467.0,FEB,2019
GORNJI GRAD,10.0,8.0,16.0,17.0,8.0,19.0,78.0,FEB,2019
GORNJI PETROVCI,4.0,10.0,15.0,17.0,11.0,37.0,94.0,FEB,2019
GRAD,9.0,7.0,16.0,18.0,18.0,34.0,102.0,FEB,2019
GROSUPLJE,75.0,73.0,197.0,159.0,78.0,183.0,765.0,FEB,2019
HAJDINA,13.0,12.0,15.0,18.0,9.0,23.0,90.0,FEB,2019
HOČE-SLIVNICA,62.0,55.0,111.0,84.0,63.0,137.0,512.0,FEB,2019
HODOŠ,2.0,2.0,3.0,2.0,3.0,10.0,22.0,FEB,2019
HORJUL,3.0,8.0,6.0,10.0,8.0,6.0,41.0,FEB,2019
HRASTNIK,44.0,44.0,99.0,94.0,55.0,106.0,442.0,FEB,2019
HRPELJE-KOZINA,6.0,9.0,39.0,27.0,17.0,45.0,143.0,FEB,2019
IDRIJA,27.0,27.0,47.0,36.0,25.0,63.0,225.0,FEB,2019
IG,21.0,22.0,40.0,39.0,23.0,51.0,196.0,FEB,2019
ILIRSKA BISTRICA,33.0,40.0,80.0,87.0,66.0,121.0,427.0,FEB,2019
IVANČNA GORICA,60.0,53.0,74.0,91.0,60.0,118.0,456.0,FEB,2019
IZOLA,43.0,59.0,145.0,133.0,79.0,210.0,669.0,FEB,2019
JESENICE,60.0,40.0,130.0,126.0,63.0,162.0,581.0,FEB,2019
JEZERSKO,1.0,4.0,5.0,3.0,0.0,1.0,14.0,FEB,2019
JURŠINCI,17.0,10.0,18.0,12.0,13.0,8.0,78.0,FEB,2019
KAMNIK,61.0,98.0,196.0,158.0,104.0,253.0,870.0,FEB,2019
KANAL,6.0,20.0,42.0,35.0,14.0,60.0,177.0,FEB,2019
KIDRIČEVO,22.0,24.0,43.0,35.0,33.0,39.0,196.0,FEB,2019
