Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Cerknica,16.0,24.0,64.0,41.0,21.0,84.0,250.0,JUL,2021
Cerkno,3.0,9.0,14.0,15.0,7.0,9.0,57.0,JUL,2021
Cerkvenjak,3.0,6.0,9.0,10.0,5.0,10.0,43.0,JUL,2021
Cirkulane,10.0,5.0,12.0,13.0,14.0,28.0,82.0,JUL,2021
Črenšovci,37.0,25.0,39.0,31.0,15.0,62.0,209.0,JUL,2021
Črna na Koroškem,9.0,9.0,12.0,14.0,9.0,18.0,71.0,JUL,2021
Črnomelj,90.0,49.0,124.0,112.0,56.0,231.0,662.0,JUL,2021
Destrnik,10.0,8.0,10.0,20.0,6.0,19.0,73.0,JUL,2021
Divača,7.0,10.0,29.0,24.0,12.0,46.0,128.0,JUL,2021
Dobje,1.0,2.0,4.0,2.0,3.0,6.0,18.0,JUL,2021
Dobrepolje,10.0,12.0,24.0,13.0,11.0,25.0,95.0,JUL,2021
Dobrna,3.0,5.0,15.0,6.0,7.0,18.0,54.0,JUL,2021
Dobrova - Polhov Gradec,11.0,17.0,31.0,35.0,13.0,46.0,153.0,JUL,2021
Dobrovnik,2.0,5.0,14.0,13.0,11.0,21.0,66.0,JUL,2021
Dol pri Ljubljani,8.0,13.0,49.0,34.0,12.0,56.0,172.0,JUL,2021
Dolenjske Toplice,2.0,7.0,10.0,15.0,8.0,40.0,82.0,JUL,2021
Domžale,74.0,100.0,243.0,220.0,147.0,294.0,1078.0,JUL,2021
Dornava,4.0,7.0,12.0,16.0,6.0,22.0,67.0,JUL,2021
Dravograd,17.0,26.0,56.0,35.0,20.0,77.0,231.0,JUL,2021
Duplek,28.0,22.0,51.0,52.0,24.0,75.0,252.0,JUL,2021
Gorenja vas - Poljane,7.0,12.0,30.0,11.0,13.0,47.0,120.0,JUL,2021
Gorišnica,11.0,13.0,24.0,16.0,13.0,38.0,115.0,JUL,2021
Gorje,2.0,6.0,20.0,14.0,3.0,17.0,62.0,JUL,2021
Gornja Radgona,21.0,25.0,52.0,56.0,39.0,101.0,294.0,JUL,2021
Gornji Grad,4.0,8.0,9.0,6.0,2.0,15.0,44.0,JUL,2021
Gornji Petrovci,4.0,9.0,13.0,6.0,4.0,24.0,60.0,JUL,2021
Grad,8.0,4.0,4.0,12.0,14.0,17.0,59.0,JUL,2021
Grosuplje,67.0,78.0,143.0,135.0,40.0,134.0,597.0,JUL,2021
Hajdina,19.0,12.0,25.0,17.0,12.0,22.0,107.0,JUL,2021
Hoče - Slivnica,39.0,52.0,107.0,87.0,47.0,124.0,456.0,JUL,2021
Hodoš,5.0,0.0,2.0,3.0,0.0,4.0,14.0,JUL,2021
Horjul,6.0,3.0,13.0,16.0,11.0,14.0,63.0,JUL,2021
Hrastnik,32.0,47.0,87.0,85.0,51.0,115.0,417.0,JUL,2021
Hrpelje - Kozina,5.0,9.0,29.0,24.0,15.0,46.0,128.0,JUL,2021
Idrija,25.0,37.0,49.0,50.0,22.0,54.0,237.0,JUL,2021
Ig,18.0,22.0,45.0,48.0,17.0,48.0,198.0,JUL,2021
Ilirska Bistrica,13.0,23.0,63.0,78.0,36.0,99.0,312.0,JUL,2021
Ivančna Gorica,37.0,51.0,77.0,79.0,35.0,112.0,391.0,JUL,2021
Izola,27.0,61.0,127.0,102.0,50.0,154.0,521.0,JUL,2021
Jesenice,76.0,60.0,144.0,148.0,42.0,119.0,589.0,JUL,2021
Jezersko,1.0,1.0,1.0,5.0,0.0,1.0,9.0,JUL,2021
Juršinci,5.0,5.0,21.0,9.0,7.0,14.0,61.0,JUL,2021
Kamnik,50.0,64.0,202.0,172.0,89.0,272.0,849.0,JUL,2021
