Urad za delo,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
UD Hrastnik,80.0,68.0,39.0,25.0,66.0,29.0,114.0,421.0,FEB,2019
UD Litija,129.0,90.0,42.0,31.0,97.0,31.0,111.0,531.0,FEB,2019
UD Trbovlje,209.0,110.0,77.0,52.0,169.0,95.0,202.0,914.0,FEB,2019
UD Zagorje,116.0,77.0,58.0,46.0,86.0,43.0,113.0,539.0,FEB,2019
OS Velenje,1341.0,737.0,327.0,315.0,801.0,367.0,1036.0,4924.0,FEB,2019
UD Dravograd,93.0,42.0,18.0,16.0,39.0,25.0,73.0,306.0,FEB,2019
UD Mozirje,131.0,104.0,41.0,43.0,108.0,58.0,102.0,587.0,FEB,2019
UD Radlje ob Dravi,160.0,77.0,44.0,32.0,89.0,37.0,162.0,601.0,FEB,2019
UD Ravne na Koroškem,182.0,136.0,46.0,49.0,103.0,51.0,199.0,766.0,FEB,2019
UD Slovenj Gradec,173.0,95.0,49.0,49.0,87.0,45.0,148.0,646.0,FEB,2019
UD Velenje,602.0,283.0,129.0,126.0,375.0,151.0,352.0,2018.0,FEB,2019
,,,,,,,,,FEB,2019
,,,,,,,,80755.0,FEB,2019
OS Celje,1719.0,1031.0,792.0,490.0,1429.0,637.0,2256.0,8354.0,MAR,2019
UD Celje,693.0,367.0,291.0,154.0,503.0,191.0,575.0,2774.0,MAR,2019
UD Laško,110.0,77.0,54.0,46.0,107.0,57.0,169.0,620.0,MAR,2019
UD Slovenske Konjice,209.0,124.0,108.0,83.0,210.0,106.0,366.0,1206.0,MAR,2019
UD Šentjur,140.0,79.0,84.0,51.0,142.0,59.0,247.0,802.0,MAR,2019
UD Šmarje pri Jelšah,249.0,179.0,122.0,78.0,202.0,92.0,429.0,1351.0,MAR,2019
UD Žalec,318.0,205.0,133.0,78.0,265.0,132.0,470.0,1601.0,MAR,2019
OS Koper,1218.0,800.0,558.0,332.0,832.0,348.0,1219.0,5307.0,MAR,2019
UD Ilirska Bistrica,82.0,59.0,36.0,22.0,63.0,28.0,126.0,416.0,MAR,2019
UD Izola,141.0,84.0,49.0,33.0,81.0,38.0,126.0,552.0,MAR,2019
UD Koper,476.0,298.0,242.0,112.0,347.0,124.0,464.0,2063.0,MAR,2019
UD Piran,197.0,158.0,72.0,61.0,102.0,62.0,150.0,802.0,MAR,2019
UD Postojna,169.0,111.0,83.0,47.0,112.0,51.0,202.0,775.0,MAR,2019
UD Sežana,153.0,90.0,76.0,57.0,127.0,45.0,151.0,699.0,MAR,2019
OS Kranj,1277.0,903.0,523.0,337.0,876.0,276.0,753.0,4945.0,MAR,2019
UD Jesenice,197.0,144.0,65.0,55.0,101.0,36.0,107.0,705.0,MAR,2019
UD Kranj,585.0,410.0,237.0,131.0,397.0,131.0,361.0,2252.0,MAR,2019
UD Radovljica,221.0,153.0,97.0,58.0,148.0,36.0,92.0,805.0,MAR,2019
UD Škofja Loka,191.0,122.0,85.0,61.0,160.0,53.0,102.0,774.0,MAR,2019
UD Tržič,83.0,74.0,39.0,32.0,70.0,20.0,91.0,409.0,MAR,2019
OS Ljubljana,3956.0,2742.0,1986.0,1436.0,3899.0,1720.0,6228.0,21967.0,MAR,2019
UD Cerknica,97.0,52.0,42.0,29.0,88.0,32.0,76.0,416.0,MAR,2019
UD Domžale,351.0,195.0,136.0,111.0,293.0,122.0,348.0,1556.0,MAR,2019
UD Grosuplje,262.0,167.0,127.0,89.0,182.0,91.0,371.0,1289.0,MAR,2019
UD Kamnik,233.0,126.0,73.0,54.0,173.0,49.0,242.0,950.0,MAR,2019
UD Kočevje,191.0,105.0,97.0,67.0,178.0,68.0,485.0,1191.0,MAR,2019
UD Ljubljana,2518.0,1879.0,1358.0,987.0,2766.0,1260.0,4350.0,15118.0,MAR,2019
UD Logatec,77.0,52.0,40.0,27.0,51.0,27.0,76.0,350.0,MAR,2019
UD Ribnica,68.0,42.0,34.0,20.0,50.0,26.0,92.0,332.0,MAR,2019
UD Vrhnika,159.0,124.0,79.0,52.0,118.0,45.0,188.0,765.0,MAR,2019
OS Maribor,2280.0,1478.0,1036.0,690.0,1935.0,923.0,2259.0,10601.0,MAR,2019
UD Lenart,151.0,92.0,44.0,35.0,65.0,30.0,38.0,455.0,MAR,2019
UD Maribor,1556.0,1004.0,747.0,481.0,1394.0,695.0,1880.0,7757.0,MAR,2019
UD Pesnica,171.0,114.0,60.0,50.0,136.0,62.0,84.0,677.0,MAR,2019
UD Ruše,119.0,96.0,56.0,37.0,106.0,55.0,101.0,570.0,MAR,2019
UD Slovenska Bistrica,283.0,172.0,129.0,87.0,234.0,81.0,156.0,1142.0,MAR,2019
OS Murska Sobota,1153.0,742.0,451.0,279.0,897.0,471.0,2039.0,6032.0,MAR,2019
UD Gornja Radgona,157.0,125.0,67.0,34.0,137.0,98.0,307.0,925.0,MAR,2019
UD Lendava,201.0,146.0,92.0,48.0,192.0,116.0,551.0,1346.0,MAR,2019
UD Ljutomer,181.0,109.0,65.0,29.0,113.0,47.0,191.0,735.0,MAR,2019
UD Murska Sobota,614.0,362.0,227.0,168.0,455.0,210.0,990.0,3026.0,MAR,2019
OS Nova Gorica,655.0,416.0,324.0,173.0,560.0,213.0,658.0,2999.0,MAR,2019
UD Ajdovščina,118.0,69.0,72.0,36.0,111.0,63.0,209.0,678.0,MAR,2019
UD Idrija,63.0,44.0,37.0,20.0,51.0,18.0,46.0,279.0,MAR,2019
UD Nova Gorica,380.0,251.0,186.0,97.0,333.0,111.0,315.0,1673.0,MAR,2019
UD Tolmin,94.0,52.0,29.0,20.0,65.0,21.0,88.0,369.0,MAR,2019
OS Novo mesto,604.0,351.0,265.0,219.0,640.0,211.0,1192.0,3482.0,MAR,2019
UD Črnomelj,124.0,92.0,59.0,50.0,142.0,40.0,371.0,878.0,MAR,2019
UD Metlika,50.0,32.0,29.0,25.0,81.0,29.0,151.0,397.0,MAR,2019
UD Novo mesto,331.0,176.0,142.0,123.0,324.0,121.0,508.0,1725.0,MAR,2019
UD Trebnje,99.0,51.0,35.0,21.0,93.0,21.0,162.0,482.0,MAR,2019
OS Ptuj,622.0,450.0,315.0,170.0,543.0,244.0,384.0,2728.0,MAR,2019
UD Ormož,134.0,77.0,65.0,39.0,127.0,57.0,97.0,596.0,MAR,2019
UD Ptuj,488.0,373.0,250.0,131.0,416.0,187.0,287.0,2132.0,MAR,2019
OS Sevnica,482.0,386.0,255.0,188.0,438.0,215.0,1097.0,3061.0,MAR,2019
UD Brežice,176.0,148.0,71.0,57.0,142.0,74.0,386.0,1054.0,MAR,2019
UD Krško,180.0,145.0,119.0,94.0,191.0,108.0,558.0,1395.0,MAR,2019
UD Sevnica,126.0,93.0,65.0,37.0,105.0,33.0,153.0,612.0,MAR,2019
OS Trbovlje,486.0,287.0,268.0,153.0,413.0,199.0,525.0,2331.0,MAR,2019
UD Hrastnik,79.0,54.0,50.0,21.0,68.0,30.0,111.0,413.0,MAR,2019
UD Litija,107.0,82.0,58.0,34.0,95.0,33.0,108.0,517.0,MAR,2019
UD Trbovlje,191.0,96.0,91.0,55.0,164.0,91.0,197.0,885.0,MAR,2019
UD Zagorje,109.0,55.0,69.0,43.0,86.0,45.0,109.0,516.0,MAR,2019
OS Velenje,1170.0,638.0,415.0,295.0,815.0,362.0,1031.0,4726.0,MAR,2019
UD Dravograd,69.0,49.0,26.0,14.0,41.0,25.0,74.0,298.0,MAR,2019
UD Mozirje,127.0,85.0,51.0,51.0,111.0,52.0,105.0,582.0,MAR,2019
UD Radlje ob Dravi,134.0,60.0,44.0,36.0,84.0,40.0,159.0,557.0,MAR,2019
UD Ravne na Koroškem,178.0,108.0,69.0,39.0,113.0,48.0,199.0,754.0,MAR,2019
UD Slovenj Gradec,162.0,89.0,57.0,43.0,95.0,44.0,145.0,635.0,MAR,2019
UD Velenje,500.0,247.0,168.0,112.0,371.0,153.0,349.0,1900.0,MAR,2019
,,,,,,,,,MAR,2019
,,,,,,,,76533.0,MAR,2019
OS Celje,1262.0,1232.0,794.0,579.0,1404.0,618.0,2259.0,8148.0,APR,2019
UD Celje,496.0,476.0,287.0,198.0,492.0,177.0,573.0,2699.0,APR,2019
UD Laško,79.0,84.0,51.0,47.0,112.0,52.0,176.0,601.0,APR,2019
UD Slovenske Konjice,153.0,158.0,114.0,81.0,217.0,104.0,369.0,1196.0,APR,2019
UD Šentjur,104.0,100.0,75.0,62.0,136.0,65.0,241.0,783.0,APR,2019
UD Šmarje pri Jelšah,188.0,187.0,130.0,96.0,193.0,93.0,430.0,1317.0,APR,2019
UD Žalec,242.0,227.0,137.0,95.0,254.0,127.0,470.0,1552.0,APR,2019
OS Koper,845.0,842.0,579.0,354.0,822.0,354.0,1213.0,5009.0,APR,2019
UD Ilirska Bistrica,65.0,68.0,36.0,22.0,64.0,30.0,126.0,411.0,APR,2019
UD Izola,102.0,82.0,69.0,26.0,83.0,39.0,125.0,526.0,APR,2019
UD Koper,342.0,338.0,236.0,149.0,321.0,131.0,462.0,1979.0,APR,2019
UD Piran,117.0,134.0,87.0,58.0,105.0,57.0,149.0,707.0,APR,2019
UD Postojna,97.0,125.0,76.0,49.0,112.0,53.0,204.0,716.0,APR,2019
UD Sežana,122.0,95.0,75.0,50.0,137.0,44.0,147.0,670.0,APR,2019
OS Kranj,1041.0,941.0,534.0,361.0,880.0,263.0,733.0,4753.0,APR,2019
UD Jesenice,185.0,137.0,86.0,56.0,99.0,36.0,106.0,705.0,APR,2019
UD Kranj,467.0,441.0,226.0,159.0,391.0,120.0,356.0,2160.0,APR,2019
UD Radovljica,153.0,148.0,99.0,59.0,151.0,36.0,86.0,732.0,APR,2019
UD Škofja Loka,163.0,146.0,78.0,58.0,165.0,51.0,96.0,757.0,APR,2019
UD Tržič,73.0,69.0,45.0,29.0,74.0,20.0,89.0,399.0,APR,2019
OS Ljubljana,3056.0,2997.0,2079.0,1501.0,3940.0,1728.0,6133.0,21434.0,APR,2019
UD Cerknica,74.0,56.0,41.0,30.0,90.0,32.0,71.0,394.0,APR,2019
UD Domžale,279.0,234.0,139.0,114.0,301.0,115.0,348.0,1530.0,APR,2019
UD Grosuplje,171.0,199.0,131.0,87.0,198.0,87.0,372.0,1245.0,APR,2019
UD Kamnik,177.0,141.0,82.0,49.0,184.0,52.0,240.0,925.0,APR,2019
UD Kočevje,123.0,143.0,91.0,74.0,176.0,72.0,463.0,1142.0,APR,2019
UD Ljubljana,1984.0,1999.0,1435.0,1036.0,2785.0,1274.0,4289.0,14802.0,APR,2019
UD Logatec,60.0,58.0,40.0,31.0,46.0,25.0,77.0,337.0,APR,2019
UD Ribnica,48.0,52.0,37.0,21.0,49.0,26.0,92.0,325.0,APR,2019
UD Vrhnika,140.0,115.0,83.0,59.0,111.0,45.0,181.0,734.0,APR,2019
OS Maribor,1655.0,1675.0,1133.0,729.0,1948.0,908.0,2242.0,10290.0,APR,2019
UD Lenart,95.0,100.0,48.0,34.0,66.0,26.0,36.0,405.0,APR,2019
UD Maribor,1147.0,1120.0,828.0,507.0,1399.0,684.0,1860.0,7545.0,APR,2019
UD Pesnica,117.0,135.0,71.0,46.0,138.0,64.0,89.0,660.0,APR,2019
UD Ruše,79.0,102.0,62.0,45.0,110.0,48.0,103.0,549.0,APR,2019
UD Slovenska Bistrica,217.0,218.0,124.0,97.0,235.0,86.0,154.0,1131.0,APR,2019
OS Murska Sobota,648.0,887.0,513.0,291.0,872.0,463.0,2014.0,5688.0,APR,2019
UD Gornja Radgona,83.0,143.0,73.0,34.0,135.0,92.0,309.0,869.0,APR,2019
UD Lendava,109.0,157.0,100.0,55.0,183.0,117.0,542.0,1263.0,APR,2019
UD Ljutomer,119.0,134.0,60.0,27.0,110.0,49.0,184.0,683.0,APR,2019
UD Murska Sobota,337.0,453.0,280.0,175.0,444.0,205.0,979.0,2873.0,APR,2019
OS Nova Gorica,472.0,461.0,362.0,192.0,534.0,216.0,650.0,2887.0,APR,2019
UD Ajdovščina,98.0,73.0,65.0,50.0,108.0,64.0,205.0,663.0,APR,2019
UD Idrija,46.0,48.0,45.0,18.0,52.0,19.0,44.0,272.0,APR,2019
UD Nova Gorica,271.0,277.0,217.0,109.0,314.0,109.0,312.0,1609.0,APR,2019
UD Tolmin,57.0,63.0,35.0,15.0,60.0,24.0,89.0,343.0,APR,2019
OS Novo mesto,437.0,449.0,259.0,227.0,627.0,209.0,1171.0,3379.0,APR,2019
UD Črnomelj,96.0,108.0,61.0,60.0,139.0,37.0,370.0,871.0,APR,2019
UD Metlika,31.0,44.0,29.0,20.0,77.0,29.0,148.0,378.0,APR,2019
UD Novo mesto,240.0,236.0,133.0,122.0,325.0,120.0,496.0,1672.0,APR,2019
UD Trebnje,70.0,61.0,36.0,25.0,86.0,23.0,157.0,458.0,APR,2019
OS Ptuj,434.0,493.0,313.0,170.0,544.0,233.0,385.0,2572.0,APR,2019
UD Ormož,95.0,90.0,59.0,37.0,127.0,52.0,96.0,556.0,APR,2019
UD Ptuj,339.0,403.0,254.0,133.0,417.0,181.0,289.0,2016.0,APR,2019
OS Sevnica,321.0,407.0,278.0,189.0,442.0,214.0,1088.0,2939.0,APR,2019
UD Brežice,113.0,153.0,88.0,52.0,142.0,73.0,383.0,1004.0,APR,2019
UD Krško,124.0,151.0,117.0,97.0,197.0,106.0,555.0,1347.0,APR,2019
UD Sevnica,84.0,103.0,73.0,40.0,103.0,35.0,150.0,588.0,APR,2019
OS Trbovlje,381.0,377.0,243.0,177.0,405.0,202.0,515.0,2300.0,APR,2019
UD Hrastnik,72.0,61.0,51.0,31.0,63.0,30.0,112.0,420.0,APR,2019
UD Litija,76.0,97.0,54.0,37.0,95.0,34.0,101.0,494.0,APR,2019
UD Trbovlje,136.0,144.0,75.0,66.0,158.0,91.0,197.0,867.0,APR,2019
UD Zagorje,97.0,75.0,63.0,43.0,89.0,47.0,105.0,519.0,APR,2019
OS Velenje,886.0,696.0,471.0,317.0,819.0,342.0,1035.0,4566.0,APR,2019
UD Dravograd,50.0,46.0,30.0,14.0,44.0,23.0,75.0,282.0,APR,2019
UD Mozirje,98.0,93.0,64.0,53.0,115.0,46.0,104.0,573.0,APR,2019
UD Radlje ob Dravi,83.0,84.0,41.0,39.0,86.0,39.0,161.0,533.0,APR,2019
UD Ravne na Koroškem,144.0,103.0,86.0,43.0,112.0,45.0,198.0,731.0,APR,2019
UD Slovenj Gradec,136.0,92.0,66.0,45.0,99.0,44.0,147.0,629.0,APR,2019
UD Velenje,375.0,278.0,184.0,123.0,363.0,145.0,350.0,1818.0,APR,2019
,,,,,,,,,APR,2019
,,,,,,,,73965.0,APR,2019
OS Celje,1176.0,1161.0,838.0,484.0,1455.0,612.0,2245.0,7971.0,MAJ,2019
UD Celje,432.0,450.0,301.0,173.0,510.0,181.0,564.0,2611.0,MAJ,2019
UD Laško,76.0,86.0,54.0,43.0,118.0,52.0,173.0,602.0,MAJ,2019
UD Slovenske Konjice,150.0,141.0,110.0,67.0,228.0,103.0,372.0,1171.0,MAJ,2019
UD Šentjur,109.0,89.0,81.0,48.0,141.0,64.0,239.0,771.0,MAJ,2019
UD Šmarje pri Jelšah,177.0,179.0,149.0,72.0,203.0,82.0,436.0,1298.0,MAJ,2019
UD Žalec,232.0,216.0,143.0,81.0,255.0,130.0,461.0,1518.0,MAJ,2019
OS Koper,786.0,714.0,579.0,325.0,820.0,346.0,1205.0,4775.0,MAJ,2019
UD Ilirska Bistrica,69.0,62.0,38.0,25.0,60.0,28.0,128.0,410.0,MAJ,2019
UD Izola,99.0,65.0,65.0,23.0,82.0,37.0,123.0,494.0,MAJ,2019
UD Koper,312.0,283.0,238.0,142.0,323.0,123.0,455.0,1876.0,MAJ,2019
UD Piran,103.0,96.0,96.0,41.0,113.0,57.0,149.0,655.0,MAJ,2019
UD Postojna,87.0,105.0,72.0,48.0,117.0,52.0,202.0,683.0,MAJ,2019
UD Sežana,116.0,103.0,70.0,46.0,125.0,49.0,148.0,657.0,MAJ,2019
OS Kranj,1001.0,817.0,589.0,320.0,886.0,261.0,698.0,4572.0,MAJ,2019
UD Jesenice,168.0,111.0,90.0,39.0,109.0,39.0,93.0,649.0,MAJ,2019
UD Kranj,463.0,391.0,263.0,147.0,384.0,117.0,343.0,2108.0,MAJ,2019
UD Radovljica,144.0,128.0,98.0,52.0,150.0,38.0,81.0,691.0,MAJ,2019
UD Škofja Loka,163.0,136.0,84.0,53.0,167.0,52.0,94.0,749.0,MAJ,2019
UD Tržič,63.0,51.0,54.0,29.0,76.0,15.0,87.0,375.0,MAJ,2019
OS Ljubljana,3051.0,2711.0,2194.0,1321.0,3978.0,1697.0,6117.0,21069.0,MAJ,2019
UD Cerknica,87.0,53.0,41.0,26.0,87.0,30.0,69.0,393.0,MAJ,2019
UD Domžale,259.0,228.0,160.0,93.0,290.0,123.0,350.0,1503.0,MAJ,2019
UD Grosuplje,177.0,187.0,133.0,81.0,204.0,87.0,373.0,1242.0,MAJ,2019
UD Kamnik,195.0,125.0,86.0,47.0,172.0,56.0,235.0,916.0,MAJ,2019
UD Kočevje,104.0,134.0,94.0,73.0,179.0,72.0,445.0,1101.0,MAJ,2019
UD Ljubljana,1996.0,1770.0,1524.0,909.0,2832.0,1241.0,4297.0,14569.0,MAJ,2019
UD Logatec,59.0,58.0,39.0,23.0,48.0,20.0,79.0,326.0,MAJ,2019
UD Ribnica,40.0,42.0,34.0,17.0,48.0,24.0,97.0,302.0,MAJ,2019
UD Vrhnika,134.0,114.0,83.0,52.0,118.0,44.0,172.0,717.0,MAJ,2019
OS Maribor,1535.0,1519.0,1156.0,649.0,1967.0,930.0,2219.0,9975.0,MAJ,2019
UD Lenart,82.0,88.0,46.0,30.0,66.0,27.0,32.0,371.0,MAJ,2019
UD Maribor,1052.0,1026.0,843.0,468.0,1395.0,692.0,1843.0,7319.0,MAJ,2019
UD Pesnica,116.0,113.0,77.0,38.0,145.0,64.0,88.0,641.0,MAJ,2019
UD Ruše,81.0,81.0,69.0,31.0,113.0,57.0,103.0,535.0,MAJ,2019
UD Slovenska Bistrica,204.0,211.0,121.0,82.0,248.0,90.0,153.0,1109.0,MAJ,2019
OS Murska Sobota,622.0,760.0,550.0,268.0,868.0,453.0,2014.0,5535.0,MAJ,2019
UD Gornja Radgona,74.0,119.0,75.0,35.0,132.0,91.0,313.0,839.0,MAJ,2019
UD Lendava,117.0,132.0,113.0,56.0,175.0,116.0,546.0,1255.0,MAJ,2019
UD Ljutomer,103.0,112.0,81.0,26.0,102.0,50.0,183.0,657.0,MAJ,2019
UD Murska Sobota,328.0,397.0,281.0,151.0,459.0,196.0,972.0,2784.0,MAJ,2019
OS Nova Gorica,478.0,402.0,356.0,184.0,531.0,204.0,635.0,2790.0,MAJ,2019
UD Ajdovščina,100.0,79.0,62.0,40.0,111.0,57.0,201.0,650.0,MAJ,2019
UD Idrija,54.0,43.0,46.0,12.0,57.0,16.0,44.0,272.0,MAJ,2019
UD Nova Gorica,264.0,237.0,212.0,113.0,303.0,110.0,305.0,1544.0,MAJ,2019
UD Tolmin,60.0,43.0,36.0,19.0,60.0,21.0,85.0,324.0,MAJ,2019
OS Novo mesto,437.0,394.0,283.0,189.0,648.0,217.0,1155.0,3323.0,MAJ,2019
UD Črnomelj,93.0,94.0,71.0,49.0,141.0,39.0,364.0,851.0,MAJ,2019
UD Metlika,23.0,41.0,27.0,23.0,76.0,31.0,148.0,369.0,MAJ,2019
UD Novo mesto,252.0,194.0,149.0,92.0,347.0,124.0,486.0,1644.0,MAJ,2019
UD Trebnje,69.0,65.0,36.0,25.0,84.0,23.0,157.0,459.0,MAJ,2019
OS Ptuj,403.0,399.0,357.0,164.0,529.0,236.0,384.0,2472.0,MAJ,2019
UD Ormož,71.0,85.0,56.0,40.0,121.0,53.0,97.0,523.0,MAJ,2019
UD Ptuj,332.0,314.0,301.0,124.0,408.0,183.0,287.0,1949.0,MAJ,2019
OS Sevnica,307.0,331.0,300.0,164.0,470.0,210.0,1071.0,2853.0,MAJ,2019
UD Brežice,105.0,114.0,103.0,50.0,146.0,74.0,369.0,961.0,MAJ,2019
UD Krško,123.0,122.0,123.0,78.0,213.0,103.0,554.0,1316.0,MAJ,2019
UD Sevnica,79.0,95.0,74.0,36.0,111.0,33.0,148.0,576.0,MAJ,2019
OS Trbovlje,371.0,340.0,249.0,172.0,422.0,189.0,519.0,2262.0,MAJ,2019
UD Hrastnik,67.0,56.0,54.0,32.0,65.0,29.0,114.0,417.0,MAJ,2019
UD Litija,81.0,75.0,68.0,38.0,96.0,34.0,99.0,491.0,MAJ,2019
UD Trbovlje,134.0,133.0,74.0,62.0,162.0,87.0,199.0,851.0,MAJ,2019
UD Zagorje,89.0,76.0,53.0,40.0,99.0,39.0,107.0,503.0,MAJ,2019
OS Velenje,805.0,646.0,517.0,274.0,805.0,329.0,1039.0,4415.0,MAJ,2019
UD Dravograd,50.0,36.0,31.0,14.0,43.0,23.0,77.0,274.0,MAJ,2019
UD Mozirje,80.0,75.0,72.0,34.0,117.0,42.0,103.0,523.0,MAJ,2019
UD Radlje ob Dravi,87.0,75.0,53.0,30.0,87.0,40.0,161.0,533.0,MAJ,2019
UD Ravne na Koroškem,143.0,97.0,93.0,40.0,110.0,48.0,195.0,726.0,MAJ,2019
UD Slovenj Gradec,133.0,89.0,70.0,43.0,98.0,40.0,147.0,620.0,MAJ,2019
UD Velenje,312.0,274.0,198.0,113.0,350.0,136.0,356.0,1739.0,MAJ,2019
,,,,,,,,,MAJ,2019
,,,,,,,,72012.0,MAJ,2019
OS Celje,1134.0,1105.0,705.0,614.0,1436.0,606.0,2229.0,7829.0,JUN,2019
UD Celje,386.0,446.0,243.0,232.0,505.0,175.0,555.0,2542.0,JUN,2019
UD Laško,81.0,76.0,54.0,43.0,117.0,50.0,176.0,597.0,JUN,2019
UD Slovenske Konjice,157.0,120.0,90.0,92.0,225.0,98.0,372.0,1154.0,JUN,2019
UD Šentjur,116.0,100.0,54.0,66.0,141.0,68.0,238.0,783.0,JUN,2019
UD Šmarje pri Jelšah,175.0,165.0,133.0,86.0,206.0,87.0,431.0,1283.0,JUN,2019
UD Žalec,219.0,198.0,131.0,95.0,242.0,128.0,457.0,1470.0,JUN,2019
OS Koper,717.0,701.0,442.0,381.0,801.0,338.0,1196.0,4576.0,JUN,2019
UD Ilirska Bistrica,77.0,48.0,39.0,26.0,58.0,31.0,126.0,405.0,JUN,2019
UD Izola,71.0,77.0,48.0,30.0,78.0,35.0,121.0,460.0,JUN,2019
UD Koper,293.0,284.0,164.0,171.0,318.0,124.0,452.0,1806.0,JUN,2019
UD Piran,83.0,93.0,74.0,45.0,110.0,54.0,146.0,605.0,JUN,2019
UD Postojna,89.0,101.0,58.0,57.0,115.0,45.0,206.0,671.0,JUN,2019
UD Sežana,104.0,98.0,59.0,52.0,122.0,49.0,145.0,629.0,JUN,2019
OS Kranj,934.0,812.0,549.0,385.0,877.0,256.0,690.0,4503.0,JUN,2019
UD Jesenice,120.0,115.0,82.0,45.0,113.0,42.0,92.0,609.0,JUN,2019
UD Kranj,439.0,379.0,262.0,182.0,379.0,113.0,347.0,2101.0,JUN,2019
UD Radovljica,128.0,129.0,86.0,62.0,141.0,35.0,75.0,656.0,JUN,2019
UD Škofja Loka,161.0,133.0,78.0,61.0,169.0,46.0,97.0,745.0,JUN,2019
UD Tržič,86.0,56.0,41.0,35.0,75.0,20.0,79.0,392.0,JUN,2019
OS Ljubljana,2931.0,2714.0,1905.0,1571.0,3984.0,1685.0,6042.0,20832.0,JUN,2019
UD Cerknica,88.0,61.0,31.0,33.0,83.0,27.0,67.0,390.0,JUN,2019
UD Domžale,269.0,213.0,128.0,115.0,293.0,123.0,347.0,1488.0,JUN,2019
UD Grosuplje,167.0,177.0,124.0,94.0,212.0,87.0,357.0,1218.0,JUN,2019
UD Kamnik,167.0,148.0,80.0,56.0,162.0,60.0,232.0,905.0,JUN,2019
UD Kočevje,107.0,137.0,78.0,81.0,171.0,74.0,442.0,1090.0,JUN,2019
UD Ljubljana,1901.0,1760.0,1339.0,1081.0,2832.0,1236.0,4255.0,14404.0,JUN,2019
UD Logatec,52.0,61.0,31.0,28.0,52.0,16.0,79.0,319.0,JUN,2019
UD Ribnica,51.0,44.0,22.0,25.0,52.0,24.0,96.0,314.0,JUN,2019
UD Vrhnika,129.0,113.0,72.0,58.0,127.0,38.0,167.0,704.0,JUN,2019
OS Maribor,1447.0,1510.0,986.0,812.0,1933.0,929.0,2211.0,9828.0,JUN,2019
UD Lenart,90.0,74.0,52.0,27.0,69.0,26.0,31.0,369.0,JUN,2019
UD Maribor,988.0,1039.0,684.0,602.0,1373.0,691.0,1839.0,7216.0,JUN,2019
UD Pesnica,93.0,118.0,74.0,43.0,141.0,64.0,82.0,615.0,JUN,2019
UD Ruše,95.0,74.0,53.0,46.0,99.0,54.0,102.0,523.0,JUN,2019
UD Slovenska Bistrica,181.0,205.0,123.0,94.0,251.0,94.0,157.0,1105.0,JUN,2019
OS Murska Sobota,614.0,710.0,476.0,336.0,861.0,452.0,2013.0,5462.0,JUN,2019
UD Gornja Radgona,77.0,99.0,71.0,47.0,129.0,86.0,316.0,825.0,JUN,2019
UD Lendava,115.0,129.0,89.0,69.0,172.0,113.0,541.0,1228.0,JUN,2019
UD Ljutomer,97.0,108.0,67.0,44.0,96.0,55.0,183.0,650.0,JUN,2019
UD Murska Sobota,325.0,374.0,249.0,176.0,464.0,198.0,973.0,2759.0,JUN,2019
OS Nova Gorica,440.0,429.0,269.0,227.0,504.0,202.0,627.0,2698.0,JUN,2019
UD Ajdovščina,99.0,87.0,45.0,49.0,103.0,52.0,198.0,633.0,JUN,2019
UD Idrija,42.0,43.0,30.0,29.0,48.0,20.0,45.0,257.0,JUN,2019
UD Nova Gorica,246.0,256.0,168.0,131.0,296.0,109.0,300.0,1506.0,JUN,2019
UD Tolmin,53.0,43.0,26.0,18.0,57.0,21.0,84.0,302.0,JUN,2019
OS Novo mesto,433.0,407.0,238.0,199.0,632.0,216.0,1137.0,3262.0,JUN,2019
UD Črnomelj,98.0,91.0,72.0,44.0,143.0,38.0,361.0,847.0,JUN,2019
UD Metlika,19.0,37.0,21.0,24.0,78.0,36.0,146.0,361.0,JUN,2019
UD Novo mesto,248.0,211.0,114.0,106.0,329.0,118.0,482.0,1608.0,JUN,2019
UD Trebnje,68.0,68.0,31.0,25.0,82.0,24.0,148.0,446.0,JUN,2019
OS Ptuj,383.0,374.0,290.0,227.0,518.0,236.0,388.0,2416.0,JUN,2019
UD Ormož,71.0,76.0,50.0,44.0,120.0,53.0,101.0,515.0,JUN,2019
UD Ptuj,312.0,298.0,240.0,183.0,398.0,183.0,287.0,1901.0,JUN,2019
OS Sevnica,334.0,301.0,242.0,195.0,470.0,207.0,1069.0,2818.0,JUN,2019
UD Brežice,110.0,97.0,93.0,49.0,143.0,75.0,363.0,930.0,JUN,2019
UD Krško,141.0,122.0,87.0,95.0,220.0,97.0,558.0,1320.0,JUN,2019
UD Sevnica,83.0,82.0,62.0,51.0,107.0,35.0,148.0,568.0,JUN,2019
OS Trbovlje,325.0,337.0,212.0,205.0,410.0,183.0,518.0,2190.0,JUN,2019
UD Hrastnik,62.0,63.0,44.0,41.0,66.0,28.0,113.0,417.0,JUN,2019
UD Litija,69.0,61.0,62.0,44.0,93.0,39.0,99.0,467.0,JUN,2019
UD Trbovlje,111.0,136.0,63.0,69.0,157.0,84.0,200.0,820.0,JUN,2019
UD Zagorje,83.0,77.0,43.0,51.0,94.0,32.0,106.0,486.0,JUN,2019
OS Velenje,780.0,638.0,419.0,325.0,819.0,309.0,1043.0,4333.0,JUN,2019
