Urad za delo,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
UD Litija,86.0,57.0,45.0,25.0,94.0,46.0,74.0,427.0,APR,2022
UD Trbovlje,97.0,87.0,51.0,31.0,125.0,93.0,249.0,733.0,APR,2022
UD Zagorje,64.0,55.0,52.0,19.0,69.0,49.0,94.0,402.0,APR,2022
OS Velenje,564.0,687.0,386.0,200.0,644.0,310.0,739.0,3530.0,APR,2022
UD Dravograd,44.0,31.0,30.0,6.0,29.0,14.0,36.0,190.0,APR,2022
UD Mozirje,78.0,72.0,54.0,19.0,58.0,34.0,68.0,383.0,APR,2022
UD Radlje ob Dravi,61.0,65.0,26.0,19.0,68.0,51.0,138.0,428.0,APR,2022
UD Ravne na Koroškem,103.0,109.0,65.0,34.0,74.0,43.0,133.0,561.0,APR,2022
UD Slovenj Gradec,84.0,142.0,77.0,33.0,83.0,46.0,120.0,585.0,APR,2022
UD Velenje,194.0,268.0,134.0,89.0,332.0,122.0,244.0,1383.0,APR,2022
OS Celje,1000.0,799.0,597.0,332.0,1023.0,599.0,1854.0,6204.0,MAJ,2022
UD Celje,389.0,310.0,219.0,127.0,332.0,180.0,412.0,1969.0,MAJ,2022
UD Laško,68.0,50.0,26.0,31.0,78.0,41.0,139.0,433.0,MAJ,2022
UD Slovenske Konjice,118.0,86.0,61.0,44.0,172.0,84.0,331.0,896.0,MAJ,2022
UD Šentjur,78.0,71.0,52.0,33.0,99.0,59.0,226.0,618.0,MAJ,2022
UD Šmarje pri Jelšah,147.0,132.0,113.0,50.0,177.0,117.0,422.0,1158.0,MAJ,2022
UD Žalec,200.0,150.0,126.0,47.0,165.0,118.0,324.0,1130.0,MAJ,2022
OS Koper,713.0,481.0,439.0,201.0,628.0,448.0,847.0,3757.0,MAJ,2022
UD Ilirska Bistrica,27.0,34.0,19.0,8.0,23.0,24.0,81.0,216.0,MAJ,2022
UD Izola,75.0,56.0,61.0,21.0,62.0,34.0,61.0,370.0,MAJ,2022
UD Koper,303.0,191.0,195.0,94.0,298.0,220.0,375.0,1676.0,MAJ,2022
UD Piran,105.0,70.0,77.0,28.0,96.0,66.0,95.0,537.0,MAJ,2022
UD Postojna,99.0,60.0,42.0,21.0,63.0,47.0,122.0,454.0,MAJ,2022
UD Sežana,104.0,70.0,45.0,29.0,86.0,57.0,113.0,504.0,MAJ,2022
OS Kranj,702.0,556.0,436.0,211.0,593.0,384.0,395.0,3277.0,MAJ,2022
UD Jesenice,106.0,73.0,62.0,22.0,77.0,61.0,44.0,445.0,MAJ,2022
UD Kranj,316.0,249.0,210.0,102.0,265.0,187.0,227.0,1556.0,MAJ,2022
UD Radovljica,118.0,92.0,73.0,32.0,110.0,69.0,60.0,554.0,MAJ,2022
UD Škofja Loka,98.0,98.0,64.0,39.0,106.0,42.0,45.0,492.0,MAJ,2022
UD Tržič,64.0,44.0,27.0,16.0,35.0,25.0,19.0,230.0,MAJ,2022
OS Ljubljana,2376.0,1786.0,1442.0,812.0,2885.0,2177.0,4943.0,16421.0,MAJ,2022
UD Cerknica,64.0,30.0,41.0,14.0,49.0,19.0,46.0,263.0,MAJ,2022
UD Domžale,187.0,178.0,136.0,79.0,248.0,199.0,360.0,1387.0,MAJ,2022
UD Grosuplje,139.0,105.0,77.0,45.0,132.0,86.0,197.0,781.0,MAJ,2022
UD Kamnik,121.0,91.0,72.0,37.0,123.0,88.0,203.0,735.0,MAJ,2022
UD Kočevje,101.0,76.0,51.0,48.0,96.0,85.0,276.0,733.0,MAJ,2022
UD Ljubljana,1535.0,1155.0,965.0,519.0,2065.0,1560.0,3625.0,11424.0,MAJ,2022
UD Logatec,83.0,41.0,23.0,18.0,33.0,26.0,58.0,282.0,MAJ,2022
UD Ribnica,45.0,28.0,14.0,13.0,44.0,30.0,61.0,235.0,MAJ,2022
UD Vrhnika,101.0,82.0,63.0,39.0,95.0,84.0,117.0,581.0,MAJ,2022
OS Maribor,1259.0,999.0,784.0,413.0,1243.0,921.0,2122.0,7741.0,MAJ,2022
UD Lenart,79.0,59.0,43.0,14.0,45.0,16.0,11.0,267.0,MAJ,2022
UD Maribor,857.0,675.0,542.0,298.0,872.0,729.0,1847.0,5820.0,MAJ,2022
UD Pesnica,106.0,81.0,62.0,40.0,81.0,50.0,90.0,510.0,MAJ,2022
UD Ruše,75.0,36.0,32.0,19.0,67.0,41.0,71.0,341.0,MAJ,2022
UD Slovenska Bistrica,142.0,148.0,105.0,42.0,178.0,85.0,103.0,803.0,MAJ,2022
OS Murska Sobota,543.0,577.0,365.0,158.0,472.0,280.0,1108.0,3503.0,MAJ,2022
UD Gornja Radgona,94.0,71.0,47.0,28.0,61.0,42.0,153.0,496.0,MAJ,2022
UD Lendava,102.0,120.0,83.0,25.0,115.0,56.0,351.0,852.0,MAJ,2022
UD Ljutomer,74.0,70.0,33.0,33.0,73.0,25.0,82.0,390.0,MAJ,2022
UD Murska Sobota,273.0,316.0,202.0,72.0,223.0,157.0,522.0,1765.0,MAJ,2022
OS Nova Gorica,384.0,288.0,208.0,111.0,344.0,213.0,505.0,2053.0,MAJ,2022
UD Ajdovščina,89.0,58.0,57.0,24.0,80.0,45.0,144.0,497.0,MAJ,2022
UD Idrija,46.0,34.0,20.0,11.0,33.0,11.0,26.0,181.0,MAJ,2022
UD Nova Gorica,203.0,167.0,105.0,68.0,191.0,131.0,273.0,1138.0,MAJ,2022
UD Tolmin,46.0,29.0,26.0,8.0,40.0,26.0,62.0,237.0,MAJ,2022
OS Novo mesto,484.0,390.0,258.0,169.0,446.0,274.0,980.0,3001.0,MAJ,2022
UD Črnomelj,80.0,63.0,50.0,32.0,115.0,63.0,292.0,695.0,MAJ,2022
UD Metlika,43.0,33.0,27.0,20.0,32.0,35.0,144.0,334.0,MAJ,2022
UD Novo mesto,287.0,247.0,155.0,102.0,239.0,144.0,422.0,1596.0,MAJ,2022
UD Trebnje,74.0,47.0,26.0,15.0,60.0,32.0,122.0,376.0,MAJ,2022
OS Ptuj,405.0,290.0,223.0,188.0,412.0,258.0,368.0,2144.0,MAJ,2022
UD Ormož,90.0,62.0,47.0,93.0,55.0,36.0,77.0,460.0,MAJ,2022
UD Ptuj,315.0,228.0,176.0,95.0,357.0,222.0,291.0,1684.0,MAJ,2022
OS Sevnica,344.0,235.0,218.0,115.0,383.0,246.0,956.0,2497.0,MAJ,2022
UD Brežice,118.0,87.0,77.0,36.0,134.0,78.0,321.0,851.0,MAJ,2022
UD Krško,144.0,92.0,93.0,50.0,150.0,124.0,536.0,1189.0,MAJ,2022
UD Sevnica,82.0,56.0,48.0,29.0,99.0,44.0,99.0,457.0,MAJ,2022
OS Trbovlje,304.0,207.0,184.0,98.0,314.0,222.0,527.0,1856.0,MAJ,2022
UD Hrastnik,46.0,28.0,35.0,18.0,55.0,39.0,121.0,342.0,MAJ,2022
UD Litija,94.0,57.0,49.0,28.0,82.0,45.0,71.0,426.0,MAJ,2022
UD Trbovlje,97.0,75.0,54.0,26.0,115.0,91.0,248.0,706.0,MAJ,2022
UD Zagorje,67.0,47.0,46.0,26.0,62.0,47.0,87.0,382.0,MAJ,2022
OS Velenje,580.0,558.0,376.0,231.0,611.0,314.0,730.0,3400.0,MAJ,2022
UD Dravograd,46.0,21.0,22.0,14.0,24.0,13.0,33.0,173.0,MAJ,2022
UD Mozirje,74.0,62.0,46.0,27.0,55.0,30.0,69.0,363.0,MAJ,2022
UD Radlje ob Dravi,67.0,43.0,37.0,16.0,62.0,53.0,140.0,418.0,MAJ,2022
UD Ravne na Koroškem,94.0,97.0,60.0,42.0,74.0,42.0,130.0,539.0,MAJ,2022
UD Slovenj Gradec,101.0,108.0,70.0,52.0,71.0,50.0,118.0,570.0,MAJ,2022
