Občina,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
Preddvor,20.0,10.0,4.0,5.0,13.0,10.0,13.0,75.0,DEC,2021
Prevalje,71.0,19.0,12.0,10.0,23.0,14.0,46.0,195.0,DEC,2021
Ptuj,165.0,114.0,54.0,59.0,201.0,95.0,147.0,835.0,DEC,2021
Puconci,54.0,11.0,17.0,6.0,29.0,14.0,75.0,206.0,DEC,2021
Rače - Fram,51.0,26.0,16.0,18.0,51.0,30.0,55.0,247.0,DEC,2021
Radeče,20.0,18.0,9.0,14.0,26.0,17.0,30.0,134.0,DEC,2021
Radenci,49.0,33.0,6.0,10.0,18.0,11.0,31.0,158.0,DEC,2021
Radlje ob Dravi,56.0,17.0,10.0,17.0,38.0,19.0,55.0,212.0,DEC,2021
Radovljica,117.0,52.0,22.0,38.0,106.0,45.0,42.0,422.0,DEC,2021
Ravne na Koroškem,124.0,47.0,23.0,29.0,51.0,23.0,71.0,368.0,DEC,2021
Razkrižje,12.0,5.0,4.0,2.0,3.0,1.0,8.0,35.0,DEC,2021
Rečica ob Savinji,12.0,5.0,4.0,4.0,13.0,3.0,7.0,48.0,DEC,2021
Renče - Vogrsko,16.0,15.0,6.0,7.0,23.0,6.0,18.0,91.0,DEC,2021
Ribnica,33.0,16.0,11.0,11.0,45.0,25.0,63.0,204.0,DEC,2021
Ribnica na Pohorju,14.0,7.0,2.0,4.0,10.0,4.0,15.0,56.0,DEC,2021
Rogaška Slatina,98.0,54.0,25.0,32.0,102.0,49.0,162.0,522.0,DEC,2021
Rogašovci,40.0,11.0,7.0,9.0,25.0,17.0,70.0,179.0,DEC,2021
Rogatec,26.0,12.0,9.0,15.0,40.0,15.0,51.0,168.0,DEC,2021
Ruše,48.0,30.0,21.0,31.0,59.0,29.0,56.0,274.0,DEC,2021
Selnica ob Dravi,37.0,14.0,5.0,6.0,25.0,23.0,17.0,127.0,DEC,2021
