Občina,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
MIREN-KOSTANJEVICA,22.0,14.0,8.0,11.0,13.0,7.0,26.0,101.0,DEC,2018
MIRNA,11.0,6.0,5.0,5.0,9.0,5.0,18.0,59.0,DEC,2018
MIRNA PEČ,15.0,5.0,1.0,7.0,13.0,2.0,16.0,59.0,DEC,2018
MISLINJA,30.0,10.0,11.0,5.0,16.0,4.0,18.0,94.0,DEC,2018
MOKRONOG-TREBELNO,9.0,10.0,8.0,5.0,14.0,4.0,15.0,65.0,DEC,2018
MORAVČE,18.0,11.0,7.0,9.0,24.0,6.0,29.0,104.0,DEC,2018
MORAVSKE TOPLICE,71.0,28.0,18.0,18.0,49.0,17.0,97.0,298.0,DEC,2018
MOZIRJE,34.0,20.0,14.0,12.0,19.0,11.0,31.0,141.0,DEC,2018
MURSKA SOBOTA,208.0,115.0,69.0,85.0,178.0,80.0,380.0,1115.0,DEC,2018
MUTA,29.0,15.0,11.0,4.0,18.0,8.0,36.0,121.0,DEC,2018
NAKLO,40.0,22.0,11.0,15.0,12.0,4.0,22.0,126.0,DEC,2018
NAZARJE,28.0,12.0,12.0,6.0,20.0,10.0,21.0,109.0,DEC,2018
NOVA GORICA,208.0,134.0,76.0,78.0,183.0,73.0,195.0,947.0,DEC,2018
NOVO MESTO,193.0,132.0,96.0,102.0,178.0,84.0,325.0,1110.0,DEC,2018
ODRANCI,29.0,4.0,7.0,10.0,14.0,3.0,20.0,87.0,DEC,2018
OPLOTNICA,23.0,15.0,14.0,16.0,32.0,6.0,14.0,120.0,DEC,2018
ORMOŽ,142.0,88.0,38.0,34.0,125.0,43.0,79.0,549.0,DEC,2018
OSILNICA,2.0,0.0,1.0,4.0,4.0,1.0,4.0,16.0,DEC,2018
PESNICA,105.0,35.0,18.0,20.0,62.0,24.0,32.0,296.0,DEC,2018
PIRAN,248.0,88.0,76.0,41.0,119.0,52.0,166.0,790.0,DEC,2018
PIVKA,46.0,30.0,16.0,17.0,29.0,16.0,59.0,213.0,DEC,2018
PODČETRTEK,42.0,15.0,13.0,10.0,15.0,13.0,40.0,148.0,DEC,2018
PODLEHNIK,12.0,6.0,3.0,10.0,22.0,4.0,11.0,68.0,DEC,2018
PODVELKA,22.0,5.0,9.0,7.0,14.0,12.0,25.0,94.0,DEC,2018
POLJČANE,38.0,17.0,17.0,23.0,19.0,10.0,36.0,160.0,DEC,2018
POLZELA,61.0,45.0,14.0,14.0,42.0,11.0,51.0,238.0,DEC,2018
POSTOJNA,147.0,95.0,49.0,38.0,88.0,38.0,147.0,602.0,DEC,2018
PREBOLD,33.0,16.0,10.0,12.0,25.0,20.0,65.0,181.0,DEC,2018
PREDDVOR,28.0,13.0,4.0,9.0,15.0,5.0,9.0,83.0,DEC,2018
PREVALJE,56.0,32.0,15.0,20.0,28.0,11.0,57.0,219.0,DEC,2018
PTUJ,200.0,168.0,66.0,76.0,183.0,75.0,111.0,879.0,DEC,2018
PUCONCI,65.0,17.0,19.0,17.0,47.0,33.0,126.0,324.0,DEC,2018
RAČE-FRAM,59.0,34.0,24.0,17.0,49.0,21.0,68.0,272.0,DEC,2018
RADEČE,31.0,30.0,11.0,14.0,31.0,12.0,38.0,167.0,DEC,2018
RADENCI,49.0,24.0,8.0,15.0,28.0,21.0,73.0,218.0,DEC,2018
RADLJE OB DRAVI,45.0,28.0,16.0,18.0,35.0,17.0,62.0,221.0,DEC,2018
RADOVLJICA,127.0,75.0,50.0,30.0,74.0,15.0,66.0,437.0,DEC,2018
RAVNE NA KOROŠKEM,79.0,51.0,25.0,35.0,51.0,25.0,95.0,361.0,DEC,2018
RAZKRIŽJE,20.0,5.0,2.0,2.0,9.0,7.0,12.0,57.0,DEC,2018
REČICA OB SAVINJI,21.0,9.0,18.0,9.0,15.0,1.0,16.0,89.0,DEC,2018
RENČE-VOGRSKO,20.0,22.0,5.0,10.0,26.0,3.0,16.0,102.0,DEC,2018
RIBNICA,49.0,38.0,17.0,19.0,51.0,20.0,74.0,268.0,DEC,2018
RIBNICA NA POHORJU,21.0,8.0,4.0,3.0,10.0,3.0,17.0,66.0,DEC,2018
ROGAŠKA SLATINA,111.0,60.0,35.0,37.0,67.0,48.0,156.0,514.0,DEC,2018
ROGAŠOVCI,40.0,11.0,13.0,14.0,26.0,11.0,89.0,204.0,DEC,2018
ROGATEC,42.0,14.0,12.0,14.0,29.0,8.0,53.0,172.0,DEC,2018
RUŠE,92.0,47.0,35.0,24.0,60.0,30.0,59.0,347.0,DEC,2018
SELNICA OB DRAVI,49.0,25.0,12.0,16.0,29.0,16.0,23.0,170.0,DEC,2018
SEMIČ,43.0,15.0,17.0,16.0,36.0,5.0,70.0,202.0,DEC,2018
SEVNICA,139.0,86.0,46.0,55.0,92.0,39.0,163.0,620.0,DEC,2018
SEŽANA,80.0,70.0,47.0,35.0,73.0,31.0,84.0,420.0,DEC,2018
SLOVENJ GRADEC,131.0,72.0,54.0,38.0,86.0,43.0,140.0,564.0,DEC,2018
SLOVENSKA BISTRICA,235.0,143.0,76.0,79.0,158.0,75.0,125.0,891.0,DEC,2018
SLOVENSKE KONJICE,149.0,81.0,53.0,46.0,133.0,60.0,239.0,761.0,DEC,2018
SODRAŽICA,12.0,7.0,8.0,5.0,4.0,3.0,16.0,55.0,DEC,2018
SOLČAVA,1.0,5.0,1.0,5.0,3.0,0.0,1.0,16.0,DEC,2018
SREDIŠČE OB DRAVI,26.0,8.0,7.0,4.0,19.0,6.0,11.0,81.0,DEC,2018
STARŠE,29.0,23.0,20.0,13.0,30.0,15.0,28.0,158.0,DEC,2018
STRAŽA,23.0,15.0,7.0,3.0,19.0,3.0,18.0,88.0,DEC,2018
SVETA ANA,27.0,10.0,6.0,3.0,13.0,5.0,7.0,71.0,DEC,2018
SVETA TROJICA V SLOVENSKIH GORICAH,25.0,5.0,5.0,6.0,10.0,3.0,6.0,60.0,DEC,2018
SVETI ANDRAŽ V SLOV. GORICAH,15.0,3.0,6.0,4.0,8.0,1.0,2.0,39.0,DEC,2018
SVETI JURIJ OB ŠČAVNICI,29.0,17.0,4.0,9.0,21.0,11.0,51.0,142.0,DEC,2018
SVETI JURIJ V SLOVENSKIH GORICAH,20.0,8.0,4.0,4.0,5.0,1.0,1.0,43.0,DEC,2018
SVETI TOMAŽ,18.0,9.0,8.0,8.0,16.0,8.0,11.0,78.0,DEC,2018
ŠALOVCI,21.0,7.0,5.0,3.0,14.0,4.0,25.0,79.0,DEC,2018
ŠEMPETER-VRTOJBA,28.0,38.0,17.0,16.0,35.0,9.0,32.0,175.0,DEC,2018
ŠENČUR,62.0,30.0,23.0,25.0,31.0,9.0,23.0,203.0,DEC,2018
ŠENTILJ,98.0,42.0,22.0,19.0,67.0,21.0,40.0,309.0,DEC,2018
ŠENTJERNEJ,35.0,30.0,17.0,15.0,39.0,12.0,67.0,215.0,DEC,2018
ŠENTJUR,153.0,98.0,61.0,54.0,126.0,42.0,221.0,755.0,DEC,2018
ŠENTRUPERT,15.0,8.0,2.0,7.0,13.0,2.0,12.0,59.0,DEC,2018
ŠKOCJAN,13.0,16.0,11.0,10.0,23.0,9.0,47.0,129.0,DEC,2018
ŠKOFJA LOKA,147.0,93.0,48.0,42.0,97.0,39.0,75.0,541.0,DEC,2018
ŠKOFLJICA,74.0,36.0,24.0,28.0,65.0,25.0,70.0,322.0,DEC,2018
ŠMARJE PRI JELŠAH,83.0,64.0,25.0,39.0,55.0,28.0,138.0,432.0,DEC,2018
ŠMARJEŠKE TOPLICE,14.0,10.0,9.0,8.0,14.0,6.0,13.0,74.0,DEC,2018
ŠMARTNO OB PAKI,27.0,9.0,7.0,5.0,16.0,6.0,20.0,90.0,DEC,2018
ŠMARTNO PRI LITIJI,33.0,24.0,13.0,13.0,25.0,5.0,27.0,140.0,DEC,2018
ŠOŠTANJ,65.0,44.0,23.0,26.0,67.0,24.0,58.0,307.0,DEC,2018
ŠTORE,45.0,14.0,11.0,14.0,23.0,10.0,38.0,155.0,DEC,2018
TABOR,16.0,10.0,7.0,4.0,12.0,2.0,16.0,67.0,DEC,2018
TIŠINA,58.0,33.0,17.0,12.0,32.0,21.0,70.0,243.0,DEC,2018
TOLMIN,58.0,45.0,18.0,16.0,47.0,14.0,63.0,261.0,DEC,2018
TRBOVLJE,151.0,124.0,67.0,63.0,171.0,92.0,212.0,880.0,DEC,2018
TREBNJE,92.0,46.0,17.0,30.0,66.0,14.0,135.0,400.0,DEC,2018
TRNOVSKA VAS,16.0,4.0,3.0,3.0,4.0,3.0,4.0,37.0,DEC,2018
TRZIN,23.0,13.0,8.0,10.0,22.0,10.0,16.0,102.0,DEC,2018
TRŽIČ,128.0,63.0,41.0,41.0,62.0,21.0,101.0,457.0,DEC,2018
TURNIŠČE,51.0,14.0,5.0,11.0,24.0,10.0,75.0,190.0,DEC,2018
VELENJE,302.0,178.0,108.0,130.0,289.0,120.0,279.0,1406.0,DEC,2018
VELIKA POLANA,14.0,10.0,3.0,5.0,6.0,7.0,24.0,69.0,DEC,2018
VELIKE LAŠČE,24.0,23.0,12.0,5.0,24.0,3.0,27.0,118.0,DEC,2018
VERŽEJ,18.0,4.0,1.0,7.0,5.0,2.0,3.0,40.0,DEC,2018
VIDEM,39.0,34.0,8.0,14.0,34.0,14.0,31.0,174.0,DEC,2018
VIPAVA,28.0,18.0,11.0,8.0,28.0,23.0,33.0,149.0,DEC,2018
VITANJE,10.0,12.0,8.0,5.0,16.0,7.0,18.0,76.0,DEC,2018
VODICE,20.0,13.0,12.0,4.0,19.0,11.0,33.0,112.0,DEC,2018
VOJNIK,72.0,51.0,22.0,27.0,56.0,19.0,47.0,294.0,DEC,2018
VRANSKO,15.0,9.0,5.0,6.0,17.0,5.0,23.0,80.0,DEC,2018
VRHNIKA,134.0,83.0,36.0,47.0,92.0,24.0,152.0,568.0,DEC,2018
VUZENICA,20.0,12.0,11.0,8.0,14.0,7.0,19.0,91.0,DEC,2018
ZAGORJE OB SAVI,117.0,97.0,58.0,42.0,93.0,46.0,121.0,574.0,DEC,2018
ZAVRČ,17.0,5.0,2.0,1.0,10.0,1.0,16.0,52.0,DEC,2018
ZREČE,42.0,39.0,22.0,13.0,59.0,16.0,89.0,280.0,DEC,2018
ŽALEC,217.0,110.0,76.0,71.0,185.0,76.0,276.0,1011.0,DEC,2018
ŽELEZNIKI,31.0,17.0,11.0,7.0,22.0,6.0,11.0,105.0,DEC,2018
ŽETALE,11.0,6.0,3.0,3.0,8.0,3.0,6.0,40.0,DEC,2018
ŽIRI,10.0,12.0,7.0,13.0,15.0,7.0,10.0,74.0,DEC,2018
ŽIROVNICA,23.0,12.0,11.0,7.0,5.0,4.0,9.0,71.0,DEC,2018
ŽUŽEMBERK,22.0,12.0,4.0,5.0,15.0,8.0,35.0,101.0,DEC,2018
Občina izven RS,293.0,76.0,42.0,35.0,62.0,11.0,21.0,540.0,DEC,2018
,,,,,,,,,DEC,2018
,,,,,,,,78534.0,DEC,2018
AJDOVŠČINA,129.0,66.0,35.0,30.0,75.0,35.0,164.0,534.0,JAN,2020
ANKARAN,31.0,18.0,5.0,3.0,15.0,7.0,25.0,104.0,JAN,2020
APAČE,57.0,17.0,13.0,3.0,22.0,18.0,58.0,188.0,JAN,2020
BELTINCI,183.0,66.0,31.0,16.0,66.0,36.0,103.0,501.0,JAN,2020
BENEDIKT,26.0,9.0,9.0,1.0,6.0,2.0,10.0,63.0,JAN,2020
BISTRICA OB SOTLI,13.0,6.0,4.0,3.0,10.0,4.0,16.0,56.0,JAN,2020
BLED,78.0,41.0,10.0,8.0,33.0,14.0,11.0,195.0,JAN,2020
BLOKE,10.0,8.0,9.0,1.0,9.0,1.0,4.0,42.0,JAN,2020
BOHINJ,34.0,19.0,4.0,5.0,13.0,11.0,7.0,93.0,JAN,2020
BOROVNICA,39.0,24.0,10.0,8.0,33.0,11.0,38.0,163.0,JAN,2020
BOVEC,37.0,16.0,7.0,1.0,10.0,1.0,8.0,80.0,JAN,2020
BRASLOVČE,45.0,23.0,13.0,9.0,33.0,12.0,34.0,169.0,JAN,2020
BRDA,44.0,18.0,14.0,4.0,24.0,9.0,16.0,129.0,JAN,2020
BREZOVICA,69.0,41.0,34.0,25.0,70.0,21.0,79.0,339.0,JAN,2020
BREŽICE,242.0,126.0,66.0,42.0,175.0,62.0,359.0,1072.0,JAN,2020
CANKOVA,40.0,16.0,3.0,8.0,17.0,7.0,34.0,125.0,JAN,2020
CELJE,708.0,365.0,157.0,126.0,411.0,194.0,477.0,2438.0,JAN,2020
CERKLJE NA GORENJSKEM,67.0,32.0,11.0,9.0,29.0,5.0,17.0,170.0,JAN,2020
CERKNICA,100.0,43.0,28.0,18.0,56.0,18.0,51.0,314.0,JAN,2020
CERKNO,20.0,11.0,7.0,6.0,16.0,1.0,7.0,68.0,JAN,2020
CERKVENJAK,24.0,9.0,4.0,1.0,10.0,2.0,2.0,52.0,JAN,2020
CIRKULANE,21.0,16.0,6.0,6.0,15.0,7.0,15.0,86.0,JAN,2020
ČRENŠOVCI,68.0,29.0,12.0,7.0,38.0,20.0,114.0,288.0,JAN,2020
ČRNA NA KOROŠKEM,36.0,8.0,6.0,4.0,16.0,6.0,27.0,103.0,JAN,2020
ČRNOMELJ,159.0,83.0,47.0,33.0,133.0,50.0,274.0,779.0,JAN,2020
DESTRNIK,24.0,12.0,5.0,4.0,17.0,7.0,13.0,82.0,JAN,2020
DIVAČA,41.0,18.0,6.0,6.0,21.0,6.0,31.0,129.0,JAN,2020
DOBJE,11.0,1.0,3.0,2.0,2.0,4.0,9.0,32.0,JAN,2020
DOBREPOLJE,24.0,10.0,6.0,3.0,24.0,6.0,36.0,109.0,JAN,2020
DOBRNA,18.0,9.0,8.0,6.0,14.0,7.0,8.0,70.0,JAN,2020
DOBROVA-POLHOV GRADEC,36.0,30.0,8.0,4.0,27.0,9.0,34.0,148.0,JAN,2020
DOBROVNIK,18.0,7.0,3.0,1.0,13.0,10.0,37.0,89.0,JAN,2020
DOL PRI LJUBLJANI,46.0,21.0,10.0,15.0,30.0,12.0,43.0,177.0,JAN,2020
DOLENJSKE TOPLICE,17.0,9.0,3.0,6.0,15.0,5.0,21.0,76.0,JAN,2020
DOMŽALE,252.0,140.0,68.0,64.0,187.0,94.0,240.0,1045.0,JAN,2020
DORNAVA,35.0,12.0,4.0,4.0,15.0,3.0,8.0,81.0,JAN,2020
DRAVOGRAD,100.0,59.0,14.0,14.0,48.0,20.0,83.0,338.0,JAN,2020
DUPLEK,86.0,48.0,22.0,15.0,47.0,25.0,60.0,303.0,JAN,2020
GORENJA VAS-POLJANE,34.0,19.0,5.0,5.0,20.0,7.0,10.0,100.0,JAN,2020
GORIŠNICA,36.0,23.0,11.0,3.0,22.0,7.0,21.0,123.0,JAN,2020
GORJE,31.0,18.0,2.0,3.0,13.0,3.0,7.0,77.0,JAN,2020
GORNJA RADGONA,117.0,57.0,17.0,9.0,71.0,32.0,130.0,433.0,JAN,2020
GORNJI GRAD,13.0,14.0,4.0,3.0,11.0,6.0,12.0,63.0,JAN,2020
GORNJI PETROVCI,35.0,12.0,3.0,2.0,14.0,11.0,21.0,98.0,JAN,2020
GRAD,51.0,11.0,6.0,5.0,16.0,5.0,19.0,113.0,JAN,2020
GROSUPLJE,148.0,79.0,57.0,31.0,119.0,49.0,200.0,683.0,JAN,2020
HAJDINA,37.0,25.0,9.0,6.0,17.0,7.0,13.0,114.0,JAN,2020
HOČE-SLIVNICA,110.0,68.0,41.0,20.0,91.0,44.0,99.0,473.0,JAN,2020
HODOŠ,8.0,4.0,0.0,0.0,10.0,0.0,5.0,27.0,JAN,2020
HORJUL,8.0,9.0,5.0,2.0,3.0,4.0,16.0,47.0,JAN,2020
HRASTNIK,102.0,58.0,35.0,35.0,88.0,34.0,113.0,465.0,JAN,2020
HRPELJE-KOZINA,31.0,15.0,12.0,13.0,26.0,10.0,27.0,134.0,JAN,2020
IDRIJA,61.0,38.0,17.0,7.0,49.0,15.0,32.0,219.0,JAN,2020
IG,28.0,20.0,15.0,7.0,39.0,17.0,47.0,173.0,JAN,2020
ILIRSKA BISTRICA,84.0,66.0,28.0,17.0,56.0,27.0,114.0,392.0,JAN,2020
IVANČNA GORICA,98.0,72.0,33.0,23.0,78.0,35.0,92.0,431.0,JAN,2020
IZOLA,253.0,101.0,38.0,35.0,88.0,42.0,112.0,669.0,JAN,2020
JESENICE,251.0,110.0,42.0,35.0,91.0,35.0,47.0,611.0,JAN,2020
JEZERSKO,4.0,1.0,2.0,0.0,0.0,1.0,1.0,9.0,JAN,2020
JURŠINCI,24.0,12.0,3.0,5.0,8.0,10.0,6.0,68.0,JAN,2020
KAMNIK,219.0,136.0,73.0,49.0,141.0,59.0,218.0,895.0,JAN,2020
KANAL,45.0,25.0,20.0,7.0,48.0,8.0,24.0,177.0,JAN,2020
KIDRIČEVO,71.0,29.0,21.0,10.0,30.0,15.0,30.0,206.0,JAN,2020
KOBARID,39.0,13.0,3.0,1.0,13.0,8.0,7.0,84.0,JAN,2020
KOBILJE,13.0,3.0,0.0,1.0,4.0,3.0,7.0,31.0,JAN,2020
KOČEVJE,179.0,90.0,61.0,66.0,184.0,80.0,386.0,1046.0,JAN,2020
KOMEN,16.0,10.0,11.0,13.0,24.0,7.0,24.0,105.0,JAN,2020
KOMENDA,47.0,34.0,5.0,8.0,22.0,14.0,24.0,154.0,JAN,2020
KOPER,568.0,280.0,166.0,106.0,316.0,137.0,374.0,1947.0,JAN,2020
KOSTANJEVICA NA KRKI,19.0,16.0,3.0,6.0,13.0,6.0,29.0,92.0,JAN,2020
KOSTEL,6.0,8.0,2.0,3.0,9.0,3.0,7.0,38.0,JAN,2020
KOZJE,31.0,13.0,10.0,8.0,32.0,11.0,49.0,154.0,JAN,2020
KRANJ,669.0,291.0,164.0,137.0,345.0,111.0,230.0,1947.0,JAN,2020
KRANJSKA GORA,31.0,19.0,5.0,8.0,26.0,4.0,16.0,109.0,JAN,2020
KRIŽEVCI,50.0,19.0,5.0,9.0,26.0,8.0,21.0,138.0,JAN,2020
KRŠKO,390.0,122.0,70.0,39.0,212.0,103.0,512.0,1448.0,JAN,2020
KUNGOTA,82.0,18.0,10.0,9.0,45.0,18.0,40.0,222.0,JAN,2020
KUZMA,26.0,12.0,4.0,2.0,13.0,5.0,16.0,78.0,JAN,2020
LAŠKO,105.0,55.0,39.0,25.0,102.0,34.0,135.0,495.0,JAN,2020
LENART,105.0,31.0,16.0,11.0,47.0,11.0,20.0,241.0,JAN,2020
LENDAVA,170.0,74.0,53.0,28.0,100.0,57.0,282.0,764.0,JAN,2020
LITIJA,132.0,69.0,36.0,20.0,85.0,30.0,89.0,461.0,JAN,2020
LJUBLJANA,2295.0,1452.0,795.0,610.0,2060.0,1067.0,3273.0,11552.0,JAN,2020
LJUBNO,26.0,20.0,10.0,4.0,16.0,10.0,16.0,102.0,JAN,2020
LJUTOMER,175.0,65.0,34.0,31.0,92.0,37.0,115.0,549.0,JAN,2020
LOG - DRAGOMER,20.0,23.0,8.0,3.0,23.0,8.0,18.0,103.0,JAN,2020
LOGATEC,82.0,52.0,34.0,27.0,69.0,16.0,79.0,359.0,JAN,2020
LOŠKA DOLINA,30.0,21.0,10.0,7.0,15.0,3.0,10.0,96.0,JAN,2020
LOŠKI POTOK,10.0,7.0,4.0,2.0,4.0,4.0,12.0,43.0,JAN,2020
LOVRENC NA POHORJU,27.0,27.0,8.0,7.0,16.0,8.0,25.0,118.0,JAN,2020
LUČE,10.0,5.0,5.0,2.0,8.0,4.0,10.0,44.0,JAN,2020
LUKOVICA,37.0,20.0,12.0,7.0,15.0,8.0,41.0,140.0,JAN,2020
MAJŠPERK,45.0,18.0,6.0,5.0,25.0,10.0,14.0,123.0,JAN,2020
MAKOLE,24.0,12.0,2.0,1.0,17.0,4.0,8.0,68.0,JAN,2020
MARIBOR,1494.0,721.0,386.0,282.0,1078.0,542.0,1465.0,5968.0,JAN,2020
MARKOVCI,30.0,17.0,13.0,6.0,14.0,7.0,16.0,103.0,JAN,2020
MEDVODE,106.0,67.0,40.0,26.0,93.0,37.0,107.0,476.0,JAN,2020
MENGEŠ,67.0,24.0,17.0,11.0,48.0,14.0,58.0,239.0,JAN,2020
METLIKA,82.0,38.0,22.0,21.0,73.0,45.0,154.0,435.0,JAN,2020
MEŽICA,31.0,24.0,9.0,7.0,15.0,7.0,28.0,121.0,JAN,2020
MIKLAVŽ NA DRAVSKEM POLJU,77.0,40.0,15.0,15.0,46.0,23.0,52.0,268.0,JAN,2020
MIREN-KOSTANJEVICA,24.0,17.0,3.0,4.0,17.0,6.0,23.0,94.0,JAN,2020
MIRNA,13.0,8.0,1.0,5.0,8.0,2.0,16.0,53.0,JAN,2020
MIRNA PEČ,21.0,18.0,4.0,2.0,7.0,5.0,13.0,70.0,JAN,2020
MISLINJA,41.0,24.0,12.0,9.0,15.0,5.0,24.0,130.0,JAN,2020
MOKRONOG-TREBELNO,17.0,12.0,7.0,6.0,15.0,5.0,11.0,73.0,JAN,2020
MORAVČE,30.0,16.0,8.0,9.0,15.0,12.0,23.0,113.0,JAN,2020
MORAVSKE TOPLICE,115.0,43.0,14.0,11.0,47.0,26.0,73.0,329.0,JAN,2020
MOZIRJE,26.0,23.0,9.0,6.0,26.0,5.0,29.0,124.0,JAN,2020
MURSKA SOBOTA,343.0,148.0,89.0,48.0,195.0,92.0,346.0,1261.0,JAN,2020
MUTA,39.0,22.0,2.0,9.0,23.0,6.0,35.0,136.0,JAN,2020
NAKLO,64.0,23.0,7.0,7.0,18.0,4.0,13.0,136.0,JAN,2020
NAZARJE,17.0,17.0,5.0,8.0,22.0,6.0,17.0,92.0,JAN,2020
NOVA GORICA,236.0,136.0,67.0,50.0,178.0,82.0,183.0,932.0,JAN,2020
NOVO MESTO,325.0,151.0,103.0,52.0,182.0,80.0,311.0,1204.0,JAN,2020
ODRANCI,30.0,7.0,7.0,6.0,11.0,11.0,17.0,89.0,JAN,2020
OPLOTNICA,36.0,23.0,10.0,12.0,34.0,6.0,11.0,132.0,JAN,2020
ORMOŽ,168.0,107.0,39.0,15.0,69.0,43.0,81.0,522.0,JAN,2020
OSILNICA,10.0,0.0,3.0,0.0,6.0,3.0,3.0,25.0,JAN,2020
PESNICA,100.0,35.0,18.0,7.0,54.0,22.0,35.0,271.0,JAN,2020
PIRAN,305.0,114.0,48.0,38.0,135.0,45.0,144.0,829.0,JAN,2020
PIVKA,51.0,39.0,10.0,10.0,41.0,7.0,53.0,211.0,JAN,2020
PODČETRTEK,35.0,17.0,11.0,6.0,27.0,7.0,38.0,141.0,JAN,2020
PODLEHNIK,19.0,10.0,3.0,5.0,10.0,10.0,13.0,70.0,JAN,2020
PODVELKA,25.0,19.0,8.0,1.0,14.0,6.0,25.0,98.0,JAN,2020
POLJČANE,54.0,30.0,10.0,11.0,34.0,10.0,35.0,184.0,JAN,2020
POLZELA,72.0,22.0,19.0,15.0,32.0,19.0,48.0,227.0,JAN,2020
POSTOJNA,167.0,98.0,19.0,24.0,101.0,31.0,147.0,587.0,JAN,2020
PREBOLD,42.0,22.0,16.0,7.0,29.0,14.0,59.0,189.0,JAN,2020
PREDDVOR,32.0,19.0,6.0,5.0,21.0,6.0,6.0,95.0,JAN,2020
PREVALJE,49.0,38.0,23.0,12.0,44.0,12.0,54.0,232.0,JAN,2020
PTUJ,278.0,131.0,85.0,42.0,184.0,109.0,135.0,964.0,JAN,2020
PUCONCI,109.0,39.0,22.0,14.0,37.0,27.0,119.0,367.0,JAN,2020
RAČE-FRAM,72.0,49.0,16.0,11.0,47.0,22.0,51.0,268.0,JAN,2020
RADEČE,40.0,19.0,17.0,9.0,29.0,13.0,32.0,159.0,JAN,2020
RADENCI,70.0,31.0,7.0,7.0,29.0,14.0,67.0,225.0,JAN,2020
RADLJE OB DRAVI,91.0,39.0,9.0,15.0,40.0,17.0,57.0,268.0,JAN,2020
RADOVLJICA,175.0,88.0,37.0,29.0,87.0,34.0,46.0,496.0,JAN,2020
RAVNE NA KOROŠKEM,128.0,75.0,37.0,16.0,62.0,26.0,91.0,435.0,JAN,2020
RAZKRIŽJE,18.0,16.0,6.0,0.0,9.0,5.0,11.0,65.0,JAN,2020
REČICA OB SAVINJI,21.0,17.0,7.0,3.0,21.0,5.0,11.0,85.0,JAN,2020
RENČE-VOGRSKO,25.0,12.0,9.0,7.0,20.0,10.0,13.0,96.0,JAN,2020
RIBNICA,64.0,35.0,23.0,16.0,47.0,23.0,65.0,273.0,JAN,2020
RIBNICA NA POHORJU,15.0,3.0,3.0,5.0,9.0,3.0,14.0,52.0,JAN,2020
ROGAŠKA SLATINA,119.0,83.0,33.0,25.0,108.0,32.0,162.0,562.0,JAN,2020
ROGAŠOVCI,61.0,14.0,12.0,6.0,30.0,25.0,72.0,220.0,JAN,2020
ROGATEC,46.0,28.0,15.0,15.0,24.0,16.0,60.0,204.0,JAN,2020
RUŠE,108.0,68.0,28.0,9.0,70.0,20.0,54.0,357.0,JAN,2020
SELNICA OB DRAVI,60.0,34.0,10.0,8.0,31.0,16.0,21.0,180.0,JAN,2020
SEMIČ,44.0,15.0,13.0,8.0,25.0,18.0,54.0,177.0,JAN,2020
SEVNICA,163.0,77.0,44.0,38.0,127.0,34.0,144.0,627.0,JAN,2020
SEŽANA,133.0,56.0,26.0,19.0,71.0,35.0,74.0,414.0,JAN,2020
SLOVENJ GRADEC,148.0,103.0,56.0,29.0,111.0,32.0,136.0,615.0,JAN,2020
SLOVENSKA BISTRICA,276.0,144.0,83.0,62.0,184.0,92.0,122.0,963.0,JAN,2020
SLOVENSKE KONJICE,216.0,113.0,34.0,38.0,137.0,66.0,238.0,842.0,JAN,2020
SODRAŽICA,14.0,7.0,2.0,3.0,7.0,2.0,14.0,49.0,JAN,2020
SOLČAVA,8.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,JAN,2020
SREDIŠČE OB DRAVI,24.0,14.0,8.0,3.0,12.0,8.0,12.0,81.0,JAN,2020
STARŠE,37.0,22.0,13.0,5.0,31.0,17.0,26.0,151.0,JAN,2020
STRAŽA,27.0,13.0,5.0,5.0,15.0,8.0,17.0,90.0,JAN,2020
SVETA ANA,31.0,12.0,5.0,1.0,11.0,5.0,3.0,68.0,JAN,2020
SVETA TROJICA V SLOVENSKIH GORICAH,24.0,9.0,4.0,1.0,10.0,4.0,4.0,56.0,JAN,2020
SVETI ANDRAŽ V SLOV. GORICAH,8.0,6.0,1.0,0.0,11.0,4.0,2.0,32.0,JAN,2020
SVETI JURIJ OB ŠČAVNICI,39.0,15.0,5.0,1.0,17.0,10.0,41.0,128.0,JAN,2020
SVETI JURIJ V SLOVENSKIH GORICAH,27.0,9.0,4.0,1.0,7.0,0.0,1.0,49.0,JAN,2020
SVETI TOMAŽ,31.0,13.0,4.0,2.0,15.0,10.0,14.0,89.0,JAN,2020
ŠALOVCI,25.0,11.0,6.0,4.0,7.0,7.0,20.0,80.0,JAN,2020
ŠEMPETER-VRTOJBA,37.0,26.0,10.0,6.0,36.0,19.0,31.0,165.0,JAN,2020
ŠENČUR,83.0,51.0,20.0,13.0,39.0,6.0,21.0,233.0,JAN,2020
ŠENTILJ,119.0,45.0,40.0,23.0,62.0,27.0,31.0,347.0,JAN,2020
ŠENTJERNEJ,64.0,39.0,12.0,8.0,40.0,15.0,63.0,241.0,JAN,2020
ŠENTJUR,173.0,124.0,53.0,37.0,141.0,71.0,209.0,808.0,JAN,2020
ŠENTRUPERT,8.0,10.0,4.0,3.0,4.0,1.0,10.0,40.0,JAN,2020
